figure_id,authored_uses,grade_span,sample_lessons,current_role,priority,decision,requirement
count-on-hops,798,0|1|2|3|4|5,koa-01-01:c1|koa-01-01:c2|koa-01-02:c1|koa-01-02:c2|koa-01-03:c1|koa-01-03:c2,concept-support,P0,REDESIGN_OR_VALIDATE_AT_SCALE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
bar-compare,85,1|3,as-05-03:c1|dgr1-01-01:c1|dgr1-01-01:c2|dgr1-01-02:c1|dgr1-01-02:c2|dgr1-01-03:c1,concept-support,P0,REDESIGN_OR_VALIDATE_AT_SCALE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
number-track,70,0|1|2,c120-01-01:c1|c120-01-03:c1|c120-05-01:c1|k100-01-01:c1|k100-01-01:c2|k100-01-02:c1,concept-support,P0,REDESIGN_OR_VALIDATE_AT_SCALE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
dpv-hundredths-grid,38,4|5,dg4-01-01:c1|dg4-01-01:c2|dg4-01-02:c1|dg4-01-02:c2|dg4-01-03:c1|dg4-01-03:c2,concept-support,P0,REDESIGN_OR_VALIDATE_AT_SCALE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
dr-flat-not-turning,37,13,ca-01-01:c1|ca-01-01:c2|ca-01-01:rc1|ca-01-02:rc1|ca-01-03:c1|ca-01-03:c2,concept-support,P0,REDESIGN_OR_VALIDATE_AT_SCALE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
dr-power-rule-pattern,37,13,ca-04-01:c1|ca-04-01:c2|ca-04-01:rc1|ca-05-02:c1|ca-05-03:c1|ca-05-03:rc1,concept-support,P0,REDESIGN_OR_VALIDATE_AT_SCALE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
dr-derivative-as-function,35,13,ca-02-01:c2|ca-02-03:c1|ca-02-03:c2|ca-02-03:rc1|ca-03-01:c2|ca-04-02:rc1,concept-support,P0,REDESIGN_OR_VALIDATE_AT_SCALE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
dr-chain-gears,31,13,dr-04-01:c1|dr-04-01:c2|dr-04-01:rc1|dr-04-02:c1|dr-05-02:c2|dc-02-01:c1,concept-support,P0,REDESIGN_OR_VALIDATE_AT_SCALE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
sign-rule-table,18,7,rno-03-01:c1|rno-03-01:c3|rno-03-02:c1|rno-03-02:c3|rno-03-03:c1|rno-03-03:c2,concept-support,P1,REDESIGN_OR_VALIDATE_AT_SCALE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
dr-tangent-line,17,13,ca-03-02:rc1|ca-03-03:rc1|dr-01-01:c2|dc-03-01:c1|dc-03-01:rc1|dc-03-02:c1,concept-support,P1,REDESIGN_OR_VALIDATE_AT_SCALE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
coordinate-plane,14,5|9,cg-01-01:c1|lf-01-02:c1|lf-04-02:c1|se-01-01:c1|se-01-03:c1|se-02-01:c1,concept-support,P1,REDESIGN_OR_VALIDATE_AT_SCALE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
two-step-balance,11,7|8,les-01-01:c1|tse-02-01:c1|tse-02-02:c1|tse-02-02:c2|tse-02-03:c1|tse-02-03:c2,concept-support,P1,REDESIGN_OR_VALIDATE_AT_SCALE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
dr-product-rule-box,10,13,dr-02-02:c2|dr-03-01:c1|dr-03-01:c2|dr-03-01:rc1|dr-03-02:c1|dr-03-02:rc1,concept-support,P1,REDESIGN_OR_VALIDATE_AT_SCALE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
integer-jump,9,7,rno-01-01:c1|rno-01-01:c2|rno-01-02:c1|rno-01-02:c2|rno-01-03:c1|rno-02-01:c1,concept-support,P2,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
line-intercepts,9,8|9,bv-02-03:c1|bv-03-01:c1|bv-03-02:c1|fg-02-03:c1|les-03-02:c1|lf-02-02:c1,concept-support,P2,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
aa-similar,8,10,sy-01-02:c1|sy-01-02:c2|sy-01-03:c1|sy-01-03:c2|sy-02-03:c1|sy-02-03:c2,concept-support,P2,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
dr-e-self-derivative,8,13,dr-05-01:c1|dr-05-01:c2|dr-05-01:rc1|de-03-01:c1|de-03-01:c2|de-03-01:rc1,concept-support,P2,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
dr-inverse-reciprocal,8,13,ca-03-03:c2|dr-05-03:c1|dr-05-03:c2|dr-05-03:rc1|in-03-03:c2|in-03-03:rc1,concept-support,P2,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
geometric-mean,8,10,sy-04-01:c1|sy-04-01:c2|sy-04-01:c3|sy-04-02:c1|sy-04-02:c2|sy-04-03:c1,concept-support,P2,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
si-claim-ladder,8,11,si-03-03:c2|si-04-03:c2|si-05-01:c1|si-05-01:rc1|si-05-02:c1|si-05-02:rc1,concept-support,P2,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
side-splitter,8,10,sy-03-01:c1|sy-03-01:c2|sy-03-01:c3|sy-03-02:c1|sy-03-02:c2|sy-03-02:c3,concept-support,P2,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
slope-triangle,8,8|9,fg-02-01:c1|lf-01-01:c1|lf-01-03:c1|lf-02-01:c1|lf-02-02:c2|lf-03-01:c1,concept-support,P2,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
compound-event-tree,7,7,sp-04-01:c1|sp-04-01:c3|sp-04-02:c1|sp-04-02:c2|sp-04-03:c1|sp-04-03:c2,concept-support,P2,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
dr-implicit-circle,7,13,dr-04-02:c2|dr-04-02:rc1|dr-04-03:c1|dr-04-03:rc1|dc-02-02:c1|dc-02-02:c2,concept-support,P2,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
exp-curve-growth,7,9,exp-01-01:c1|exp-01-03:c1|exp-02-01:c1|exp-02-03:c1|exp-03-01:c1|exp-03-02:c1,concept-support,P2,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
inequality-flip,7,7,tse-04-01:c1|tse-04-01:c3|tse-04-02:c1|tse-04-02:c2|tse-04-03:c1|tse-04-03:c2,concept-support,P2,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
proportional-line,7,6|7,pr-03-01:c1|pr-03-01:c2|pr-03-02:c1|pr-03-03:c1|pr-03-03:c2|pr-03-03:c3,concept-support,P2,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
radical-factor,7,9,rad-01-01:c1|rad-01-02:c1|rad-01-03:c1|rad-02-02:c1|rad-03-01:c1|rad-03-02:c1,concept-support,P2,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
right-triangle,7,7|8|9,g7-04-01:c1|rad-04-01:c1|rad-04-02:c1|rad-04-03:c1|rns-02-01:c1|tm-04-02:c1,concept-support,P2,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
distribute-area,6,6|9,ep-03-01:c1|ep-04-01:c1|ee-03-01:c1|ee-03-01:c2|qu-04-02:c1|alg1-01-03:c1,concept-support,P2,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
dop-line-up,6,5|6|7,dop-04-01:c1|dop-04-01:c2|dop-04-03:c1|dop-04-03:c2|ns-02-02:c1|rno-04-02:c3,concept-support,P2,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
dpv-round-whole,6,5,dpv-04-01:c1|dpv-04-01:c2|dpv-04-02:c1|dpv-04-02:c2|dpv-04-03:c1|dpv-04-03:c2,concept-support,P2,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
fm-divide-unit,6,5|6,fm-05-01:c1|fm-05-01:c2|fm-05-03:c1|ns-01-01:c2|ns-01-03:c1|ns-01-03:c2,concept-support,P2,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
hinge-inequality,6,10,tc-05-01:c1|tc-05-01:c2|tc-05-02:c1|tc-05-02:c2|tc-05-03:c1|tc-05-03:c2,concept-support,P2,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
