lesson,grade,step,field,term,text
g2a-01-02,2,c1,body,verdict,"You do not need counters forever: the ONES digit carries the verdict. 0, 2, 4, 6, 8 end even numbers; 1, 3, 5, 7, 9 end odd ones."
dgr1-03-04,1,i1,prompt,the claim,A classmate says “Cats got the most votes”. How do you check the claim?
g1e-01-01,1,c2,body,the claim,"Reading an equation means checking the claim: value the left side, value the right side, and see that they match."
g1e-01-01,1,rem-g1e-equal-meaning-c,body,the claim,"Reading an equation means checking the claim: value the left side, value the right side, and see that they match."
g1e-01-02,1,i1,prompt,the claim,Test the claim 8 + 3 = 11: start at 8 and count on 3. Where do you land?
g1e-01-02,1,i1,successFeedback,the claim,"Landed on 11 — the left side really is 11, so the claim is TRUE."
g1e-01-02,1,i2,prompt,the claim,Test the claim 8 + 3 = 11: start at 8 and count on 3. Where do you land?
g1e-01-02,1,i2,successFeedback,the claim,"Landed on 11 — the left side really is 11, so the claim is TRUE."
g1e-01-03,1,c1,body,the claim,"A balanced equation can have work on both sides: 4 + 5 = 6 + 3. Both sides are worth nine, so the claim holds."
g1e-03-02,1,i1,prompt,the claim,Check the claim x = 7 for x + 4 = 11: start at 7 and count on 4. Where do you land?
g1e-03-02,1,i2,prompt,the claim,Check the claim x = 7 for x + 4 = 11: start at 7 and count on 4. Where do you land?
g4x-01-02,4,o3,feedback,equivalence,"Scaling BOTH parts renames the fraction without changing its value — that is equivalence, not 3 groups of it."
g4x-01-02,4,o3,feedback,equivalence,"Scaling BOTH parts renames the fraction without changing its value — that is equivalence, not 4 groups of it."
g4x-01-02,4,o3,feedback,equivalence,"Scaling BOTH parts renames the fraction without changing its value — that is equivalence, not 3 groups of it."
g4x-01-04,4,o3,feedback,equivalence,"Scaling BOTH parts renames the fraction without changing its value — that is equivalence, not 6 groups of it."
g3f-01-05,3,k2,feedback,equivalence,Equivalence SCALES both numbers; adding 4 to the top breaks the ratio.
g3f-02-01,3,k2,feedback,equivalence,Equivalence SCALES both numbers; adding 4 to the top breaks the ratio.
g3f-02-02,3,k2,feedback,equivalence,Equivalence SCALES both numbers; adding 3 to the top breaks the ratio.
g3f-02-03,3,k2,feedback,equivalence,Equivalence SCALES both numbers; adding 2 to the top breaks the ratio.
g3f-02-03,3,ch1,feedback,equivalence,Equivalence SCALES both numbers; adding 4 to the top breaks the ratio.
g3f-02-04,3,k1,feedback,equivalence,Equivalence SCALES both numbers; adding 4 to the top breaks the ratio.
g3f-02-04,3,k3,feedback,equivalence,Equivalence SCALES both numbers; adding 3 to the top breaks the ratio.
g3f-02-04,3,rem-g3f-line-equiv-k,feedback,equivalence,Equivalence SCALES both numbers; adding 4 to the top breaks the ratio.
fr-03-01,3,a,feedback,equivalence,"One spot, two names. That's the whole idea of equivalence."
fr-03-01,3,b,feedback,equivalence,"Closer than close — they're the SAME point. Equivalence means zero gap, not a small one."
fr-03-01,3,c,feedback,equivalence,"The tops differ (2 and 1)! Equivalence is about the AMOUNT the whole fraction covers, not matching digits."
fr-03-01,3,k3,body,repair,Repair Rio's reasoning.
fr-03-01,3,k3,prompt,the repair,Rio says 2/4 is MORE than 1/2 'because two pieces beat one piece.' What's the repair?
fr-03-01,3,a,feedback,equivalence,"One spot, two names — that's equivalence."
fr-03-02,3,i2,prompt,the case for,The case for the loyal amount.
fr-03-02,3,i2,body,equivalence,"That's all equivalence is: the same amount answering to a new name. 1/2, 2/4, 4/8 — one region, three labels."
fr-04-02,3,c2,body,the repair,"The repair, said plainly: **on the bottom, a bigger number means more cuts, which means smaller pieces.** Whole-number instinct runs backwards downstairs. So when the tops match, the fractio"
fr-04-02,3,k2,body,repair,Repair Priya's reasoning.
fr-04-02,3,k2,prompt,the repair,Priya says 3/10 is bigger than 3/4 'because 10 is bigger than 4.' What's the repair?
fr-04-02,3,d,feedback,the repair,Tenths are perfectly real — just small. That smallness is exactly the point of the repair.
fr-04-02,3,i2,feedback,verdict,"That verdict belongs to the 3/4 duel. In 1/3 vs 1/8, the smaller bottom (3) makes the bigger piece — 1/3 wins its own fight."
fr-04-04,3,m2,feedback,verdict,Cup and jug are different wholes — the jug's third could drown the cup's half. No verdict possible.
fr-04-04,3,i1,missFeedback,verdict,Check the WHOLES first: same object or same-size objects → fair; different sizes → no verdict.
fr-04-04,3,a,feedback,verdict,"1/2 > 1/4 compares shares of ONE whole. Different pizzas, no verdict — Leo's rule fired outside its territory."
fr-04-04,3,c,feedback,verdict,"Careful — that claim breaks the same rule! Without knowing the sizes, NEITHER side gets a verdict."
fr-04-04,3,i2,prompt,verdict,Match each matchup to its correct verdict — all three chapter rules are in play.
fr-04-04,3,v3,label,verdict,No verdict — the wholes don't match
fr-04-04,3,i2,feedback,verdict,"The tops match, but a cup and a pool are different wholes — that matchup gets NO verdict, however tempting the counting."
fr-04-04,3,a,feedback,verdict,"Matching bags make Kim–Raj legal: same tops, thirds beat fifths. The jumbo bag is a different whole — no verdict touches Nia."
fr-04-04,3,a,feedback,verdict,"Mismatched wholes, no verdict — the referee's whistle blows."
fr-04-04,3,c,feedback,verdict,"Probably true about the juice — but it isn't a FRACTION comparison anymore; it needs the actual sizes. As fractions, no verdict."
la-01-02,4,invariant,feedback,invariant,Exactly. Angle measure is invariant under changing ray length.
la-01-02,4,surface,feedback,invariant,"That describes a surface feature, not the mathematical relationship that must remain true. Angle measure is invariant under changing ray length."
la-02-02,4,i1,body,invariant,Construct perpendicular lines and make the right-angle invariant visible.
la-03-02,4,i1,body,invariant,Deform a triangle while tracking all three angles and their invariant sum.
kmd-02-01,0,o2,feedback,repair,Speed cannot repair a crooked start — the compared distance is wrong.
