engine,file,line_ref,verdict,leak_class,evidence,confidence
absValueLine,src/components/widgets.tsx,14746-14904,CLEAN,NONE,"Read AbsValueLineW in full plus describeState.ts:861-874. Only number-line copy renders: item labels, spec.equalLabel, the reveal-only 'farthest' ghost, and 'Distance from zero ignores the sign.' No counters, enums, or stage/telemetry labels.",HIGH
accumulateArea,src/components/widgets.tsx,4532-4643,CLEAN,NONE,"Read AccumulateAreaW in full plus describeState.ts:622-630. Visible copy is 'f - the height', 'A - the area so far', 'area so far A = ...', 'drag x, and watch the area accumulate'; tangerine 'target A = ...' text is tone==='info' (reveal) only. All mathematical.",HIGH
affineRelationshipLab,src/components/widgets.tsx,7124 (also 7115; describeState.ts:403),LEAK,AUTHORING_LABEL,"widgets.tsx:7124 renders unconditionally in active/retry: ""{n} valid affine stage{s} inspected; {spec.requiredExplorations} required before grading, including {n} designated stage{s}."" -- 'required before grading' and 'designated stage' are grading/authoring-system vocabulary, and requiredExplorations/requiredStageKeys are authoring gate parameters. Line 7115 additionally prints the raw representation enum: ""{line.label} \u00b7 {line.sourceKind}"" where sourceKind is z.enum(['equation','table','context']) (schema.ts:5748), i.e. representation metadata as a visible label. describeState.ts:403 opens the accessible text with the engine name: ""Affine relationship lab."" plus ""{n} valid stages inspected"".",HIGH
algebraTiles,src/components/widgets.tsx,5014-5410,CLEAN,NONE,"Read AlgebraTilesW in full including the MMIP zero-pair panel and the at-status live region. Announcements come from transactionSentence() -> op.describe strings in src/lib/mmip/algebraTilesModel.ts (e.g. 'Put one x-tile on the mat...'), all learner-facing mathematics. Labels are 'x-tiles', 'unit tiles', 'long = x', 'small = 1', 'Work with zero pairs', 'Simplify (n)'. No engine/edit-kind/origin token reaches the screen.",HIGH
angleMeasure,src/components/widgets.tsx,9643-9746,CLEAN,NONE,"Read AngleMeasureW in full plus describeState.ts:701-708. Copy is 'relationship on the straight line', 'open the angle', degree readouts, and a reveal-only 'target' tick. No metadata.",HIGH
areaModel,src/components/widgets.tsx,8572 (AreaBuildW 8513-8583; router 8584),UNCERTAIN,INVARIANT_TEXT,"Both branches read (CountGridW 8433-8510, AreaBuildW 8513-8583) plus describeState.ts:144-148. Everything is mathematical except AreaBuildW:8572, rendered unconditionally in active/retry when !spec.square: ""Rows and columns can trade orientation while the number of unit squares stays invariant."" I confirmed it renders in active state; what I cannot resolve is classification -- it is a mathematical claim about area conservation (captioning the 'Rotate rectangle - preserve area' button), not a cml invariants card, but it is the one place in this shard that puts 'invariant' on the learner screen. Needs a human call.",MEDIUM
argandExplore,src/components/widgets.tsx,2586-2704,CLEAN,NONE,"Read ArgandExploreW in full plus describeState.ts:650-661. Copy: 'real'/'imaginary' axis labels, 'z', 'z x w', 'real part', 'imaginary part'; reveal-only 'z here' ghost. No metadata.",HIGH
balanceScale,src/components/widgets.tsx,9571-9638,CLEAN,NONE,"Read BalanceScaleW in full plus describeState.ts:586-591. Copy: the equation on the pans, 'balanced', 'x = n', and a reveal-only 'balances at x = ...' chip. No metadata.",HIGH
barBuilder,src/components/widgets.tsx,10576-10695,CLEAN,NONE,"Read both branches (tally/pictograph and bar/histogram). Only category names, counts, '+ add'/'- remove', spec.axisLabel and reveal-only 'target counts/bars' chips render. No describeState case (returns null).",HIGH
baseTenCompose,src/components/widgets.tsx,14207-14309,CLEAN,NONE,"Read BaseTenComposeW in full. Copy: 'Hundreds/Tens/Ones' steppers, 'Value-preserving exchanges', '10 ones -> 1 ten', the place-value sum readout; 'standard build: ...' chip is tone==='info' only. No describeState case.",HIGH
binomialAreaLab,src/components/widgets.tsx,9885-10061,CLEAN,NONE,"Read BinomialAreaLabW in full plus describeState.ts:737-747. LabReadout labels are 'x\u00b2 term', 'x term (the sum)', 'constant'; sliders 'across partition'/'down partition'; closing note is about the x-by-x block. All mathematical.",HIGH
boxPlot,src/components/widgets.tsx,8240-8302,CLEAN,NONE,"Read BoxPlotW in full. Slider row labels print the state keys uppercased ('MIN','Q1','MED','Q3','MAX') but those are the standard five-number-summary names and each input carries aria-label 'first quartile Q1' etc. Reveal-only dashed 'target' skeleton. No describeState case.",HIGH
buildExpression,src/components/widgets.tsx,13346-13411,CLEAN,NONE,"Read BuildExpressionW in full. Copy: 'Your expression', 'Tap tokens below to build it', 'reads: ...', 'both sides equal'/'the sides differ'/'value n'. Tone only changes the frame colour, never prints the tone token. No describeState case.",HIGH
ciCapture,src/components/widgets.tsx,1902-1989,CLEAN,NONE,"Read CiCaptureW in full plus describeState.ts:792-798. Copy: 'truth n%', 'n of m intervals reached the truth', 'add 1'/'add 10', level radio buttons; 'asked: ...' chip is tone==='info' only. No metadata.",HIGH
