# sourceSeal=54b505e — S242/VIS-04. RENDERING placements whose figure title shares NO subject
# vocabulary with its whole lesson. Numeric-assertion figures are VIS-03's; the three guarded
# exemplars are the alignment gate's. Judged against the WHOLE lesson, the most forgiving reading.
lesson,step,figure,title,prose
"dop-01-02","c2","dop-precedence","The priority ladder for operations.","After the grouping is done, finish with the usual order: ×÷ before +−. In 3 × (4 + 2), do 4 + 2 = 6 inside, then 3 × 6 = 18. Grouping just changes *which* step goes first"
"fr-04-01","c1","frac-compare-same-denom","Same denominator: more shaded pieces wins.","Time to settle arguments. When two fractions share a bottom, their pieces are the **same size** — so comparing is just counting. 5/8 vs 3/8 of one cake is five pieces aga"
"fr-04-01","c2","frac-compare-same-denom","Same denominator: more shaded pieces wins.","See it both ways. **On the line:** same bottoms mean same jump size — the bigger top takes more jumps and lands farther from 0. **On the bar:** more same-size pieces stac"
"fg-02-03","c1","line-intercepts","A slanted line crossing both axes: the point where it crosses the y-axis is the y-intercept (there x is 0), and where it crosses the x-axis is the x-intercept (there y is","A linear function is written **y = mx + b**: m is the slope (rate of change) and b is the **initial value** — the output when x = 0, where the line starts. In y = 3x + 2,"
"lf-04-02","c1","coordinate-plane","The coordinate plane: x-axis right, y-axis up, origin at (0, 0); the point (3, 2) is reached by going 3 right, then 2 up.","Two points also fix a line. Work in order: first the **slope**, m = (y₂ − y₁)/(x₂ − x₁). Then use **either point** to get b = y₁ − m·x₁. Then write **y = mx + b**, and co"
"mult-04-03","c1","mult3-missing-factor","Division finds the missing factor.","Instead of leaving a blank, mathematicians drop a **letter** into the empty slot: 3 × n = 12. The letter isn't scary — it's a name tag pinned on the mystery number while "
"mult-04-03","c2","mult3-missing-factor","Division finds the missing factor.","To catch a letter's number, **use the fact family**: for n × 4 = 28, the family of 4, 7, 28 says n = 28 ÷ 4 = 7. Then always **swap the number back in** — if the sentence"
"se-01-03","c1","coordinate-plane","The coordinate plane: x-axis right, y-axis up, origin at (0, 0); the point (3, 2) is reached by going 3 right, then 2 up.","You can tell how many solutions a system has **before** solving, by comparing the lines. **Different slopes** → they cross once → **one solution**. **Same slope, differen"
"se-02-01","c1","coordinate-plane","The coordinate plane: x-axis right, y-axis up, origin at (0, 0); the point (3, 2) is reached by going 3 right, then 2 up.","Graphing is slow and imprecise. **Substitution** is exact. When one equation already says **y = (something)**, replace y in the *other* equation with that something. Now "
"se-02-03","c1","coordinate-plane","The coordinate plane: x-axis right, y-axis up, origin at (0, 0); the point (3, 2) is reached by going 3 right, then 2 up.","Substitution solves **any** system, whether or not the graph is clear. The full method: isolate a variable if needed, substitute into the other equation, solve for one va"
"se-03-01","c1","coordinate-plane","The coordinate plane: x-axis right, y-axis up, origin at (0, 0); the point (3, 2) is reached by going 3 right, then 2 up.","**Elimination** combines the two equations so one variable disappears. If a variable has **opposite** coefficients (+y in one, −y in the other), **add** the equations — i"
"se-03-02","c1","coordinate-plane","The coordinate plane: x-axis right, y-axis up, origin at (0, 0); the point (3, 2) is reached by going 3 right, then 2 up.","When no coefficients line up, **multiply one whole equation** by a number so a coefficient matches the other. Then add or subtract as usual. Multiplying every term of an "
"se-03-03","c1","coordinate-plane","The coordinate plane: x-axis right, y-axis up, origin at (0, 0); the point (3, 2) is reached by going 3 right, then 2 up.","Sometimes **both** equations need scaling. Multiply each by its own number so one variable's coefficients match, then subtract (or add). It's the same method with one ext"
"se-04-01","c1","coordinate-plane","The coordinate plane: x-axis right, y-axis up, origin at (0, 0); the point (3, 2) is reached by going 3 right, then 2 up.","Word problems become systems: **name each unknown**, then write **one equation per fact**. A total gives x + y = (sum). A difference — ""x is k more than y"" — gives x − y "
"se-04-02","c1","coordinate-plane","The coordinate plane: x-axis right, y-axis up, origin at (0, 0); the point (3, 2) is reached by going 3 right, then 2 up.","Two-category problems give two equations: a **count** equation (how many of each — x + y = total) and a **value** equation (what they're worth — price·x + price·y = total"
"se-04-03","c1","coordinate-plane","The coordinate plane: x-axis right, y-axis up, origin at (0, 0); the point (3, 2) is reached by going 3 right, then 2 up.","With three methods available, pick the easiest: **substitution** when a variable is already isolated (or easy to isolate), **elimination** when coefficients line up or sc"
