lesson_id,step_id,field,include_arithmetic,pattern,detail,text
avp-01-01,i1,widget.successFeedback,true,WORD_TEARING,"…Positio⟦n −6⟧…","Position −6, distance 6. One marker, two honest numbers — and only the distance is |−6|."
avp-01-01,i1,widget.lowFeedback,true,WORD_TEARING,"…u have passe⟦d −6⟧…","Too far left — you have passed −6."
avp-01-01,i1,widget.highFeedback,true,WORD_TEARING,"… going towar⟦d −6⟧…","Not far enough left — keep going toward −6."
avp-01-01,k1,explanationVariants,true,WORD_TEARING,"…and 6 > 4, s⟦o −6⟧…","|−6| = 6 and |4| = 4, and 6 > 4, so −6 sits farther from zero even though −6 is the smaller number."
avp-01-01,k1,explanationVariants,true,WORD_TEARING,"…o even thoug⟦h −6⟧…","|−6| = 6 and |4| = 4, and 6 > 4, so −6 sits farther from zero even though −6 is the smaller number."
avp-01-01,c2,body,true,WORD_TEARING,"… |6| = 6, bu⟦t −6 ≠ 6⟧…","So two numbers can share a distance while disagreeing about everything else. |−6| = |6| = 6, but −6 ≠ 6. Absolute value throws away the side and keeps the size; the number itself is unharmed by being measured."
avp-01-01,k2,explanationVariants,true,WORD_TEARING,"… asks how fa⟦r −9⟧…","|−9| asks how far −9 is from 0: nine units, so the value is 9."
avp-01-01,k2,widget.fallbackFeedback,true,WORD_TEARING,"…its from 0 t⟦o −9⟧…","Count units from 0 to −9: nine of them. |−9| = 9."
avp-01-01,k2,widget.commonErrors[].feedback,true,WORD_TEARING,"…ro would mea⟦n −9⟧…","Zero would mean −9 sits ON zero. It sits nine units to the left."
avp-01-01,k3,explanationVariants,true,WORD_TEARING,"…d |5| = 5, s⟦o −7⟧…","|−7| = 7 and |5| = 5, so −7 is farther out despite being the smaller number."
avp-01-01,ch1,explanationVariants,true,WORD_TEARING,"…from 0: 5 an⟦d −5⟧…","Two points sit exactly five units from 0: 5 and −5."
avp-01-01,ch1,widget.commonErrors[].feedback,true,WORD_TEARING,"…points: 5 an⟦d −5⟧…","That is the distance itself, not the number of solutions. Count the qualifying points: 5 and −5."
avp-01-01,r1,takeaways,true,WORD_TEARING,"… |6| = 6, bu⟦t −6 ≠ 6⟧…","Absolute value discards the side and keeps the size: |−6| = |6| = 6, but −6 ≠ 6."
avp-01-01,rem-avp-abs-distance-c,body,true,WORD_TEARING,"… |6| = 6, bu⟦t −6 ≠ 6⟧…","So two numbers can share a distance while disagreeing about everything else. |−6| = |6| = 6, but −6 ≠ 6. Absolute value throws away the side and keeps the size; the number itself is unharmed by being measured."
avp-01-01,rem-avp-abs-distance-k,explanationVariants,true,WORD_TEARING,"…and 6 > 4, s⟦o −6⟧…","|−6| = 6 and |4| = 4, and 6 > 4, so −6 sits farther from zero even though −6 is the smaller number."
avp-01-01,rem-avp-abs-distance-k,explanationVariants,true,WORD_TEARING,"…o even thoug⟦h −6⟧…","|−6| = 6 and |4| = 4, and 6 > 4, so −6 sits farther from zero even though −6 is the smaller number."
avp-01-02,i1,widget.missFeedback,true,WORD_TEARING,"…distance fro⟦m −2⟧…","|−2| is the distance from −2 to 0, which is 2. So the point is (−2, 2)."
avp-01-02,c2,body,true,WORD_TEARING,"…alls at slop⟦e −1⟧…","The corner is the signature. A line has one constant slope; the V has two — it falls at slope −1 until the origin, then climbs at slope +1. The switch happens exactly where the inside of the bars changes sign, and that is the vertex."
avp-01-02,c2,body,true,WORD_TEARING,"…imbs at slop⟦e +1⟧…","The corner is the signature. A line has one constant slope; the V has two — it falls at slope −1 until the origin, then climbs at slope +1. The switch happens exactly where the inside of the bars changes sign, and that is the vertex."
avp-01-02,ch1,explanationVariants,true,WORD_TEARING,"…from 0: 6 an⟦d −6⟧…","Height 6 needs distance 6, and two inputs are six units from 0: 6 and −6."
avp-01-02,r1,takeaways,true,WORD_TEARING,"…is a V: slop⟦e −1⟧…","y = |x| is a V: slope −1 into the vertex, slope +1 out of it."
avp-01-02,r1,takeaways,true,WORD_TEARING,"…vertex, slop⟦e +1⟧…","y = |x| is a V: slope −1 into the vertex, slope +1 out of it."
avp-01-02,rem-avp-v-graph-c,body,true,WORD_TEARING,"…alls at slop⟦e −1⟧…","The corner is the signature. A line has one constant slope; the V has two — it falls at slope −1 until the origin, then climbs at slope +1. The switch happens exactly where the inside of the bars changes sign, and that is the vertex."
avp-01-02,rem-avp-v-graph-c,body,true,WORD_TEARING,"…imbs at slop⟦e +1⟧…","The corner is the signature. A line has one constant slope; the V has two — it falls at slope −1 until the origin, then climbs at slope +1. The switch happens exactly where the inside of the bars changes sign, and that is the vertex."
avp-01-03,c1,body,true,WORD_TEARING,"…ere else. Th⟦e −2⟧…","y = |x − 2| − 3 is still the same V, standing somewhere else. The −2 INSIDE the bars moves it horizontally; the −3 outside moves it vertically. The vertex is wherever the inside of the bars equals 0 — that is the one input the shift is built around."
avp-01-03,c1,body,true,WORD_TEARING,"…zontally; th⟦e −3⟧…","y = |x − 2| − 3 is still the same V, standing somewhere else. The −2 INSIDE the bars moves it horizontally; the −3 outside moves it vertically. The vertex is wherever the inside of the bars equals 0 — that is the one input the shift is built around."
