# sourceSeal=53da787 generatedBy=scripts/audit/math-presentation-indexes.mts
# Right value, wrong shape: machine ordering and redundant coefficients.
# Measured as the PROSE RESIDUE after authoredMathParts removes every island — what the learner reads, not what the author wrote.
# Surface is derived from the call sites: widget spec strings render with arithmetic OFF, lesson body/hints/feedback with arithmetic ON.
# One row per (source, owner, unit, field, shape); a generator emitting the same shape at every seed appears once, with one representative seed.
source,owner,unit,field,surface,shape,seed,residue,text
authored,bt-02-01,i1,widget.successFeedback,arithmetic-off,redundant unit coefficient (1x),,"x² + 6x + 5. The strips are 5x and 1x, and they ADD to 6x — while the corner multiplies to 5. Two regions, two different operations.","x² + 6x + 5. The strips are 5x and 1x, and they ADD to 6x — while the corner multiplies to 5. Two regions, two different operations."
authored,ep-02-03,i1,widget.xFeedback,arithmetic-off,redundant unit coefficient (1x),,The x-tiles are off: 2x minus x leaves 1x.,The x-tiles are off: 2x minus x leaves 1x.
authored,ee-02b-02,i1,widget.successFeedback,arithmetic-off,redundant unit coefficient (1x),,"One x-tile. Written out in full the term is 1x, so the coefficient is 1 even though nobody writes it. The constant term is 7.","One x-tile. Written out in full the term is 1x, so the coefficient is 1 even though nobody writes it. The constant term is 7."
authored,ee-02b-02,k3,widget.commonErrors[0].feedback,arithmetic-off,redundant unit coefficient (1x),,"The − y removes one y. Since y means 1y, the count drops from 6 to 5.","The − y removes one y. Since y means 1y, the count drops from 6 to 5."
authored,ee-02b-02,k3,widget.fallbackFeedback,arithmetic-off,redundant unit coefficient (1x),,"y means 1y, so 6y − 1y = 5y.","y means 1y, so 6y − 1y = 5y."
authored,fg-03-01,k3,widget.commonBuilds[0].feedback,arithmetic-off,redundant unit coefficient (1x),,"That swaps the roles — rising 1 per step is the slope (so 1x), and crossing at 4 is the initial value (+4): y = x + 4.","That swaps the roles — rising 1 per step is the slope (so 1x), and crossing at 4 is the initial value (+4): y = x + 4."
authored,se-01-01,k1,widget.lines[0].sourceText,arithmetic-off,redundant unit coefficient (1x),,-2x + 1y = 0,-2x + 1y = 0
authored,se-01-01,k1,widget.lines[1].sourceText,arithmetic-off,redundant unit coefficient (1x),,-1x + 1y = 3,-1x + 1y = 3
authored,se-01-01,k3,widget.lines[0].sourceText,arithmetic-off,redundant unit coefficient (1x),,-1x + 1y = 1,-1x + 1y = 1
authored,se-01-01,k3,widget.lines[1].sourceText,arithmetic-off,redundant unit coefficient (1x),,1x + 1y = 5,1x + 1y = 5
authored,se-01-02,k1,widget.lines[0].sourceText,arithmetic-off,redundant unit coefficient (1x),,-2x + 1y = -1,-2x + 1y = -1
