# sourceSeal=f307ac2 generatedBy=scripts/audit/math-presentation-indexes.mts
# A decimal expansion that looks like an invented rounding — CLAUDE.md rule 6.
# Measured as the PROSE RESIDUE after authoredMathParts removes every island — what the learner reads, not what the author wrote.
# Surface is derived from the call sites: widget spec strings render with arithmetic OFF, lesson body/hints/feedback with arithmetic ON.
# One row per (source, owner, unit, field, shape); a generator emitting the same shape at every seed appears once, with one representative seed.
source,owner,unit,field,surface,shape,seed,residue,text
authored,esn-03-02,k1,widget.prompt,arithmetic-off,"9 decimal places, no stated convention",,0.000000091 in scientific notation is:,0.000000091 in scientific notation is:
authored,esn-03-02,i2,widget.commonErrors[0].feedback,arithmetic-off,"6 decimal places, no stated convention",,That's 4.7 × 10⁻⁴ — one power too few; 4.7 × 10⁻⁵ needs one more zero: 0.000047.,That's 4.7 × 10⁻⁴ — one power too few; 4.7 × 10⁻⁵ needs one more zero: 0.000047.
authored,esn-03-02,i2,widget.fallbackFeedback,arithmetic-off,"6 decimal places, no stated convention",,4.7 × 10⁻⁵ = 0.000047 (5 places before the 4).,4.7 × 10⁻⁵ = 0.000047 (5 places before the 4).
authored,esn-03-02,i3,widget.prompt,arithmetic-off,"7 decimal places, no stated convention",,0.0000002 in scientific notation is:,0.0000002 in scientific notation is:
authored,esn-03-02,ch1,widget.prompt,arithmetic-off,"8 decimal places, no stated convention",,0.00000003 in scientific notation is:,0.00000003 in scientific notation is:
authored,sr-05-03,i1,widget.choices[3].feedback,arithmetic-off,"6 decimal places, no stated convention",," = 0.363636…, a TWO-digit repeat — a different pattern entirely.","4/11 = 0.363636…, a TWO-digit repeat — a different pattern entirely."
authored,rns-01-01,ch1,hints[2],arithmetic-on,"6 decimal places, no stated convention",,"The remainder returns to 5 after two steps, so the two-digit block ""45"" repeats forever: 0.454545…","The remainder returns to 5 after two steps, so the two-digit block ""45"" repeats forever: 0.454545…"
authored,rns-01-01,ch1,widget.choices[0].label,arithmetic-off,"6 decimal places, no stated convention",,"0.454545…, the block ""45"" repeats forever","0.454545…, the block ""45"" repeats forever"
authored,rns-01-03,k2,body,arithmetic-on,"6 decimal places, no stated convention",,Convert 0.454545… to a fraction in lowest terms.,Convert 0.454545… to a fraction in lowest terms.
authored,rns-01-03,k2,widget.prompt,arithmetic-off,"6 decimal places, no stated convention",,"0.454545… (block ""45"" repeats) equals:","0.454545… (block ""45"" repeats) equals:"
authored,rns-01-03,k3,body,arithmetic-on,"6 decimal places, no stated convention",,Convert 0.181818… to a fraction in lowest terms.,Convert 0.181818… to a fraction in lowest terms.
authored,rns-01-03,k3,widget.prompt,arithmetic-off,"6 decimal places, no stated convention",,"0.181818… (block ""18"" repeats) equals:","0.181818… (block ""18"" repeats) equals:"
authored,rns-01-03,ch1,widget.prompt,arithmetic-off,"9 decimal places, no stated convention",,"0.123123123… (block ""123"" repeats) equals, in lowest terms:","0.123123123… (block ""123"" repeats) equals, in lowest terms:"
authored,rns-02-02,k1,widget.items[2].label,arithmetic-off,"6 decimal places, no stated convention",,0.101010… (repeating),0.101010… (repeating)
authored,rns-02-02,k3,widget.prompt,arithmetic-off,"13 decimal places, no stated convention",,Is 0.3833833383333… (the run of 3s keeps growing) rational or irrational?,Is 0.3833833383333… (the run of 3s keeps growing) rational or irrational?
authored,rns-02-02,ch1,widget.options[3].label,arithmetic-off,"14 decimal places, no stated convention",,0.12122122212222… (the pattern keeps growing),0.12122122212222… (the pattern keeps growing)
authored,rns-03-03,k2,widget.options[3].feedback,arithmetic-off,"6 decimal places, no stated convention",,You can tell — = 3.142857… and π = 3.141592… — compare digit by digit.,You can tell — 22/7 = 3.142857… and π = 3.141592… — compare digit by digit.
generated,sci-notation,small,widget.prompt,arithmetic-off,"6 decimal places, no stated convention",sci-notation|small|support|0,0.000053 in scientific notation is:,0.000053 in scientific notation is:
generated,sci-notation,small,widget.prompt,arithmetic-off,"8 decimal places, no stated convention",sci-notation|small|core|1,0.00000023 in scientific notation is:,0.00000023 in scientific notation is:
generated,sci-notation,small,widget.prompt,arithmetic-off,"7 decimal places, no stated convention",sci-notation|small|core|4,0.0000045 in scientific notation is:,0.0000045 in scientific notation is:
generated,sci-notation,small,widget.prompt,arithmetic-off,"9 decimal places, no stated convention",sci-notation|small|core|7,0.000000075 in scientific notation is:,0.000000075 in scientific notation is:
generated,repeat-decimal,twoDigit,widget.prompt,arithmetic-off,"6 decimal places, no stated convention",repeat-decimal|twoDigit|support|0,"0.505050… (the block ""50"" repeats) equals, in lowest terms:","0.505050… (the block ""50"" repeats) equals, in lowest terms:"
generated,repeat-decimal,threeDigit,widget.prompt,arithmetic-off,"9 decimal places, no stated convention",repeat-decimal|threeDigit|support|0,"0.705705705… (the block ""705"" repeats) equals, in lowest terms:","0.705705705… (the block ""705"" repeats) equals, in lowest terms:"
generated,g8-rns-decimal-classify,rnsBlockRepeat,widget.choices[1].label,arithmetic-off,"6 decimal places, no stated convention",g8-rns-decimal-classify|rnsBlockRepeat|support|0,0.181818…,0.181818…
generated,g8-rns-decimal-classify,rnsBlockRepeat,widget.choices[3].label,arithmetic-off,"6 decimal places, no stated convention",g8-rns-decimal-classify|rnsBlockRepeat|core|1,0.454545…,0.454545…
generated,g8-rns-decimal-classify,rnsBlockRepeat,widget.choices[2].label,arithmetic-off,"6 decimal places, no stated convention",g8-rns-decimal-classify|rnsBlockRepeat|stretch|2,0.454545…,0.454545…
generated,g8-rns-decimal-classify,rnsBlockRepeat,widget.choices[0].label,arithmetic-off,"6 decimal places, no stated convention",g8-rns-decimal-classify|rnsBlockRepeat|core|4,0.636363…,0.636363…
generated,g8-rns-root-classify,rnsClassifyMixed,widget.items[2].label,arithmetic-off,"6 decimal places, no stated convention",g8-rns-root-classify|rnsClassifyMixed|support|0,0.272727… (repeating),0.272727… (repeating)
generated,g8-rns-root-classify,rnsClassifyGrowingDecimal,widget.prompt,arithmetic-off,"9 decimal places, no stated convention",g8-rns-root-classify|rnsClassifyGrowingDecimal|support|0,Is 0.141144111… (the run lengths continue growing) (the runs of 1 and 4 keep growing) rational or irrational?,Is 0.141144111… (the run lengths continue growing) (the runs of 1 and 4 keep growing) rational or irrational?
generated,g8-rns-root-classify,rnsClassifyGrowingDecimal,widget.prompt,arithmetic-off,"12 decimal places, no stated convention",g8-rns-root-classify|rnsClassifyGrowingDecimal|stretch|2,Is 0.272277222777… (the run lengths continue changing) (the runs of 2 and 7 keep changing) rational or irrational?,Is 0.272277222777… (the run lengths continue changing) (the runs of 2 and 7 keep changing) rational or irrational?
generated,g8-rns-root-classify,rnsClassifyPickRational,widget.options[3].label,arithmetic-off,"9 decimal places, no stated convention",g8-rns-root-classify|rnsClassifyPickRational|support|0,0.242244222… (the run lengths keep changing),0.242244222… (the run lengths keep changing)
generated,g8-rns-root-classify,rnsClassifyPickRational,widget.options[0].label,arithmetic-off,"9 decimal places, no stated convention",g8-rns-root-classify|rnsClassifyPickRational|stretch|2,0.313311333… (the run lengths keep changing),0.313311333… (the run lengths keep changing)
