# sourceSeal=0404c28 generatedBy=scripts/audit/math-presentation-indexes.mts
# A slash fraction the learner reads as a slash rather than as a stacked fraction.
# Measured as the PROSE RESIDUE after authoredMathParts removes every island — what the learner reads, not what the author wrote.
# Surface is derived from the call sites: widget spec strings render with arithmetic OFF, lesson body/hints/feedback with arithmetic ON.
# One row per (source, owner, unit, field, shape); a generator emitting the same shape at every seed appears once, with one representative seed.
source,owner,unit,field,surface,shape,seed,residue,text
authored,re-02-01,i1,widget.options[0].feedback,arithmetic-off,slash fraction in prose,,Right — 5/5 = : the 5s cancel completely.,Right — 5√5/5 = √5: the 5s cancel completely.
authored,re-02-01,i1,widget.options[1].feedback,arithmetic-off,slash fraction in prose,,Multiplying by / puts a 5 underneath too: 5/5 = .,Multiplying by √5/√5 puts a 5 underneath too: 5√5/5 = √5.
authored,re-02-01,c2,body,arithmetic-on,slash fraction in prose,,With a coefficient: 6/ → multiply by / → 6/3 = 2. Always finish with the ordinary fraction reduction. And simplify the radical FIRST when you can: 4/ = 4/(2) = ,With a coefficient: 6/√3 → multiply by √3/√3 → 6√3/3 = **2√3**. Always finish with the ordinary fraction reduction. And simplify the radical FIRST when you can: 4/√8 = 4/(2√2) = 2/√2 = **√2** — much less work than ration
authored,re-02-01,k1,widget.commonBuilds[0].feedback,arithmetic-off,slash fraction in prose,,The trick adds a denominator of 5 — reduce: 10/5 = 2.,The trick adds a denominator of 5 — reduce: 10√5/5 = 2√5.
authored,re-02-01,k1,widget.commonBuilds[1].feedback,arithmetic-off,slash fraction in prose,,The trick adds a denominator of 5 — reduce: 10/5 = 2.,The trick adds a denominator of 5 — reduce: 10√5/5 = 2√5.
authored,re-02-01,k1,widget.successFeedback,arithmetic-off,slash fraction in prose,,Right — 10/5 reduces to 2.,Right — 10√5/5 reduces to 2√5.
authored,re-02-01,k2,widget.commonBuilds[3].feedback,arithmetic-off,slash fraction in prose,," still simplifies (2), leaving 2/2 = .","√8 still simplifies (2√2), leaving 2√2/2 = √2."
authored,re-02-01,k2,widget.successFeedback,arithmetic-off,slash fraction in prose,,"Right — 4/(2) = 2/, then rationalize: 2/2 = .","Right — 4/(2√2) = 2/√2, then rationalize: 2√2/2 = √2."
authored,re-02-01,ch1,hints[2],arithmetic-on,slash fraction in prose,,Multiply by /: 3/3 = .,Multiply by √3/√3: 3√3/3 = √3.
authored,re-02-01,ch1,widget.commonBuilds[0].feedback,arithmetic-off,slash fraction in prose,,"Track the reductions: 9/(3) = 3/, and rationalizing gives 3/3 = — the 3 cancels.","Track the reductions: 9/(3√3) = 3/√3, and rationalizing gives 3√3/3 = √3 — the 3 cancels."
authored,re-02-01,ch1,widget.commonBuilds[1].feedback,arithmetic-off,slash fraction in prose,,"Track the reductions: 9/(3) = 3/, and rationalizing gives 3/3 = — the 3 cancels.","Track the reductions: 9/(3√3) = 3/√3, and rationalizing gives 3√3/3 = √3 — the 3 cancels."
authored,re-02-01,ch1,widget.commonBuilds[3].feedback,arithmetic-off,slash fraction in prose,,Unfinished — still simplifies: 3/3 = is the fully reduced form.,Unfinished — √27 still simplifies: 3√3/3 = √3 is the fully reduced form.
