# sourceSeal=da05ccf generatedBy=scripts/audit/math-presentation-indexes.mts
# Derivative notation left as ASCII where it should be typeset.
# Measured as the PROSE RESIDUE after authoredMathParts removes every island — what the learner reads, not what the author wrote.
# Surface is derived from the call sites: widget spec strings render with arithmetic OFF, lesson body/hints/feedback with arithmetic ON.
# One row per (source, owner, unit, field, shape); a generator emitting the same shape at every seed appears once, with one representative seed.
source,owner,unit,field,surface,shape,seed,residue,text
authored,dr-01-01,c2,body,arithmetic-on,dy/dx as a slash,,"Three notations, one object: f′(x) — Lagrange. Compact; good for stating rules. dy/dx — Leibniz. It looks like a fraction, and in the chain rule it behaves like","Three notations, one object: **f′(x)** — Lagrange. Compact; good for stating rules. **dy/dx** — Leibniz. It *looks* like a fraction, and in the chain rule it behaves like one. **d/dx[ ]** — the operator. Read it as ""diff"
authored,dr-02-01,c1,body,arithmetic-on,d/dx as a slash,,"Take the limit by hand for x², x³, x⁴ and a pattern appears immediately: x² → ³ → 3x² · x⁴ → 4x³ The exponent drops in front, and the power falls by one: d/dx[x","Take the limit by hand for x², x³, x⁴ and a pattern appears immediately: x² → 2x · x³ → 3x² · x⁴ → 4x³ **The exponent drops in front, and the power falls by one:** d/dx[xⁿ] = n·xⁿ⁻¹. One rule retires an infinite family o"
authored,dr-02-02,c1,body,arithmetic-on,d/dx as a slash,,Three rules that cost nothing: Constants have zero slope. d/dx[7] = 0 — a horizontal line does not climb. Constants factor out. d/dx[5f] = 5f′ — stretching a cu,Three rules that cost nothing: **Constants have zero slope.** d/dx[7] = 0 — a horizontal line does not climb. **Constants factor out.** d/dx[5f] = 5f′ — stretching a curve vertically stretches its slopes by the same amou
authored,dr-02-02,k1,widget.prompt,arithmetic-off,d/dx as a slash,,Why is d/dx[x² + 7] the same as d/dx[x²]?,Why is d/dx[x² + 7] the same as d/dx[x²]?
authored,dr-04-01,c1,body,arithmetic-on,dy/dx as a slash,,Three gears. x turns u three times as fast; u turns y five times as fast. How fast does x turn y? Fifteen. Rates multiply along a chain: dy/dx = (dy/du)·(du/dx),Three gears. x turns u three times as fast; u turns y five times as fast. How fast does x turn y? Fifteen. **Rates multiply along a chain:** dy/dx = (dy/du)·(du/dx) And the Leibniz notation is not a coincidence — the du 
authored,dr-04-01,i1,predict.reveal,arithmetic-on,dy/dx as a slash,,"15. Rates along a chain MULTIPLY — each stage scales whatever the previous one handed it, so tripling then quintupling is fifteen-fold. That single fact is the ","15. Rates along a chain MULTIPLY — each stage scales whatever the previous one handed it, so tripling then quintupling is fifteen-fold. That single fact is the chain rule; dy/dx = dy/du · du/dx is bookkeeping laid over i"
authored,dr-04-01,i1,widget.successFeedback,arithmetic-off,dy/dx as a slash,,"The inner stage triples change and the outer stage multiplies that result by five, so dy/dx = 15.","The inner stage triples change and the outer stage multiplies that result by five, so dy/dx = 15."
authored,dr-04-02,i1,widget.panels[1].body,arithmetic-off,d/dx as a slash,,"Product rule: 2x·(3x+1)⁴ + x²·[d/dx (3x+1)⁴]. That bracket is a separate, smaller problem — and it needs the chain rule: 4(3x+1)³·3 = 12(3x+1)³.","Product rule: 2x·(3x+1)⁴ + x²·[d/dx (3x+1)⁴]. That bracket is a separate, smaller problem — and it needs the chain rule: 4(3x+1)³·3 = 12(3x+1)³."
authored,dr-04-02,c2,body,arithmetic-on,dy/dx as a slash,,"Some functions refuse to be written as (x) at all. x² + y² = 25 defines a whole circle, and no single formula gives y. Differentiate the equation anyway. Treat ","Some functions refuse to be written as y = f(x) at all. x² + y² = 25 defines a whole circle, and no single formula gives y. **Differentiate the equation anyway.** Treat y as a function of x, and every time you differenti"
authored,dr-04-02,k3,body,arithmetic-on,dy/dx as a slash,,The dy/dx that appears from nowhere.,The dy/dx that appears from nowhere.
authored,dr-04-02,k3,widget.options[0].label,arithmetic-off,dy/dx as a slash,,2y·(dy/dx),2y·(dy/dx)
authored,dr-04-02,k3,widget.options[1].feedback,arithmetic-off,dy/dx as a slash,,"That would be right if you were differentiating with respect to y. With respect to x, the chain rule adds a factor of dy/dx.","That would be right if you were differentiating with respect to y. With respect to x, the chain rule adds a factor of dy/dx."
authored,dr-04-02,k3,widget.options[3].feedback,arithmetic-off,dy/dx as a slash,,"y is not a constant — it changes as x changes, which is exactly why it has a derivative dy/dx.","y is not a constant — it changes as x changes, which is exactly why it has a derivative dy/dx."
authored,dr-04-02,ch1,hints[1],arithmetic-on,dy/dx as a slash,,You get . Now solve for dy/dx.,You get 2x + 2y·(dy/dx) = 0. Now solve for dy/dx.
authored,dr-04-02,ch1,hints[2],arithmetic-on,dy/dx as a slash,,"dy/dx = −x/y. Substitute the point (3, 4) and give a decimal.","dy/dx = −x/y. Substitute the point (3, 4) and give a decimal."
authored,dr-04-02,ch1,widget.prompt,arithmetic-off,dy/dx as a slash,,"x² + y² = 25. Find dy/dx at the point (3, 4), as a decimal.","x² + y² = 25. Find dy/dx at the point (3, 4), as a decimal."
authored,dr-04-02,ch1,widget.commonErrors[2].feedback,arithmetic-off,dy/dx as a slash,,"Close, but inverted: dy/dx = −x/y = −, not −y/x.","Close, but inverted: dy/dx = −x/y = −3/4, not −y/x."
authored,dr-04-03,c1,body,arithmetic-on,dy/dx as a slash,,"An implicit derivative usually comes out in terms of both x and y — and that is not a failure. It is the honest answer. On a circle, dy/dx = −x/y. The slope dep","An implicit derivative usually comes out in terms of **both x and y** — and that is not a failure. It is the honest answer. On a circle, dy/dx = −x/y. The slope depends on WHERE you are on the curve, and a circle has two"
authored,dr-04-03,k1,widget.prompt,arithmetic-off,dy/dx as a slash,,"On x² + y² = 25, why does dy/dx = −x/y depend on y as well as x?","On x² + y² = 25, why does dy/dx = −x/y depend on y as well as x?"
authored,dr-04-03,i1,widget.panels[0].body,arithmetic-off,dy/dx as a slash,,x² + y² = 25 gives 2x + 2y·(dy/dx) = 0. Every y costs a dy/dx — that is the chain rule doing its job.,x² + y² = 25 gives 2x + 2y·(dy/dx) = 0. Every y costs a dy/dx — that is the chain rule doing its job.
authored,dr-04-03,i1,widget.panels[1].body,arithmetic-off,dy/dx as a slash,,"dy/dx = −x/y. At the point (3, 4) that is −. Notice we never had to write y as a function of x, and we could not have done so for the whole circle anyway.","dy/dx = −x/y. At the point (3, 4) that is −3/4. Notice we never had to write y as a function of x, and we could not have done so for the whole circle anyway."
authored,dr-04-03,i1,widget.successFeedback,arithmetic-off,dy/dx as a slash,,"Differentiate, solve for dy/dx, substitute the point. Then it is a line through a point with a slope, and you have known how to do that for years.","Differentiate, solve for dy/dx, substitute the point. Then it is a line through a point with a slope, and you have known how to do that for years."
authored,dr-04-03,i1b,body,arithmetic-on,dy/dx as a slash,,The reveal computed the slope at one point. Now hold the whole circle: slide the point and watch dy/dx come straight out of the relation — no y(x) formula ever ,The reveal computed the slope at one point. Now hold the whole circle: slide the point and watch dy/dx come straight out of the relation — no y(x) formula ever written.
