lesson,step,current_widget,trigger_phrase,proposed_engine,same_course_precedent,confidence,prompt,resolution
fr-01-04,k2,mcq,turn the bottom dial up,fractionBar,yes,high,Keep the top at 1 and turn the bottom dial up: 1/3 becomes 1/9. Your amount of the whole…,"DONE i1b fractionBar (hold top at 1, dial bottom 3->9)"
g5u-02-01,k3,mcq,what happens to the denominator,fractionBar,yes,high,"When you add 6/12 + 5/12, what happens to the denominator?","CLOSED served-by-i1/i2 - the lesson already carries TWO fractionBar interactives immediately before this check; the check is a conceptual consolidation of them. Inserting a third would break session197 A-tier shape across all 14 course lessons. User ruling, session D."
g5u-01-05,k2,mcq,what happens to the denominator,fractionBar,yes,high,"When you add 5/12 + 5/12, what happens to the denominator?","CLOSED served-by-i1/i2 - same as g5u-02-01/k3: two fractionBar interactives already precede this check. User ruling, session D."
fa-01-02,k3,numeric,slicing every piece of a smaller fraction into 2 pieces each,fractionBar,yes,high,2/6 was made by slicing every piece of a smaller fraction into 2 pieces each. What was the ORIGINAL fraction's numerator (before slicing)?,DONE i2b fractionBar (slice a quarter into 3 -> 3/12)
si-03-02,k2,mcq,switch a report ... what happens to the interval,ciCapture,yes,high,"You switch a report from 95% confidence to 99% confidence, keeping the same sample. What happens to the interval?",DONE i1b ciCapture (same 80-person sample at the 99% width)
dc-02-01,k3,numeric,radius grows at dr/dt = 2 cm/s,relatedRatesLab,yes,high,"A circle's radius grows at dr/dt = 2 cm/s. Find dA/dt when r = 3, as a multiple of π (give just the number).",NOT POSSIBLE - relatedRatesLab models only the ladder x^2+y^2=L^2 (schema.ts RelatedRatesLabSpec.ladderLength); this check is dA/dt for a circle. The lesson already carries the ladder lab at i1b.
dc-02-01,ch1,numeric,radius grows at 2 cm/s,relatedRatesLab,yes,high,"A spherical balloon's radius grows at 2 cm/s. Find dV/dt when r = 3, as a multiple of π (give just the number).",NOT POSSIBLE - same engine limit; this check is dV/dt for a sphere.
de-01-01,k3,mcq,what happens to the field as you move upward,slopeField,yes,high,"For dy/dx = 0.5y, what happens to the field as you move upward (larger y)?","DONE i1b slopeField exponential (dy/dx = 0.5y, drag y0 up the field)"
de-03-02,k1,mcq,what happens when P is very small,slopeField,yes,high,"In dP/dt = kP(1 − P/K), what happens when P is very small compared with K?",DONE i1b slopeField logistic (start far below the ceiling)
de-03-01,ch1,mcq,which halves faster,slopeField,yes,high,Two samples of the same substance start with 1 kg and 1 microgram. Which halves faster?,DONE i2 slopeField decay (time two halvings against each other)
