bucket,lesson,step,course,title,widget,prompt
FIGURE_IS_THE_SKILL,ca-04-03,k1,curve-analysis,Reading f From a Graph of f′,mcq,The graph of f′ crosses the axis from ABOVE to BELOW at x = 2. What is at x = 2 on the graph of f?
FIGURE_IS_THE_SKILL,ca-04-03,k2,curve-analysis,Reading f From a Graph of f′,mcq,"The graph of f′ has a MAXIMUM at x = 1 (it peaks and comes back down, staying positive). What is at x = 1 on f?"
FIGURE_IS_THE_SKILL,cx-01-01,k1,coordinate-proofs,The Distance Formula,numeric,"Compute the distance from A(1, 2) to B(7, 10)."
FIGURE_IS_THE_SKILL,cx-03-03,k2,coordinate-proofs,Proofs for Every Figure,numeric,"Quadrilateral (0,0), (8,2), (10,8), (2,6) — the figure's own. Join the four side midpoints in order. Compute the slope of the side joining midpoints (4, 1) and (9, 5)."
FIGURE_IS_THE_SKILL,cx-03-03,k3,coordinate-proofs,Proofs for Every Figure,mcq,The figure shows each midpoint-parallelogram side parallel to a diagonal. Why does that prove Varignon for EVERY quadrilateral?
FIGURE_IS_THE_SKILL,cx-05-02,k1,coordinate-proofs,"On, Inside, Outside",mcq,"Against the figure's circle (x − 3)² + (y − 2)² = 25, the point (7, 2) is:"
FIGURE_IS_THE_SKILL,cx-05-03,k1,coordinate-proofs,Circles in Disguise,numeric,Complete the square on x² + y² − 6x − 4y − 12 = 0. The right side becomes r² = ?
FIGURE_IS_THE_SKILL,dd-02-01,k1,data-distributions,Dot Plots,numeric,"Add up ALL the dots in the pets plot (stacks of 1, 2, 3, 1, 1). How many students does the plot show?"
FIGURE_IS_THE_SKILL,dd-02-01,ch1,data-distributions,Dot Plots,numeric,"In the reading plot (2 dots over 10, 3 over 15, 2 over 20, 1 over 25), how many students read MORE than 15 minutes?"
FIGURE_IS_THE_SKILL,dd-04b-01,k1,data-distributions,Building a Box Plot,numeric,"A box plot has its whisker starting at 2, box edges at 7 and 16, median line at 12, and whisker ending at 20. What is Q1?"
FIGURE_IS_THE_SKILL,ee-05-02,k2,expressions-equations,Graphing Inequalities,buildExpression,A number line shows a CLOSED circle at 4 with the arrow pointing RIGHT. Which inequality does this graph?
FIGURE_IS_THE_SKILL,ee-05-02,k3,expressions-equations,Graphing Inequalities,mcq,"The graph shows x < 0 (open circle at 0, arrow left). Does x = -3 satisfy it?"
