source,line,component,aria_or_label,nearby_range_count,svg_present,pointer_drag_present,decision,rationale
src/components/widgets/numberLineRay.tsx,569,module-scope,Where the solution set begins,1,no,no,KEEP-SLIDER,"A single continuous variable is an honest slider task; retain with target-size, labels, and keyboard checks."
src/components/widgets.tsx,1178,module-scope,words ? ,4,yes,no,DIRECT,Multiple parameter sliders dominate the model; prototype direct handles with keyboard-equivalent controls.
src/components/widgets.tsx,1185,module-scope,words ? ,4,yes,no,DIRECT,Multiple parameter sliders dominate the model; prototype direct handles with keyboard-equivalent controls.
src/components/widgets.tsx,1254,ElapsedTimeW,minutes that pass,6,yes,no,DIRECT,Multiple parameter sliders dominate the model; prototype direct handles with keyboard-equivalent controls.
src/components/widgets.tsx,1314,G0,point across,6,yes,no,DIRECT,Multiple parameter sliders dominate the model; prototype direct handles with keyboard-equivalent controls.
src/components/widgets.tsx,1319,G0,point up,6,yes,no,DIRECT,Multiple parameter sliders dominate the model; prototype direct handles with keyboard-equivalent controls.
src/components/widgets.tsx,1373,W,first stage branches,5,yes,no,DIRECT,Multiple parameter sliders dominate the model; prototype direct handles with keyboard-equivalent controls.
src/components/widgets.tsx,1379,W,second stage branches,5,yes,no,DIRECT,Multiple parameter sliders dominate the model; prototype direct handles with keyboard-equivalent controls.
src/components/widgets.tsx,1488,TriangleClosureLabW,hinge angle,2,yes,no,DIRECT,Multiple parameter sliders dominate the model; prototype direct handles with keyboard-equivalent controls.
src/components/widgets.tsx,1771,SpinnerSimW,winning sectors,2,yes,no,DIRECT,Multiple parameter sliders dominate the model; prototype direct handles with keyboard-equivalent controls.
src/components/widgets.tsx,2196,Rg,arc size in degrees,3,yes,no,DIRECT,Multiple parameter sliders dominate the model; prototype direct handles with keyboard-equivalent controls.
src/components/widgets.tsx,2203,Rg,where P sits,3,yes,no,DIRECT,Multiple parameter sliders dominate the model; prototype direct handles with keyboard-equivalent controls.
src/components/widgets.tsx,2415,Y,choose the base,2,yes,yes,HYBRID,Direct object manipulation exists; retain the slider as an accessible precision fallback.
src/components/widgets.tsx,2569,module-scope,spec.mode === ,2,yes,yes,HYBRID,Direct object manipulation exists; retain the slider as an accessible precision fallback.
src/components/widgets.tsx,2692,module-scope,real part of z,3,yes,yes,HYBRID,Direct object manipulation exists; retain the slider as an accessible precision fallback.
src/components/widgets.tsx,2698,module-scope,imaginary part of z,3,yes,yes,HYBRID,Direct object manipulation exists; retain the slider as an accessible precision fallback.
src/components/widgets.tsx,2835,module-scope,horizontal part of v,4,yes,yes,HYBRID,Direct object manipulation exists; retain the slider as an accessible precision fallback.
src/components/widgets.tsx,2841,module-scope,vertical part of v,4,yes,yes,HYBRID,Direct object manipulation exists; retain the slider as an accessible precision fallback.
src/components/widgets.tsx,2912,CX,radius,4,yes,yes,HYBRID,Direct object manipulation exists; retain the slider as an accessible precision fallback.
src/components/widgets.tsx,3081,module-scope,spec.mode === ,2,yes,yes,HYBRID,Direct object manipulation exists; retain the slider as an accessible precision fallback.
src/components/widgets.tsx,3177,U,spec.mode === ,2,yes,yes,HYBRID,Direct object manipulation exists; retain the slider as an accessible precision fallback.
src/components/widgets.tsx,3312,module-scope,where the probe sits on the x-axis,2,yes,no,DIRECT,Multiple parameter sliders dominate the model; prototype direct handles with keyboard-equivalent controls.
src/components/widgets.tsx,3417,Y,arith ? ,2,yes,no,DIRECT,Multiple parameter sliders dominate the model; prototype direct handles with keyboard-equivalent controls.
src/components/widgets.tsx,3576,Cy,sas ? ,2,yes,yes,HYBRID,Direct object manipulation exists; retain the slider as an accessible precision fallback.
src/components/widgets.tsx,3697,Cy,the acute angle,3,yes,no,DIRECT,Multiple parameter sliders dominate the model; prototype direct handles with keyboard-equivalent controls.
src/components/widgets.tsx,3703,Cy,the size of the whole triangle,3,yes,no,DIRECT,Multiple parameter sliders dominate the model; prototype direct handles with keyboard-equivalent controls.
src/components/widgets.tsx,3803,R2,how wide the compass is opened,2,yes,no,DIRECT,Multiple parameter sliders dominate the model; prototype direct handles with keyboard-equivalent controls.
src/components/widgets.tsx,3891,E,where the parallel cut sits,2,yes,no,DIRECT,Multiple parameter sliders dominate the model; prototype direct handles with keyboard-equivalent controls.
src/components/widgets.tsx,4010,W,how wide the compass is opened,2,yes,yes,HYBRID,Direct object manipulation exists; retain the slider as an accessible precision fallback.
src/components/widgets.tsx,4199,module-scope,fourth corner across,4,no,yes,DIRECT,Multiple parameter sliders dominate the model; prototype direct handles with keyboard-equivalent controls.
src/components/widgets.tsx,4205,module-scope,fourth corner up,4,no,yes,DIRECT,Multiple parameter sliders dominate the model; prototype direct handles with keyboard-equivalent controls.
src/components/widgets.tsx,4256,RadicalCheckW,candidate value,4,yes,yes,HYBRID,Direct object manipulation exists; retain the slider as an accessible precision fallback.
src/components/widgets.tsx,4411,module-scope,the point on the curve,3,yes,yes,HYBRID,Direct object manipulation exists; retain the slider as an accessible precision fallback.
src/components/widgets.tsx,4421,module-scope,vertical shift C,3,yes,yes,HYBRID,Direct object manipulation exists; retain the slider as an accessible precision fallback.
src/components/widgets.tsx,4513,Y,`use the ${r.label,1,yes,no,KEEP-SLIDER,"A single continuous variable is an honest slider task; retain with target-size, labels, and keyboard checks."
src/components/widgets.tsx,4637,TAN,how far the area has been swept,2,yes,yes,HYBRID,Direct object manipulation exists; retain the slider as an accessible precision fallback.
src/components/widgets.tsx,4781,module-scope,which slice to inspect,3,yes,no,DIRECT,Multiple parameter sliders dominate the model; prototype direct handles with keyboard-equivalent controls.
src/components/widgets.tsx,4787,module-scope,number of slices,3,yes,no,DIRECT,Multiple parameter sliders dominate the model; prototype direct handles with keyboard-equivalent controls.
src/components/widgets.tsx,4895,L,the initial condition,2,yes,no,DIRECT,Multiple parameter sliders dominate the model; prototype direct handles with keyboard-equivalent controls.
src/components/widgets.tsx,4996,Y,terms ? ,2,yes,no,DIRECT,Multiple parameter sliders dominate the model; prototype direct handles with keyboard-equivalent controls.
src/components/widgets.tsx,5281,module-scope,square tiles,4,no,no,DIRECT,Multiple parameter sliders dominate the model; prototype direct handles with keyboard-equivalent controls.
src/components/widgets.tsx,5297,module-scope,long tiles,4,no,no,DIRECT,Multiple parameter sliders dominate the model; prototype direct handles with keyboard-equivalent controls.
src/components/widgets.tsx,5310,module-scope,small tiles,4,no,no,DIRECT,Multiple parameter sliders dominate the model; prototype direct handles with keyboard-equivalent controls.
src/components/widgets.tsx,5467,W,percent chosen,2,yes,no,DIRECT,Multiple parameter sliders dominate the model; prototype direct handles with keyboard-equivalent controls.
src/components/widgets.tsx,5728,W,positive chips,3,yes,no,DIRECT,Multiple parameter sliders dominate the model; prototype direct handles with keyboard-equivalent controls.
src/components/widgets.tsx,5734,W,negative chips,3,yes,no,DIRECT,Multiple parameter sliders dominate the model; prototype direct handles with keyboard-equivalent controls.
src/components/widgets.tsx,5840,CX,radius,4,yes,no,DIRECT,Multiple parameter sliders dominate the model; prototype direct handles with keyboard-equivalent controls.
src/components/widgets.tsx,5847,CX,height,4,yes,no,DIRECT,Multiple parameter sliders dominate the model; prototype direct handles with keyboard-equivalent controls.
src/components/widgets.tsx,5918,RW,label,4,yes,no,DIRECT,Multiple parameter sliders dominate the model; prototype direct handles with keyboard-equivalent controls.
src/components/widgets.tsx,6003,W,label,2,yes,no,DIRECT,Multiple parameter sliders dominate the model; prototype direct handles with keyboard-equivalent controls.
src/components/widgets.tsx,6710,G,`Set ${label,2,yes,no,DIRECT,Multiple parameter sliders dominate the model; prototype direct handles with keyboard-equivalent controls.
src/components/widgets.tsx,7032,ExactNumberLabW,drag your candidate answer along the number line,2,yes,yes,HYBRID,Direct object manipulation exists; retain the slider as an accessible precision fallback.
src/components/widgets.tsx,7715,W,label,2,yes,yes,HYBRID,Direct object manipulation exists; retain the slider as an accessible precision fallback.
src/components/widgets.tsx,7795,RatioTableW,missing value,3,yes,yes,HYBRID,Direct object manipulation exists; retain the slider as an accessible precision fallback.
src/components/widgets.tsx,7889,W,paired value,2,yes,yes,HYBRID,Direct object manipulation exists; retain the slider as an accessible precision fallback.
src/components/widgets.tsx,8005,module-scope,line slope,4,yes,yes,HYBRID,Direct object manipulation exists; retain the slider as an accessible precision fallback.
src/components/widgets.tsx,8011,module-scope,line intercept,4,yes,yes,HYBRID,Direct object manipulation exists; retain the slider as an accessible precision fallback.
src/components/widgets.tsx,8075,W,how many chosen,4,yes,yes,HYBRID,Direct object manipulation exists; retain the slider as an accessible precision fallback.
src/components/widgets.tsx,8225,W,`dots above ${v,3,yes,no,DIRECT,Multiple parameter sliders dominate the model; prototype direct handles with keyboard-equivalent controls.
src/components/widgets.tsx,8292,W,label,3,yes,no,DIRECT,Multiple parameter sliders dominate the model; prototype direct handles with keyboard-equivalent controls.
src/components/widgets.tsx,8548,W,side length,4,yes,no,DIRECT,Multiple parameter sliders dominate the model; prototype direct handles with keyboard-equivalent controls.
src/components/widgets.tsx,8557,W,width,4,yes,no,DIRECT,Multiple parameter sliders dominate the model; prototype direct handles with keyboard-equivalent controls.
src/components/widgets.tsx,8562,W,height,5,yes,no,DIRECT,Multiple parameter sliders dominate the model; prototype direct handles with keyboard-equivalent controls.
src/components/widgets.tsx,8641,W,hundreds,7,yes,no,DIRECT,Multiple parameter sliders dominate the model; prototype direct handles with keyboard-equivalent controls.
src/components/widgets.tsx,8646,W,tens,6,yes,no,DIRECT,Multiple parameter sliders dominate the model; prototype direct handles with keyboard-equivalent controls.
src/components/widgets.tsx,8651,W,ones,6,yes,no,DIRECT,Multiple parameter sliders dominate the model; prototype direct handles with keyboard-equivalent controls.
src/components/widgets.tsx,8712,W,hour hand,6,yes,no,DIRECT,Multiple parameter sliders dominate the model; prototype direct handles with keyboard-equivalent controls.
src/components/widgets.tsx,8718,W,minute hand,6,yes,no,DIRECT,Multiple parameter sliders dominate the model; prototype direct handles with keyboard-equivalent controls.
src/components/widgets.tsx,9621,W,value of x,2,yes,yes,HYBRID,Direct object manipulation exists; retain the slider as an accessible precision fallback.
src/components/widgets.tsx,9738,module-scope,angle in degrees,2,yes,yes,HYBRID,Direct object manipulation exists; retain the slider as an accessible precision fallback.
src/components/widgets.tsx,10024,module-scope,across partition,2,no,no,DIRECT,Multiple parameter sliders dominate the model; prototype direct handles with keyboard-equivalent controls.
src/components/widgets.tsx,10039,module-scope,down partition,2,no,no,DIRECT,Multiple parameter sliders dominate the model; prototype direct handles with keyboard-equivalent controls.
src/components/widgets.tsx,10174,module-scope,where the probe sits on the x-axis,2,yes,no,DIRECT,Multiple parameter sliders dominate the model; prototype direct handles with keyboard-equivalent controls.
src/components/widgets.tsx,10291,module-scope,Rotation angle in degrees counterclockwise,1,yes,yes,HYBRID,Direct object manipulation exists; retain the slider as an accessible precision fallback.
src/components/widgets.tsx,10406,G0,where the foot of the altitude sits,2,yes,yes,HYBRID,Direct object manipulation exists; retain the slider as an accessible precision fallback.
