lesson_id,step_id,concept_job,before_figure,before_render_decision,after_figure,after_render_decision,alignment,adversarial,assessed_surface
koa-02-01,c1,remove objects from a group,count-on-hops,SUPPRESS_KNOWN_MISMATCH,koa-take-away-removal,RENDER,PASS,PASS,no
koa-02-01,c2,distinguish removed from remaining,count-on-hops,SUPPRESS_KNOWN_MISMATCH,koa-take-away-removal,RENDER,PASS,PASS,no
koa-02-02,c1,cross out objects that leave,count-on-hops,SUPPRESS_KNOWN_MISMATCH,koa-subtraction-cross-out,RENDER,PASS,PASS,no
koa-02-02,c2,read plain objects as still present,count-on-hops,SUPPRESS_KNOWN_MISMATCH,koa-subtraction-cross-out,RENDER,PASS,PASS,no
koa-02-03,c1,act out children leaving,count-on-hops,SUPPRESS_KNOWN_MISMATCH,koa-subtraction-act-out,RENDER,PASS,PASS,no
koa-02-03,c2,connect each departure to one fewer,count-on-hops,SUPPRESS_KNOWN_MISMATCH,koa-subtraction-act-out,RENDER,PASS,PASS,no
koa-02-04,c1,connect taking away to the minus sign,count-on-hops,SUPPRESS_KNOWN_MISMATCH,koa-subtraction-sentence,RENDER,PASS,PASS,no
koa-02-04,c2,identify start and leaving quantities,count-on-hops,SUPPRESS_KNOWN_MISMATCH,koa-subtraction-sentence,RENDER,PASS,PASS,no
koa-02-05,c1,identify what remains,count-on-hops,SUPPRESS_KNOWN_MISMATCH,koa-count-back-left,RENDER,PASS,PASS,no
koa-02-05,c2,count back once for each object that goes,count-on-hops,SUPPRESS_KNOWN_MISMATCH,koa-count-back-left,RENDER,PASS,PASS,no
