# sourceSeal=66ac01f minReuse=3 — S242/MCQ-01. A distractor SHAPE (label with numbers,
# punctuation and function words stripped, words stemmed and sorted) that recurs and is NEVER the
# correct answer. A learner who notices the pattern eliminates an option without understanding the
# item. Shapes that are sometimes correct are excluded: those are recurring ideas, not filler.
shape,uses,courses,scope,exampleLabel,lessons
"cannot tell","22","1","one course","You cannot tell","kcm-01-01#k1 kcm-01-01#ch1 kcm-01-02#k2 kcm-01-02#ch1 kcm-01-03#k1 kcm-01-03#ch1"
"re same size","11","1","one course","they're the same size","g3f-01-02#k2 g3f-01-02#ch1 g3f-01-04#k2 g3f-02-02#k1 g3f-02-02#ch1 smg1-02-03#k1"
"equal re","10","1","one course","they're equal","c120-04-02#k3 esn-03-03#k2 esn-03-03#k3 fr-04-03#k1 fm-04-02#k2 fm-04-02#ch1"
"cannot join noth shap","9","1","one course","Nothing — shapes cannot be joined","g1s-02-01#k1 g1s-02-01#k3 g1s-02-02#k2 g1s-02-03#k1 g1s-02-03#k3 g1s-02-04#ch1"
"answer bigger get","7","1","one course","Because the answer gets bigger","g2b-01-03#k3 g2b-01-05#k3 g2b-02-02#k3 g2b-02-04#k3 g2b-03-03#k1 g2b-03-03#k2"
"look nicer on ten","7","1","one course","Because tens look nicer than ones","g2b-01-03#k3 g2b-01-05#k3 g2b-02-02#k3 g2b-02-04#k3 g2b-03-03#k1 g2b-03-03#k2"
"every requir subtraction time","7","1","one course","Because subtraction requires it every time","g2b-01-03#k3 g2b-01-05#k3 g2b-02-02#k3 g2b-02-04#k3 g2b-03-03#k1 g2b-03-03#k2"
"more one","7","1","one course","14 — one more","g1t-01-04#k1 g1t-01-04#k3 g1t-03-03#k2 g1p-01-01#k3 g1p-01-02#k1 g1p-01-02#k2"
"les one","7","1","one course","12 — one less","g1t-01-04#k1 g1t-01-04#k3 g1t-03-03#k2 g1p-01-01#k3 g1p-01-02#k1 g1p-01-02#k2"
"estimate wrong","7","1","one course","The estimate is wrong because it is not 2,822","g4m-02-02#k1 g4m-02-02#k3 g4s-02-03#k1 g4s-02-03#k3 g4s-03-01#k3 g3w-03-01#k1"
"conclud noth","7","1","one course","Nothing can be concluded","g4m-02-02#k1 g4m-02-02#k3 g4s-02-03#k1 g4s-02-03#k3 g4s-03-01#k3 tc-01-02#i2"
"correct noth","6","1","one course","Nothing — 0 is correct.","dc-04-01#k3 fa-03-01#k2 fa-03-02#k2 mb-03-01#k3 ns-03-03#k2 pv2-02-03#k3"
"piec y","6","1","one course","Yes — there are 3 pieces","g3f-01-01#k1 g3f-01-01#k3 smg1-02-01#k3 smg1-02-02#k3 ssg2-03-01#i2 ssg2-03-01#k3"
"double use","5","1","one course","Use a double","g1t-01-03#k3 g1t-02-01#k2 g1t-03-03#k1 g1p-03-03#k2 g1p-03-03#ch1"
"be r","5","1","one course","Being red","g1s-01-01#k2 g1s-01-02#ch1 g1s-01-03#k1 g1s-02-02#ch1 g1s-03-03#ch1"
"be large","5","1","one course","Being large","g1s-01-01#k2 g1s-01-02#ch1 g1s-01-03#k1 g1s-02-02#ch1 g1s-03-03#ch1"
"point upward","5","1","one course","Pointing upward","g1s-01-01#k2 g1s-01-02#ch1 g1s-01-03#k1 g1s-02-02#ch1 g1s-03-03#ch1"
"correct digit right","5","1","one course","It is right — the digits 144 are correct","g5d-02-01#k3 g5d-02-03#k3 g5d-02-04#k3 g5d-03-02#k1 g5d-03-05#k3"
"answer must wrong","5","1","one course","Wrong — 4 × 4 = 16, so the answer must be 16","g5d-02-01#k3 g5d-02-03#k3 g5d-02-04#k3 g5d-03-02#k1 g5d-03-05#k3"
"answer wrong","5","1","one course","It is wrong — the answer should be 144","g5d-02-01#k3 g5d-02-03#k3 g5d-02-04#k3 g5d-03-02#k1 g5d-03-05#k3"
"tell way","5","1","one course","There is no way to tell","g3f-03-02#k1 g3f-03-02#k2 g3f-03-02#k3 g3f-03-02#ch1 g3f-03-03#ch1"
"equal exactly","5","1","one course","They are exactly equal","g1m-01-03#k1 g1m-01-03#k3 g1m-01-04#k1 g1m-01-04#k2 g4s-03-01#k1"
"depend triangle","5","1","one course","It depends on the triangle","kgb-01-05#k1 kgb-02-01#ch1 kgb-02-04#k1 kgb-03-02#ch1 sy-03-01#i3"
"different shape","5","1","one course","A different shape","kgb-01-05#k3 kgb-02-01#k3 kgb-02-02#k1 kgb-02-04#k2 kgb-03-02#k3"
"bigger shape","5","1","one course","A bigger shape","kgb-01-05#k3 kgb-02-01#k3 kgb-02-02#k1 kgb-02-04#k2 kgb-03-02#k3"
"all shape","5","1","one course","No shape at all","kgb-01-05#k3 kgb-02-01#k3 kgb-02-02#k1 kgb-02-04#k2 kgb-03-02#k3"
"add cat drawn more","4","1","one course","5 cats drawn, with 2 more added","koa-03-05#k1 koa-03-05#k2 koa-03-05#k3 koa-03-05#ch1"
"cat cross drawn none out","4","1","one course","7 cats drawn, none crossed out","koa-03-05#k1 koa-03-05#k2 koa-03-05#k3 koa-03-05#ch1"
"estimat exact exactly must","4","1","one course","Exactly 540 — estimates must be exact","g2b-01-01#k3 g2b-01-02#k3 g2b-02-01#k3 g2b-03-05#k3"
"before estimate possible solv","4","1","one course","No estimate is possible before solving","g2b-01-01#k3 g2b-01-02#k3 g2b-02-01#k3 g2b-03-05#k3"
"help pair","4","1","one course","No pair helps here","g1t-01-02#k3 g1t-02-01#k1 g1t-02-03#k1 g1t-02-03#k2"
"first greater number","4","1","one course","The first number is greater","kcm-02-01#k2 kcm-03-02#k2 khm-02-02#ch1 khm-02-04#k2"
"line straight","4","1","one course","a straight line","co-02-03#k3 dr-01-03#k3 la-01-01#k2 pp-05-03#k1"
"all noth","4","1","one course","Nothing at all","cp-04-01#i2 kcw-02-02#k1 kcw-02-04#k3 sy-01-01#k1"
"cannot determin","4","1","one course","It cannot be determined","cp-05-03#i2 sy-02-02#k1 sy-03-02#i1 tc-05-02#ch"
"blue sky why","4","1","one course","Why is the sky blue?","dgr1-01-01#k1 dgr1-01-01#k3 dgr1-01-01#ch1 dgr1-01-02#k2"
"like th","4","1","one course","Do you like things?","dgr1-01-01#k1 dgr1-01-01#k3 dgr1-01-01#ch1 dgr1-01-02#k2"
"category every got same vot","4","1","one course","Every category got the same votes","dgr1-03-04#k1 dgr1-03-04#k2 dgr1-03-04#k3 dgr1-03-04#ch1"
"about close under","4","1","one course","About 3, since 4.9 is close to 5 and 5 ÷ 6 is under 1","g5d-01-06#k3 g5d-02-01#k1 g5d-02-02#ch1 g5d-03-02#k3"
"decimal one place","4","1","one course","1.2 — one decimal place","g5d-02-02#k1 g5d-02-02#k3 g5d-02-03#k1 g5d-03-01#k3"
"decimal plac","4","1","one course","12 — no decimal places","g5d-02-02#k1 g5d-02-02#k3 g5d-02-03#k1 g5d-03-01#k3"
"decimal plac three","4","1","one course","0.012 — three decimal places","g5d-02-02#k1 g5d-02-02#k3 g5d-02-03#k1 g5d-03-01#k3"
"add extra parenthes y","4","1","one course","Yes — the parentheses add extra","g2n-01-01#k3 g2n-01-02#k3 g2n-02-03#k3 g2n-03-02#k3"
"answer stay under","4","1","one course","Only if the answer stays under 20","g2n-01-01#k3 g2n-01-02#k3 g2n-02-03#k3 g2n-03-02#k3"
"alway join last must y","4","1","one course","Yes — 3 must always join last","g2n-01-01#k3 g2n-01-02#k3 g2n-02-03#k3 g2n-03-02#k3"
"cannot sort twice","4","1","one course","It cannot be sorted twice","kmd-03-01#k1 kmd-03-01#ch1 kmd-03-02#ch1 ks-03-03#k2"
"know lay must side side them","4","1","one course","You must lay them side by side to know","g1m-01-03#k1 g1m-01-03#k3 g1m-01-04#k1 g1m-01-04#k2"
"big more small unit unit","4","1","one course","More big units than small units","g1m-03-02#k1 g1m-03-02#ch1 g1m-03-03#k1 g1m-03-03#k2"
"exactly number same","4","1","one course","Exactly the same number","g1m-03-02#k1 g1m-03-02#ch1 g1m-03-03#k1 g1m-03-03#k2"
"chang length object","4","1","one course","The object changed length","g1m-03-02#k1 g1m-03-02#ch1 g1m-03-03#k1 g1m-03-03#k2"
"calculator tell without","4","1","one course","You can't tell without a calculator","pv-04-03#k3 rns-02-02#k3 rns-03-01#i2 rns-03-03#k2"
"direction point","4","1","one course","The direction it points","kgb-01-04#ch1 kgb-02-02#k2 kgb-02-03#ch1 kgb-03-01#ch1"
"congruence sa","4","1","one course","SAS (congruence)","sy-02-01#k2 sy-02-03#k1 tc-05-03#i3 tc-05-03#ch"
"close enough y","3","1","one course","Yes — |−2| = 2 and 2 + 1 = 3... close enough","avp-02-01#k3 smg1-02-02#k3 ssg2-03-01#i2"
"away extra ten throw","3","1","one course","Throw away the extra tens","g2b-01-04#k3 g2b-02-03#k3 g2b-03-02#k3"
"each hundr into ten turn","3","1","one course","Turn each ten into a hundred","g2b-01-04#k3 g2b-02-03#k3 g2b-03-02#k3"
"cannot hold leave many number ten","3","1","one course","Leave 11 tens — numbers cannot hold that many","g2b-01-04#k3 g2b-02-03#k3 g2b-03-02#k3"
"jump one","3","1","one course","One jump of 100","g3a-02-02#k2 g4x-02-01#k1 g4x-02-01#k3"
"answer noth","3","1","one course","Nothing — 445 is the answer","g3a-02-03#k1 g3a-02-03#k3 mb-03-02#k3"
"allow left right","3","1","one course","Only left to right is allowed","g1t-01-03#k3 g1t-02-01#k2 g1t-03-03#k1"
"depend group pair","3","1","one course","It depends which pair you group","g1t-01-04#k1 g1t-01-04#k3 g1t-03-03#k2"
"array dot hold more","3","1","one course","The 4-by-4 array holds more dots","g2a-02-03#k3 g2a-03-02#k1 g2a-03-02#k3"
"array must one wrong","3","1","one course","One of the arrays must be wrong","g2a-02-03#k3 g2a-03-02#k1 g2a-03-02#k3"
"array even total work","3","1","one course","Arrays only work for even totals","g2a-02-03#k3 g2a-03-02#k1 g2a-03-02#k3"
"corner number","3","1","one course","Its number of corners","g1s-01-02#k1 g1s-01-02#k3 g1s-01-03#k3"
"sid straight whether","3","1","one course","Whether its sides are straight","g1s-01-02#k1 g1s-01-02#k3 g1s-01-03#k3"
"into noth one piece","3","1","one course","Into nothing — it is one piece","g1s-03-02#k1 g1s-03-02#k3 g1s-03-03#k3"
"circle into","3","1","one course","Into a circle","g1s-03-02#k1 g1s-03-02#k3 g1s-03-03#k3"
"cube into","3","1","one course","Into a cube","g1s-03-02#k1 g1s-03-02#k3 g1s-03-03#k3"
"noth special","3","1","one course","Nothing special.","ca-02-03#k1 ca-04-01#k2 rf-04-02#k3"
"round shap","3","1","one course","Round shapes","dgr1-01-02#k3 kcw-02-02#k1 kcw-02-04#k3"
"different valu","3","1","one course","6, 7, 8 — just the different values","g2g-01-02#k1 g2g-01-02#k3 g2g-01-03#k3"
"about each","3","1","one course","About 7 each","g2g-01-02#k1 g2g-01-02#k3 g2g-01-03#k3"
"biggest inch value","3","1","one course","8 inches — the biggest value","g2g-01-05#k1 g2g-01-05#k3 g2g-03-03#k3"
"all common equally","3","1","one course","They are all equally common","g2g-01-05#k1 g2g-01-05#k3 g2g-03-03#k3"
"alway go longer number top","3","1","one course","Because the longer number always goes on top","g5d-01-02#k1 g5d-01-02#k3 g5d-01-04#k3"
"digit fewer","3","1","one course","Because 3.4 has fewer digits","g5d-01-02#k1 g5d-01-02#k3 g5d-01-04#k3"
"either matter way work","3","1","one course","It does not matter — either way works","g5d-01-02#k1 g5d-01-02#k3 g5d-01-04#k3"
"larger mak","3","1","one course","It makes 5.2 larger","g5d-01-03#k1 g5d-01-05#k1 g5d-01-05#ch1"
"number round up","3","1","one course","It rounds the number up","g5d-01-03#k1 g5d-01-05#k1 g5d-01-05#ch1"
"answer bigger mak ten tim","3","1","one course","Because it makes the answer ten times bigger","g5d-02-05#k1 g5d-02-05#k3 g5d-03-01#k1"
"divide may number whole","3","1","one course","Because you may only divide whole numbers","g5d-02-05#k1 g5d-02-05#k3 g5d-03-01#k1"
"da dt","3","1","one course","dA/dt = 2πr","dc-02-01#k1"
"come first","3","1","one course","26 and 14 — they come first","g2n-01-03#k3 g2n-02-02#k3 g2n-03-01#k3"
"biggest two","3","1","one course","14 and 24 — the biggest two","g2n-01-03#k3 g2n-02-02#k3 g2n-03-01#k3"
"alike look","3","1","one course","26 and 15 — they look alike","g2n-01-03#k3 g2n-02-02#k3 g2n-03-01#k3"
"cut equal giv into part","3","1","one course","3 cut into 4 equal parts, giving 3/4","g5f-02-02#k2 g5f-02-03#k1 g5f-02-03#ch1"
"cannot divide fraction noth","3","1","one course","Nothing — you cannot divide by a fraction","g5f-02-02#k2 g5f-02-03#k1 g5f-02-03#ch1"
"about divid mak smaller th","3","1","one course","About 1.7 — dividing makes things smaller","g5f-02-04#k3 g5f-03-04#k1 g5f-03-04#k3"
"about close noth","3","1","one course","About 5, since 1/3 is close to nothing","g5f-02-04#k3 g5f-03-04#k1 g5f-03-04#k3"
"about hold third whole","3","1","one course","About 3, because a whole holds 3 thirds","g5f-02-04#k3 g5f-03-04#k1 g5f-03-04#k3"
"measur tell without","3","1","one course","You can't tell without measuring","fr-04-03#k1 md-04-02#k2 geo-03-01#k3"
"five piec six us","3","1","one course","6/5 — six pieces, five used","g3f-01-04#ch1 g3f-03-04#k1 g3f-03-04#k3"
"one piece us","3","1","one course","1/6 — one piece was used","g3f-01-04#ch1 g3f-03-04#k1 g3f-03-04#k3"
"five piec","3","1","one course","1/5 — five pieces","g3f-01-04#ch1 g3f-03-04#k1 g3f-03-04#k3"
"mark such","3","1","one course","There is no such mark","g3f-01-05#k1 g3f-01-05#k3 g3f-02-04#ch1"
"reasonable total vary","3","1","one course","Reasonable — totals vary","g2p-01-03#k3 g2p-03-04#k1 g2p-03-04#k3"
"leg overlap reasonable","3","1","one course","Reasonable if the legs overlap","g2p-01-03#k3 g2p-03-04#k1 g2p-03-04#k3"
"ruler tell","3","1","one course","Only a ruler could tell","g2p-01-03#k3 g2p-03-04#k1 g2p-03-04#k3"
"cm total","3","1","one course","The total: 40 + 25 = 65 cm","g2p-02-03#k3 g2p-03-01#k1 g2p-03-01#k3"
"another cm copy piece","3","1","one course","Another copy of the 25 cm piece","g2p-02-03#k3 g2p-03-01#k1 g2p-03-01#k3"
"cannot draw found from","3","1","one course","It cannot be found from a drawing","g2p-02-03#k3 g2p-03-01#k1 g2p-03-01#k3"
"solution two","3","1","one course","Two solutions","les-02-03#k1 les-03-03#k1 les-03-03#k3"
"first line y","3","1","one course","Yes — it's on the first line","les-03-01#k1 les-03-01#i2 se-01-01#i3"
"line segment","3","1","one course","Line segment","la-01-01#k3 la-01-02#i1 la-01-02#k1"
"all equal","3","1","one course","equal to 2.7ˣ for all x","lg-04-01#k1 tc-05-01#i3 tc-05-03#i1"
"both divide sid","3","1","one course","divide both sides by e","lg-04-03#i1 alg1-01-01#k3 alg1-02-01#k3"
"round up","3","1","one course","Round 88 up to 96","g5l-03-01#k1 g5l-03-01#ch1 rns-03-01#i2"
"broken seesaw","3","1","one course","The seesaw is broken","kmd-01-03#k1 kmd-02-02#ch1 ks-03-02#k2"
"bear bigger","3","1","one course","The bear is bigger","kmd-01-03#ch1 kmd-02-02#k2 ks-03-02#k2"
"both group same tim","3","1","one course","The same group both times","kmd-03-01#k1 kmd-03-01#ch1 kmd-03-02#ch1"
"compare end far lie","3","1","one course","Compare the far ends as they lie","g1m-01-01#k1 g1m-01-01#k3 g1m-01-02#k2"
"bigger look pick whichever","3","1","one course","Pick whichever looks bigger","g1m-01-01#k1 g1m-01-01#k3 g1m-01-02#k2"
"between count gap them","3","1","one course","Count the gap between them","g1m-01-01#k1 g1m-01-01#k3 g1m-01-02#k2"
"count either fine way","3","1","one course","The count is fine either way","g1m-02-02#k1 g1m-02-02#k3 g1m-03-01#k3"
"count gap large make too","3","1","one course","Gaps make the count too large","g1m-02-02#k1 g1m-02-02#k3 g1m-03-01#k3"
"gap matter overlap","3","1","one course","Only overlaps matter, not gaps","g1m-02-02#k1 g1m-02-02#k3 g1m-03-01#k3"
"number same","3","1","one course","They are the same number","g4v-01-01#k1 g4v-01-01#k3 g4m-01-01#k2"
"divide get number smaller","3","1","one course","Divide — the number should get smaller","g4v-01-03#k3 g4v-01-04#k2 g4v-02-02#k3"
"neither number same stay","3","1","one course","Neither — the number stays the same","g4v-01-03#k3 g4v-01-04#k2 g4v-02-02#k3"
"alway division right start","3","1","one course","Because division always starts on the right","g4m-02-03#k1 g4m-02-03#k3 g4m-02-05#k3"
"biggest digit","3","1","one course","Because 9 is the biggest digit","g4m-02-03#k1 g4m-02-03#k3 g4m-02-05#k3"
