# sourceSeal=da5abeb generatedBy=scripts/audit/pi-exact-form.mts
# S242 ruling: exact pi forms beat decimal approximations in questions, options and answers.
# A row is a decimal within 0.005 of a clean multiple of pi (whole, half, quarter, third) whose
# prompt does NOT state a rounding or approximation convention. Prompts that ask for decimals are
# excluded: giving the decimal there is compliance, not invention.
source,owner,unit,field,printed,exact,prompt,seed
authored,cr-02-01,ch,widget.commonErrors[0].value,31.42,10π,"Six points split a circle of radius 5 into six EQUAL arcs, and consecutive points are joined by chords (a regular hexago",
authored,cr-05-01,ch,widget.commonErrors[0].value,25.13,8π,"A circle has radius 15, and an arc on it has length 8π. Find the arc's degree measure.",
authored,cr-05-02,ch,widget.commonErrors[0].value,47.12,15π,A sector of a radius-6 circle has area 15π. Find its central angle.,
authored,pc-02-01,k2,widget.commonErrors[2].value,12.57,4π,"Use A = ∫½r²dθ on the circle r = 2, from 0 to 2π. Find the area, as a multiple of π (give just the number).",
authored,tf-02-01,k2,widget.commonErrors[1].value,9.42,3π,"An arc along a circle's rim measures exactly 3 radius-lengths. What central angle does it span, in RADIANS?",
authored,tf-04-01,k1,widget.commonErrors[0].value,6.28,2π,What is the MAXIMUM value of y = sin x?,
authored,tg-04-03,k1,widget.commonErrors[0].value,3.14,π,What is arccos(1)?,
authored,tg-04-03,k1,widget.commonErrors[1].value,1.57,π/2,What is arccos(1)?,
generated,radian-convert,arcRadians,widget.commonErrors[1].value,12.57,4π,"An arc along a circle's rim measures exactly 4 radius-lengths. What central angle does it span, in RADIANS?",radian-convert|arcRadians|support|0
generated,radian-convert,arcRadians,widget.commonErrors[1].value,28.27,9π,"An arc along a circle's rim measures exactly 9 radius-lengths. What central angle does it span, in RADIANS?",radian-convert|arcRadians|core|1
generated,radian-convert,arcRadians,widget.commonErrors[1].value,9.42,3π,"An arc along a circle's rim measures exactly 3 radius-lengths. What central angle does it span, in RADIANS?",radian-convert|arcRadians|support|3
generated,radian-convert,arcRadians,widget.commonErrors[1].value,34.56,11π,"An arc along a circle's rim measures exactly 11 radius-lengths. What central angle does it span, in RADIANS?",radian-convert|arcRadians|core|4
generated,radian-convert,arcRadians,widget.commonErrors[1].value,25.13,8π,"An arc along a circle's rim measures exactly 8 radius-lengths. What central angle does it span, in RADIANS?",radian-convert|arcRadians|stretch|5
generated,radian-convert,arcRadians,widget.commonErrors[1].value,15.71,5π,"An arc along a circle's rim measures exactly 5 radius-lengths. What central angle does it span, in RADIANS?",radian-convert|arcRadians|stretch|8
generated,g10-circle-theorems,cr-arc-length__numeric,widget.commonErrors[0].value,25.13,8π,"A circle has radius 15, and an arc on it has length 8π. Find the arc's degree measure.

Reasoning check: Name the invari",g10-circle-theorems|cr-arc-length__numeric|support|0
generated,g10-circle-theorems,cr-chord-arc__numeric,widget.commonErrors[0].value,31.42,10π,"Six points split a circle of radius 5 into six EQUAL arcs, and consecutive points are joined by chords (a regular hexago",g10-circle-theorems|cr-chord-arc__numeric|support|0
generated,g10-circle-theorems,cr-sector-area__numeric,widget.commonErrors[0].value,47.12,15π,"A sector of a radius-6 circle has area 15π. Find its central angle.

Reasoning check: Distinguish a measured appearance ",g10-circle-theorems|cr-sector-area__numeric|core|1
generated,g12-trig-graphs-inverses,trig-graphs-inverses__tg-inverse-graphs__numeric,widget.commonErrors[0].value,3.14,π,"What is arccos(1)?

Reasoning check: Sketch or annotate the situation before entering the result.",g12-trig-graphs-inverses|trig-graphs-inverses__tg-inverse-graphs__numeric|support|0
generated,g12-trig-graphs-inverses,trig-graphs-inverses__tg-inverse-graphs__numeric,widget.commonErrors[1].value,1.57,π/2,"What is arccos(1)?

Reasoning check: Sketch or annotate the situation before entering the result.",g12-trig-graphs-inverses|trig-graphs-inverses__tg-inverse-graphs__numeric|support|0
generated,g13-parametric-polar-calculus,parametric-polar-calculus__pc-polar-area__numeric,widget.commonErrors[2].value,12.57,4π,"Use A = ∫½r²dθ on the circle r = 2, from 0 to 2π. Find the area, as a multiple of π (give just the number).

Reasoning c",g13-parametric-polar-calculus|parametric-polar-calculus__pc-polar-area__numeric|core|1
