# sourceSeal=54b505e — S242/MCQ-01. Authored mcq items whose prompt AND option set are identical.
# `withinLesson` means the same question is asked twice in one sitting: two independent 'correct'
# attempts recorded against one remembered item.
placements,withinLesson,prompt,where
"5","false","A student computes 3.6 × 4 and gets 1.44. What does an estimate reveal?","g5d-02-01#k3 g5d-02-03#k3 g5d-02-04#k3 g5d-03-02#k1 g5d-03-05#k3"
"4","false","Before computing 4.9 × 6, which estimate is most useful?","g5d-01-06#k3 g5d-02-01#k1 g5d-02-02#ch1 g5d-03-02#k3"
"4","true","Computing 0.4 × 0.3 in hundredths gives 12. Where does the point go?","g5d-02-02#k1 g5d-02-02#k3 g5d-02-03#k1 g5d-03-01#k3"
"4","true","Rule A adds 3 each step from 0; rule B adds 6 each step from 0. How do their terms relate?","g5e-03-01#k1 g5e-03-01#k3 g5e-03-03#k3 g5e-03-05#k2"
"4","false","You add 17 + 25 + 3 as (17 + 3) + 25. Is the total allowed to change?","g2n-01-01#k3 g2n-01-02#k3 g2n-02-03#k3 g2n-03-02#k3"
"4","true","A bar diagram shows 6 equal parts of 400 m, with 150 m crossed off the end. What does it record?","g4v-02-03#k2 g4v-03-01#k2 g4v-03-04#k1 g4v-03-04#k3"
"4","false","What features decide the name of a flat shape?","kgb-01-04#ch1 kgb-02-02#k2 kgb-02-03#ch1 kgb-03-01#ch1"
"4","false","A triangle — how many sides and how many corners?","kgb-01-05#k1 kgb-02-01#ch1 kgb-02-04#k1 kgb-03-02#ch1"
"4","true","""There are 5 tables with 4 chairs each. 3 chairs break. How many chairs work?"" Which equation matches?","g3w-01-02#k2 g3w-02-02#k1 g3w-02-02#k3 g3w-03-04#k2"
"3","false","An array has 4 rows with 5 dots in each row. Which repeated sum counts it BY ROWS?","g2a-02-01#k2 g2a-02-02#k3 g2a-03-03#k2"
"3","false","There are 5 stars and 6 hearts. Which statement is true?","kcm-01-01#ch1 kcm-02-02#k2 kcm-02-03#k2"
"3","false","What number comes right after 17?","kcm-02-04#k2 knb-02-01#ch1 knb-03-02#ch1"
"3","false","What makes a shape a rectangle?","g1s-01-02#ch1 g1s-01-03#k1 g1s-02-02#ch1"
"3","false","What new shape do six triangles make when joined?","g1s-02-03#k3 g1s-02-04#ch1 g1s-03-03#k2"
"3","true","You measured five ribbons: 6, 8, 6, 7, 6 cm. Which record keeps ALL the information?","g2g-01-02#k1 g2g-01-02#k3 g2g-01-03#k3"
"3","true","Adding 3.4 + 2.25, why line up the decimal points rather than the right-hand digits?","g5d-01-02#k1 g5d-01-02#k3 g5d-01-04#k3"
"3","true","Subtracting 5.2 − 1.47, what does writing 5.2 as 5.20 do?","g5d-01-03#k1 g5d-01-05#k1 g5d-01-05#ch1"
"3","true","To compute 7.2 ÷ 0.9, why multiply BOTH numbers by 10 first?","g5d-02-05#k1 g5d-02-05#k3 g5d-03-01#k1"
"3","true","""Add 6 and 4, then multiply the result by 3."" Which expression records it?","g5e-02-01#k1 g5e-02-01#k3 g5e-02-02#ch1"
"3","true","Rules A (add 2 from 0) and B (add 4 from 0) give ordered pairs. What is the third pair?","g5e-03-02#k1 g5e-03-02#k3 g5e-03-03#k1"
"3","true","3 sandwiches shared equally among 4 people. How much does each get?","g5f-01-01#k1 g5f-01-01#k3 g5f-01-04#k3"
"3","true","To model 3 ÷ 1/4, what does the picture show?","g5f-02-02#k2 g5f-02-03#k1 g5f-02-03#ch1"
"3","true","Roughly how big is 5 ÷ 1/3, without computing exactly?","g5f-02-04#k3 g5f-03-04#k1 g5f-03-04#k3"
"3","true","""A 4-metre ribbon is cut into 1/2-metre pieces."" Which computation fits?","g5f-03-02#k1 g5f-03-02#ch1 g5f-03-03#k3"
"3","false","Which is smaller: a half or a fourth?","g3f-01-02#k2 g3f-02-02#ch1 smg1-02-03#k1"
"3","false","Which is bigger: a half or a fourth?","g3f-01-02#ch1 smg1-02-03#k3 ssg2-03-03#k2"
"3","true","A ribbon is cut into 6 equal pieces and 5 are used. Which fraction names what was used?","g3f-01-04#ch1 g3f-03-04#k1 g3f-03-04#k3"
"3","true","On a ruler marked in eighths, which mark lands exactly on 1/2?","g3f-01-05#k1 g3f-01-05#k3 g3f-02-04#ch1"
"3","false","Noor counts her blocks: 1, 2, 3, 4, 5. How many blocks does she have?","khm-01-01#ch1 khm-01-04#k2 khm-02-05#k2"
"3","true","Two trail legs of 32 m and 25 m give a computed total of 30 m. Reasonable?","g2p-01-03#k3 g2p-03-04#k1 g2p-03-04#k3"
