lesson,grade,course,concept,lesson class,current A/B interactions,current C/D interactions,misconception burden,candidate existing engine,expected learner gain,reuse potential,priority,decision,justification
avp-01-01,9,Algebra 1: Absolute Value & Piecewise Functions,avp-abs-distance,A,1,4,1,NONE—manual fit audit,Manual review required to identify whether manipulation adds a distinct causal insight beyond the existing explanation.,0,2.1,KEEP,Already has at least one A/B engine instance; not a zero-rich closure candidate.
avp-01-02,9,Algebra 1: Absolute Value & Piecewise Functions,avp-v-graph,C,1,4,2,NONE—manual fit audit,Manual review required to identify whether manipulation adds a distinct causal insight beyond the existing explanation.,0,1.4,KEEP,Already has at least one A/B engine instance; not a zero-rich closure candidate.
avp-01-03,9,Algebra 1: Absolute Value & Piecewise Functions,avp-v-transform,C,1,4,3,transformExplore,Learner could manipulate the transformExplore model and observe a state-dependent consequence before symbolic/retrieval checks.,9,21.79,KEEP,Already has at least one A/B engine instance; not a zero-rich closure candidate.
avp-02-01,9,Algebra 1: Absolute Value & Piecewise Functions,avp-abs-equations,A,1,4,3,solveBalance,Learner could manipulate the solveBalance model and observe a state-dependent consequence before symbolic/retrieval checks.,20,84.28,KEEP,Already has at least one A/B engine instance; not a zero-rich closure candidate.
avp-02-02,9,Algebra 1: Absolute Value & Piecewise Functions,avp-solution-count,C,1,4,3,solveBalance,Learner could manipulate the solveBalance model and observe a state-dependent consequence before symbolic/retrieval checks.,20,28.09,KEEP,Already has at least one A/B engine instance; not a zero-rich closure candidate.
avp-02-03,9,Algebra 1: Absolute Value & Piecewise Functions,avp-abs-inequalities,C,1,4,3,numberLineRay,Learner could manipulate the numberLineRay model and observe a state-dependent consequence before symbolic/retrieval checks.,3,14.63,KEEP,Already has at least one A/B engine instance; not a zero-rich closure candidate.
avp-03-01,9,Algebra 1: Absolute Value & Piecewise Functions,avp-piecewise-define,A,1,4,3,lineExplore,Learner could manipulate the lineExplore model and observe a state-dependent consequence before symbolic/retrieval checks.,6,56.7,KEEP,Already has at least one A/B engine instance; not a zero-rich closure candidate.
avp-03-02,9,Algebra 1: Absolute Value & Piecewise Functions,avp-piecewise-graph,B,1,4,3,lineExplore,Learner could manipulate the lineExplore model and observe a state-dependent consequence before symbolic/retrieval checks.,6,47.25,KEEP,Already has at least one A/B engine instance; not a zero-rich closure candidate.
avp-03-03,9,Algebra 1: Absolute Value & Piecewise Functions,avp-step-functions,C,1,4,3,lineExplore,Learner could manipulate the lineExplore model and observe a state-dependent consequence before symbolic/retrieval checks.,6,18.9,KEEP,Already has at least one A/B engine instance; not a zero-rich closure candidate.
koa-01-01,0,Adding & Taking Away,koa-join-groups,A,2,4,1,NONE—manual fit audit,Manual review required to identify whether manipulation adds a distinct causal insight beyond the existing explanation.,0,1.5,KEEP,Already has at least one A/B engine instance; not a zero-rich closure candidate.
koa-01-02,0,Adding & Taking Away,koa-fingers,C,2,4,1,NONE—manual fit audit,Manual review required to identify whether manipulation adds a distinct causal insight beyond the existing explanation.,0,0.5,KEEP,Already has at least one A/B engine instance; not a zero-rich closure candidate.
koa-01-03,0,Adding & Taking Away,koa-drawings,C,2,4,1,NONE—manual fit audit,Manual review required to identify whether manipulation adds a distinct causal insight beyond the existing explanation.,0,0.5,KEEP,Already has at least one A/B engine instance; not a zero-rich closure candidate.
