verdict,lesson,step,file,target,current_showTarget,prompt,reason
HIDE,fa-03-01,i1,content/courses/fractions-add/lessons/fa-03-01.json,5/8,true (inherited default),2/8 + 3/8. Build the answer on the bar.,target is not derivable from the prompt without doing the step's mathematics
HIDE,fm-01-02,i1,content/courses/fractions-multiply/lessons/fm-01-02.json,5/6,true (inherited default),1/2 + 1/3. Build the answer on the bar.,target is not derivable from the prompt without doing the step's mathematics
HIDE,fm-01-03,i1,content/courses/fractions-multiply/lessons/fm-01-03.json,1/2,true (inherited default),Build the result of 5/6 − 1/3.,target is not derivable from the prompt without doing the step's mathematics
HIDE,fm-02-01,i1,content/courses/fractions-multiply/lessons/fm-02-01.json,6/5,true (inherited default),Build the product of 3 × 2/5 — three groups of two fifths. Keep the fifths and count how many you end up with.,target is not derivable from the prompt without doing the step's mathematics
HIDE,fm-03-01,i1,content/courses/fractions-multiply/lessons/fm-03-01.json,6/12,true (inherited default),2/3 × 3/4. Build the product on the bar.,target is not derivable from the prompt without doing the step's mathematics
HIDE,fm-03-02,i1,content/courses/fractions-multiply/lessons/fm-03-02.json,3/10,true (inherited default),2/5 × 3/4. Build the product.,target is not derivable from the prompt without doing the step's mathematics
HIDE,fm-03-03,i1,content/courses/fractions-multiply/lessons/fm-03-03.json,4/7,true (inherited default),Build the product of 2/3 × 6/7 in its simplest form.,target is not derivable from the prompt without doing the step's mathematics
HIDE,fm-05-02,i1,content/courses/fractions-multiply/lessons/fm-05-02.json,1/6,true (inherited default),Build the size of ONE part when a half is cut into 3 — how many of that piece fill a whole?,target is not derivable from the prompt without doing the step's mathematics
HIDE,g3f-01-04,i1,content/courses/fractions-deeper-g3/lessons/g3f-01-04.json,1/4,true (inherited default),A set of 8 counters is split into 4 equal groups. Build the fraction one group represents.,target is not derivable from the prompt without doing the step's mathematics
HIDE,g3f-01-04,i2,content/courses/fractions-deeper-g3/lessons/g3f-01-04.json,1/4,true (inherited default),A set of 8 counters is split into 4 equal groups. Build the fraction one group represents.,target is not derivable from the prompt without doing the step's mathematics
HIDE,g4x-01-01,i1,content/courses/fraction-multiply-g4/lessons/g4x-01-01.json,6/5,true (inherited default),Collect 2/5 three times: build the total on the bar.,target is not derivable from the prompt without doing the step's mathematics
HIDE,g4x-01-01,i2,content/courses/fraction-multiply-g4/lessons/g4x-01-01.json,6/5,true (inherited default),Collect 2/5 three times: build the total on the bar.,target is not derivable from the prompt without doing the step's mathematics
HIDE,g4x-01-02,i1,content/courses/fraction-multiply-g4/lessons/g4x-01-02.json,6/5,true (inherited default),Build 3 × 2/5 as a single fraction.,target is not derivable from the prompt without doing the step's mathematics
HIDE,g4x-01-02,i2,content/courses/fraction-multiply-g4/lessons/g4x-01-02.json,6/5,true (inherited default),Build 3 × 2/5 as a single fraction.,target is not derivable from the prompt without doing the step's mathematics
