lesson,grade,course,concept,lesson class,current A/B interactions,current C/D interactions,misconception burden,candidate existing engine,expected learner gain,reuse potential,priority,decision,justification
rns-02-01,8,Grade 8: The Real Number System,rns-irrational-exists,A,0,7,3,fractionBar,Learner could manipulate the fractionBar model and observe a state-dependent consequence before symbolic/retrieval checks.,101,108.32,CHANGE,"Zero A/B interaction in an acquisition lesson; existing fractionBar offers a causal model, so reuse should be audited before any new engine."
fr-04-03,3,Fractions from Scratch,unit-size,A,0,6,3,fractionBar,Learner could manipulate the fractionBar model and observe a state-dependent consequence before symbolic/retrieval checks.,101,99.29,CHANGE,"Zero A/B interaction in an acquisition lesson; existing fractionBar offers a causal model, so reuse should be audited before any new engine."
mc-05-01,4,Measure & Convert,fraction-measurement,A,0,6,3,fractionBar,Learner could manipulate the fractionBar model and observe a state-dependent consequence before symbolic/retrieval checks.,101,99.29,CHANGE,"Zero A/B interaction in an acquisition lesson; existing fractionBar offers a causal model, so reuse should be audited before any new engine."
lg-02-01,11,Algebra 2: Exponentials & Logarithms,lg-product,A,0,6,3,expLogExplore,Learner could manipulate the expLogExplore model and observe a state-dependent consequence before symbolic/retrieval checks.,28,92.74,CHANGE,"Zero A/B interaction in an acquisition lesson; existing expLogExplore offers a causal model, so reuse should be audited before any new engine."
rr-01-01,6,Ratios & Rates,ratio-language,A,0,6,3,proportionalReasoningLab,Learner could manipulate the proportionalReasoningLab model and observe a state-dependent consequence before symbolic/retrieval checks.,42,88.44,CHANGE,"Zero A/B interaction in an acquisition lesson; existing proportionalReasoningLab offers a causal model, so reuse should be audited before any new engine."
rr-05-01,6,Ratios & Rates,unit-conversion,A,0,6,3,proportionalReasoningLab,Learner could manipulate the proportionalReasoningLab model and observe a state-dependent consequence before symbolic/retrieval checks.,42,88.44,CHANGE,"Zero A/B interaction in an acquisition lesson; existing proportionalReasoningLab offers a causal model, so reuse should be audited before any new engine."
rt-04-03,10,Right Triangles & Trigonometry,rt-trig-apps,B,0,6,3,unitCircleExplore,Learner could manipulate the unitCircleExplore model and observe a state-dependent consequence before symbolic/retrieval checks.,40,84.93,CHANGE,"Zero A/B interaction in an transfer lesson; existing unitCircleExplore offers a causal model, so reuse should be audited before any new engine."
fa-01-03,4,Fractions That Add Up,simplify-fractions,B,0,6,3,fractionBar,Learner could manipulate the fractionBar model and observe a state-dependent consequence before symbolic/retrieval checks.,101,82.75,CHANGE,"Zero A/B interaction in an transfer lesson; existing fractionBar offers a causal model, so reuse should be audited before any new engine."
ep-02-01,9,Algebra 1: Exponents & Polynomials,poly-degree-like-terms,A,0,7,3,algebraTiles,Learner could manipulate the algebraTiles model and observe a state-dependent consequence before symbolic/retrieval checks.,17,80.29,CHANGE,"Zero A/B interaction in an acquisition lesson; existing algebraTiles offers a causal model, so reuse should be audited before any new engine."
ep-04-01,9,Algebra 1: Exponents & Polynomials,factor-gcf,A,0,7,3,algebraTiles,Learner could manipulate the algebraTiles model and observe a state-dependent consequence before symbolic/retrieval checks.,17,80.29,CHANGE,"Zero A/B interaction in an acquisition lesson; existing algebraTiles offers a causal model, so reuse should be audited before any new engine."
