# sourceSeal=245605c — S242/ENG-01 R4. dragOrder plots numeric labels by value during active work.
# oracle = correctOrder is monotone in the plotted value, so the staircase IS the answer.
# misleading = labels parse as numbers but the correct order is not monotone in them: the plot
# draws a zigzag for the RIGHT answer. text = not all labels numeric, so no plot renders.
lesson,step,kind,verdict,items,direction,correctOrderValues,prompt
ns-04-02,ch1,challenge,oracle,4,ascending,-7 -2 3 6,Arrange from SMALLEST to largest: 3  -7  6  -2.
ns-05-03,ch1,challenge,oracle,5,ascending,-3 -1.5 0 0.25 2,Arrange from SMALLEST to largest: -1.5  1/4  -3  0  2.
dg4-03-04,k2,check,oracle,4,ascending,0.09 0.35 0.4 0.5,Drag the decimals into order from smallest to greatest.
dg4-03-04,k3,check,oracle,4,ascending,0.06 0.6 0.65 0.7,Drag the decimals into order from smallest to greatest.
dg4-03-04,ch1,challenge,oracle,4,ascending,0.08 0.2 0.8 0.85,Drag the decimals into order from smallest to greatest.
kc-02-03,k1,check,oracle,3,ascending,1 4 9,Drag into counting order  smallest first.
kc-02-03,k3,check,oracle,3,ascending,0 3 8,Drag into counting order  smallest first.
kc-02-03,ch1,challenge,oracle,4,ascending,2 5 6 10,Drag ALL FOUR into counting order  smallest first.
c120-01-03,ch1,challenge,oracle,5,ascending,47 48 49 50 51,Drag into counting order  smallest first (it crosses 50!).
kcm-03-03,k1,check,oracle,4,ascending,5 6 7 8,Drag the numbers into counting order  smallest first.
kcm-03-03,k3,check,oracle,4,ascending,7 8 9 10,Drag the numbers into counting order  smallest first.
kcm-03-04,k2,check,oracle,4,ascending,4 5 6 7,Drag the numbers into counting order  smallest first.
rns-03-03,ch1,challenge,text,4,-,? 2.9 3 ?,Order from least to greatest.
si-03-03,k3,check,text,3,-,? ? ?,Put the three questions in the order that protects you best.
si-04-01,k3,check,text,4,-,? ? ? ?,Put the four steps of a randomisation test in order.
sr-03-03,k2,check,text,4,-,? ? ? ?,“Save $5 in week 1  then $2 more each week  for 8 weeks. Total saved?” Put the solution st
in-03-03,k1,check,text,4,-,? ? ? ?,Put the derivation of Part 2 in order.
ft-03-03,k3,check,text,4,-,? ? ? ?,For y = a(x − h)² + k  drag the four operations into the order they apply to an input x.
dc-04-02,k3,check,text,3,-,? ? ?,Order these from SLOWEST-growing to FASTEST  as x → ∞.
ca-05-01,k3,check,text,4,-,? ? ? ?,Put an optimisation problem in the right order.
