course_id,lesson_id,step_path,figure_id,fixed_exemplar,text_aligned,render_decision,source,text
absolute-value-piecewise,avp-01-01,steps.0,avp-distance-definition,no,yes,RENDER,content/courses/absolute-value-piecewise/lessons/avp-01-01.json,"|x| is almost always taught as “make it positive,” and that description survives exactly as long as the numbers stay simple. The honest definition is geometric: |x| is the DISTANCE from x to 0 on the number line. Distance has no direction, which is why it is never negative — not because a sign was deleted."
absolute-value-piecewise,avp-01-01,steps.3,avp-same-distance-different-side,no,yes,RENDER,content/courses/absolute-value-piecewise/lessons/avp-01-01.json,"So two numbers can share a distance while disagreeing about everything else. |−6| = |6| = 6, but −6 ≠ 6. Absolute value throws away the side and keeps the size; the number itself is unharmed by being measured."
absolute-value-piecewise,avp-01-02,steps.0,avp-plot-folds,no,yes,RENDER,content/courses/absolute-value-piecewise/lessons/avp-01-02.json,"Feed every input to |x| and plot the results. Inputs on the right rise along y = x. Inputs on the left are negative, but their DISTANCES are positive, so the left half rises too — mirror-imaging the right. Two rising branches meeting at the origin: a V."
absolute-value-piecewise,avp-01-02,steps.3,avp-corner-slopes,no,yes,RENDER,content/courses/absolute-value-piecewise/lessons/avp-01-02.json,"The corner is the signature. A line has one constant slope; the V has two — it falls at slope −1 until the origin, then climbs at slope +1. The switch happens exactly where the inside of the bars changes sign, and that is the vertex."
absolute-value-piecewise,avp-01-03,steps.0,avp-shifted-vertex,no,yes,RENDER,content/courses/absolute-value-piecewise/lessons/avp-01-03.json,"y = |x − 2| − 3 is still the same V, standing somewhere else. The −2 INSIDE the bars moves it horizontally; the −3 outside moves it vertically. The vertex is wherever the inside of the bars equals 0 — that is the one input the shift is built around."
absolute-value-piecewise,avp-01-03,steps.3,avp-flip-peak,no,yes,RENDER,content/courses/absolute-value-piecewise/lessons/avp-01-03.json,"A minus in FRONT flips instead of shifts. y = −|x| takes every height and negates it, turning the V upside down into a peak — the vertex becomes the highest point rather than the lowest. Inside the bars: horizontal. Outside: vertical. In front: reflection."
absolute-value-piecewise,avp-02-01,steps.0,avp-two-solutions,no,yes,RENDER,content/courses/absolute-value-piecewise/lessons/avp-02-01.json,"|x| = 5 asks which numbers sit five units from zero. Phrased that way the answer is obvious — there are two, one per side. Phrased as “remove the bars,” only one shows up. The distance reading is what keeps the second solution from disappearing."
absolute-value-piecewise,avp-02-01,steps.3,avp-quantity-as-object,no,yes,RENDER,content/courses/absolute-value-piecewise/lessons/avp-02-01.json,"The method generalizes by treating whatever sits inside the bars as one object. |x − 1| = 4 says the QUANTITY x − 1 is four units from zero, so x − 1 = 4 or x − 1 = −4. Solve both, and you get both answers."
absolute-value-piecewise,avp-02-02,steps.0,avp-solution-count-cases,no,yes,RENDER,content/courses/absolute-value-piecewise/lessons/avp-02-02.json,"The pair is the usual case, not the only one. |x| = k has two solutions when k > 0, exactly one when k = 0 (zero is its own mirror), and NONE when k < 0 — because no point on the line sits a negative distance from anywhere."
absolute-value-piecewise,avp-02-02,steps.3,avp-right-side-decides,no,yes,RENDER,content/courses/absolute-value-piecewise/lessons/avp-02-02.json,"So the count is decided by the number on the right, before any case-splitting begins. Positive right side: a pair. Zero: a single solution where the inside vanishes. Negative right side: nothing. Reading the right-hand side first saves the whole procedure."
absolute-value-piecewise,avp-02-03,steps.0,avp-band-versus-rays,no,yes,RENDER,content/courses/absolute-value-piecewise/lessons/avp-02-03.json,"|x| < 3 asks which points are CLOSER than three units to zero — a band around the origin, from −3 to 3. |x| > 3 asks the opposite: points farther out than three units, which is everything beyond −3 on the left and beyond 3 on the right. One band, or two rays."
absolute-value-piecewise,avp-02-03,steps.3,avp-sandwich-versus-split,no,yes,RENDER,content/courses/absolute-value-piecewise/lessons/avp-02-03.json,"So the direction of the sign decides the SHAPE of the answer, not just its edges. Less-than gives one sandwich, written with a single chain. Greater-than gives two separate rays, joined by ‘or’ — and it cannot be written as a chain, because no number is on both rays at once."
absolute-value-piecewise,avp-03-01,steps.0,avp-two-formulas-one-rule,no,yes,RENDER,content/courses/absolute-value-piecewise/lessons/avp-03-01.json,"Some rules change formula partway along. A phone plan charges one rate up to 5 GB and another beyond it; that is one function with two formulas, each labelled with the inputs it governs. The labels are what keep it a function: every input is handed to exactly one formula."
absolute-value-piecewise,avp-03-01,steps.3,avp-pick-branch-then-apply,no,yes,RENDER,content/courses/absolute-value-piecewise/lessons/avp-03-01.json,"So evaluating happens in two moves, and the order matters: first find which condition the input satisfies, THEN apply that branch's formula. Reaching for the nearest formula and checking the condition afterwards is what produces most piecewise errors."
absolute-value-piecewise,avp-03-02,steps.0,avp-branch-over-its-domain,no,yes,RENDER,content/courses/absolute-value-piecewise/lessons/avp-03-02.json,"Graphing a piecewise rule means drawing each formula only over the inputs it governs, then deciding what happens where the branches meet. At the boundary exactly one branch owns the point — the one whose condition includes it — and the graph marks that with a filled dot and the other with an open one."
absolute-value-piecewise,avp-03-02,steps.3,avp-open-closed-circle,no,yes,RENDER,content/courses/absolute-value-piecewise/lessons/avp-03-02.json,"The open circle is not decoration — it records that the branch approaches a height it never attains. When the two branches meet at the same height the dots coincide and the graph is continuous; when they do not, the graph jumps, and the size of that jump is visible on the page."
absolute-value-piecewise,avp-03-03,steps.0,avp-step-function,no,yes,RENDER,content/courses/absolute-value-piecewise/lessons/avp-03-03.json,"Some real rules are piecewise with many pieces, all of them flat. Postage charges by the ounce, parking by the hour, tax by the bracket. Between the jumps the price does not move at all; at each jump it leaps. Graphed, these rules look like a staircase."
absolute-value-piecewise,avp-03-03,steps.3,avp-step-loses-detail,no,yes,RENDER,content/courses/absolute-value-piecewise/lessons/avp-03-03.json,"Flat between jumps has a consequence worth naming: within one step the price carries no information about the exact input. Learning a letter cost $3 tells you the weight was more than 2 oz and at most 3 oz — a range, never a number. Steps trade precision for simplicity, on purpose."
add-subtract-10-k,koa-01-01,steps.0,count-on-hops,yes,no,SUPPRESS_MISMATCH,content/courses/add-subtract-10-k/lessons/koa-01-01.json,"When two groups come together, count every object in both groups to find how many there are in all."
add-subtract-10-k,koa-01-01,steps.3,count-on-hops,yes,no,SUPPRESS_MISMATCH,content/courses/add-subtract-10-k/lessons/koa-01-01.json,Nothing is left out and nothing is counted twice — every object gets exactly one number.
add-subtract-10-k,koa-01-02,steps.0,count-on-hops,yes,no,SUPPRESS_MISMATCH,content/courses/add-subtract-10-k/lessons/koa-01-02.json,Your fingers are always with you. Hold up one group on one hand and the other group on the other hand.
add-subtract-10-k,koa-01-02,steps.3,count-on-hops,yes,no,SUPPRESS_MISMATCH,content/courses/add-subtract-10-k/lessons/koa-01-02.json,"Then count every raised finger, starting from one, to find the total."
