widget_type,authored_uses,grade_reach,manipulation,error_model,shared_correct_checkpoint,post_verdict_controls_unlocked,ungraded_state_recheck,wrong_state_feedback,reversible_manipulation,authored_domain,exploration_decision,exploration_contract,evidence_test,next_action
exactNumberLab,358,10,1,3,PASS,PASS,PASS,PASS,SUPPORTED,MULTI_STATE_DOMAIN,KEEP_WITH_EXPLORATION_REGRESSION,REVERSIBLE_DERIVATION_RESPONSE,src/components/session248.engineReversiblePlay.test.tsx,Keep derived evidence fixed while changing and restoring the relation response.
buildExpression,232,12,1,1,PASS,PASS,PASS,PASS,SUPPORTED,MULTI_STATE_DOMAIN,KEEP_WITH_EXPLORATION_REGRESSION,REVERSIBLE_CONSTRUCTION,src/components/session248.engineReversiblePlay.test.tsx,Remove a token from a complete expression and restore it from the bank.
dragBucket,182,12,1,3,PASS,PASS,PASS,PASS,SUPPORTED,MULTI_STATE_DOMAIN,KEEP_WITH_EXPLORATION_REGRESSION,REVERSIBLE_CLASSIFICATION,src/components/session248.engineReversiblePlay.test.tsx,Move an item to an alternate bucket and return it to its original bucket.
matchPairs,175,13,1,3,PASS,PASS,PASS,PASS,SUPPORTED,MULTI_STATE_DOMAIN,KEEP_WITH_EXPLORATION_REGRESSION,REVERSIBLE_MATCHING,src/components/session248.engineReversiblePlay.test.tsx,Unlink one pair and relink it through native buttons.
dragOrder,93,12,1,3,PASS,PASS,PASS,PASS,SUPPORTED,MULTI_STATE_DOMAIN,KEEP_WITH_EXPLORATION_REGRESSION,REVERSIBLE_ORDERING,src/components/session248.engineReversiblePlay.test.tsx,Move one item down and then back up through keyboard-native buttons.
numeric,4665,14,0,1,PASS,PASS,PASS,PASS,SUPPORTED,MULTI_STATE_DOMAIN,KEEP_WITH_EXPLORATION_REGRESSION,REVERSIBLE_TYPED_RESPONSE,src/components/session248.engineReversiblePlay.test.tsx,Replace the numeric entry with an alternate value and restore it through the same labelled input.
mcq,3293,14,0,1,PASS,PASS,PASS,PASS,SUPPORTED,MULTI_STATE_DOMAIN,KEEP_WITH_EXPLORATION_REGRESSION,REVERSIBLE_CHOICE_RESPONSE,src/components/session248.engineReversiblePlay.test.tsx,Select an alternate radio option and reselect the original option without a correctness cue before Check.
steppedReveal,54,6,1,1,PASS,PASS,PASS,PASS,NOT_APPLICABLE,ORDERED_DISCLOSURE_DOMAIN,KEEP_WITH_EXPLORATION_REGRESSION,ORDERED_DISCLOSURE_NOT_GRADED_PLAY,src/components/session248.engineReversiblePlay.test.tsx,This engine reveals an authored explanation in dependency order and has no answer state to manipulate; adding wrong states would fabricate mathematics.
numberLineHop,462,8,2,3,PASS,PASS,PASS,PASS,SUPPORTED,MULTI_STATE_DOMAIN,KEEP_WITH_EXPLORATION_REGRESSION,LEGACY_SCORE_CLASSIFICATION,,Retain the shared checkpoint contract and cover representative post-verdict state changes in regression tests.
tapDiagram,134,6,2,3,PASS,PASS,PASS,PASS,SUPPORTED,MULTI_STATE_DOMAIN,KEEP_WITH_EXPLORATION_REGRESSION,LEGACY_SCORE_CLASSIFICATION,,Retain the shared checkpoint contract and cover representative post-verdict state changes in regression tests.
