# sourceSeal=f24bfc6 — S242/ACC-01 §5(f). SVG colour chosen by a ternary between PALETTE.leaf/berry.
# correctness = the condition names a comparison against the step's target, not a phenomenon.
# toneGated = a `tone === "info"` guard appears within 14 lines above. Every row is hand-read;
# the verdict column is a suggestion and the true-positive rate is reported separately.
file,line,component,colourProp,correctnessDerived,toneGated,condition
src/components/widgets.tsx,1793,TriangleClosureLabW,stroke,true,false,closesHere
src/components/widgets.tsx,2034,TrialProbabilityLabW,fill,true,false,accepted
src/components/widgets.tsx,2035,TrialProbabilityLabW,fill,true,false,accepted
src/components/widgets.tsx,5172,QuadDragW,stroke,true,false,msHolds
src/components/widgets.tsx,5173,QuadDragW,fill,true,false,msHolds
src/components/widgets.tsx,5174,QuadDragW,fill,true,false,msHolds
src/components/widgets.tsx,7054,RoundSolidBuilderW,fill,true,false,hit
src/components/widgets.tsx,7061,RoundSolidBuilderW,fill,true,false,hit
src/components/widgets.tsx,7068,RoundSolidBuilderW,fill,true,false,hit
src/components/widgets.tsx,7069,RoundSolidBuilderW,stroke,true,false,hit
src/components/widgets.tsx,10018,DistributionCompareLabW,fill,true,false,selectedCorrect
src/components/widgets.tsx,11130,SolveBalanceW,fill,true,false,balanced
src/components/widgets.tsx,14302,QuadraticRootsW,stroke,true,false,hit
src/components/widgets.tsx,14310,QuadraticRootsW,fill,true,false,hit
src/components/widgets.tsx,17986,FractionGridW,fill,true,false,atTarget
src/components/widgets.tsx,18583,CoordinateProofLabW,fill,true,false,atTarget
src/components/widgets.tsx,3505,CircleRadiusScaleW,stroke,true,true,hit
src/components/widgets.tsx,840,PointEntryW,stroke,false,false,tone ===  error 
src/components/widgets.tsx,841,PointEntryW,fill,false,false,tone ===  error 
src/components/widgets.tsx,844,PointEntryW,fill,false,false,tone ===  error 
src/components/widgets.tsx,1914,CompositeAreaLabW,fill,false,false,subtract
src/components/widgets.tsx,1916,CompositeAreaLabW,fill,false,false,subtract
src/components/widgets.tsx,2275,SampleSimW,fill,false,false,Math.abs(ps[i] - spec.populationP) <= 0.05
src/components/widgets.tsx,2490,ShuffleTestW,fill,false,false,hot
src/components/widgets.tsx,4090,SignChartW,stroke,false,false,sg ===  + 
src/components/widgets.tsx,4849,SideSplitterW,stroke,false,false,atMid
src/components/widgets.tsx,5788,SliceSumW,fill,false,false,hi
src/components/widgets.tsx,5789,SliceSumW,stroke,false,false,hi
src/components/widgets.tsx,5919,SlopeFieldW,stroke,false,false,Math.abs(sg.m) < 1e-9
src/components/widgets.tsx,6232,AlgebraTilesW,fill,false,false,sign > 0
src/components/widgets.tsx,6248,AlgebraTilesW,fill,false,false,sign > 0
src/components/widgets.tsx,6256,AlgebraTilesW,fill,false,false,sign > 0
src/components/widgets.tsx,6344,AlgebraTilesW,fill,false,false,c.filled
src/components/widgets.tsx,6346,AlgebraTilesW,stroke,false,false,c.filled
src/components/widgets.tsx,6380,AlgebraTilesW,fill,false,false,xRowOff
src/components/widgets.tsx,6381,AlgebraTilesW,fill,false,false,cRowOff
src/components/widgets.tsx,9620,FractionOfSetW,fill,false,false,i < n
src/components/widgets.tsx,11555,ShapePartsW,fill,false,false,isMarked(i)
src/components/widgets.tsx,11556,ShapePartsW,stroke,false,false,isMarked(i)
