lesson,grade,step,fk_grade,gap,meta_term,prompt
la-02-03,4,ch1,14.3,10.3,,"A four-pane window has a plus-shaped divider: 2 vertical framing sides plus 1 vertical crossbar (3 verticals total), and 2 horizontal framing sides plus 1 horizontal cros"
g4v-03-03,4,i1,14.1,10.1,,"8 shifts of 45 minutes, finishing 30 minutes early — estimate the minutes."
g4v-03-03,4,i2,14.1,10.1,,"8 shifts of 45 minutes, finishing 30 minutes early — estimate the minutes."
fa-04-02,4,i2,13.7,9.7,,Build the expression that converts 4 2/3 to an improper fraction: whole × denominator + numerator.
g4x-01-01,4,k2,12.5,8.5,,2/5 + 2/5 + 2/5 written as multiplication is…
g4x-01-03,4,k3,12.5,8.5,,2/5 + 2/5 + 2/5 written as multiplication is…
mc-01-01,4,k2,12.5,8.5,,1 kilometer = how many meters?
mc-01-01,4,k3,12.5,8.5,,1 meter = how many centimeters?
mc-01-02,4,k2,12.5,8.5,,7 meters = how many millimeters?
g4m-03-01,4,i1,12.5,8.5,,"Estimate 3,612 ÷ 6 before computing it."
g4m-03-01,4,i2,12.5,8.5,,"Estimate 3,612 ÷ 6 before computing it."
g4m-03-04,4,i1,12.5,8.5,,"Estimate 2,437 ÷ 5 before computing it."
g4m-03-04,4,i2,12.5,8.5,,"Estimate 2,437 ÷ 5 before computing it."
kcw-01-02,0,i1,8.4,8.4,,Build the amount the numeral 5 promises.
kcw-01-02,0,i2,8.4,8.4,,Build the amount the numeral 5 promises.
kcw-01-03,0,i1,8.4,8.4,,Build the amount the numeral 8 promises.
kcw-01-03,0,i2,8.4,8.4,,Build the amount the numeral 8 promises.
pv2-05-02,4,k3,12.3,8.3,,"What is the difference between the greatest population (Bridgeton, 604,102) and the least population (Cedar Falls, 89,999)?"
kgb-02-02,0,ch1,8.0,8.0,,"Tap every circle, even when its size or direction is different."
kgb-02-03,0,i1,8.0,8.0,,"Tap every triangle, even when its size or direction is different."
kgb-02-03,0,i2,8.0,8.0,,"Tap every triangle, even when its size or direction is different."
kgb-02-03,0,k2,8.0,8.0,,"Tap every circle, even when its size or direction is different."
kgb-02-04,0,i1,8.0,8.0,,"Tap every circle, even when its size or direction is different."
kgb-02-04,0,i2,8.0,8.0,,"Tap every circle, even when its size or direction is different."
fr-03-01,3,e1,10.7,7.7,,Slide numerator and denominator to make a fraction equal to 1/2.
geo-02-02,3,k3,10.7,7.7,,Why are 'almost' shapes (misfits) useful for learning a definition?
