source,lesson_id,step_path,figure_id,render_decision,adversarial_decision,risk_reasons,binding_key,illustration_description,accompanying_text
content/courses/absolute-value-piecewise/lessons/avp-01-01.json,avp-01-01,steps.0,avp-distance-definition,RENDER,PASS,,f068695b,"Absolute value is distance from zero: negative four and four both sit four units from zero, so both have absolute value four.","|x| is almost always taught as “make it positive,” and that description survives exactly as long as the numbers stay simple. The honest definition is geometric: |x| is the DISTANCE from x to 0 on the number line. Distance has no direction, which is why it is never negative — not because a sign was deleted."
content/courses/absolute-value-piecewise/lessons/avp-01-01.json,avp-01-01,steps.3,avp-same-distance-different-side,RENDER,PASS,,3873c07d,"Negative six and six share a distance of six from zero but sit on opposite sides, so they are not equal.","So two numbers can share a distance while disagreeing about everything else. |−6| = |6| = 6, but −6 ≠ 6. Absolute value throws away the side and keeps the size; the number itself is unharmed by being measured."
content/courses/absolute-value-piecewise/lessons/avp-01-02.json,avp-01-02,steps.0,avp-plot-folds,RENDER,PASS,,94f4f9b5,"Plotting absolute value: inputs on the right rise along y equals x, while inputs on the left have positive distances, so that arm folds upward into a V.","Feed every input to |x| and plot the results. Inputs on the right rise along y = x. Inputs on the left are negative, but their DISTANCES are positive, so the left half rises too — mirror-imaging the right. Two rising branches meeting at the origin: a V."
content/courses/absolute-value-piecewise/lessons/avp-01-02.json,avp-01-02,steps.3,avp-corner-slopes,RENDER,PASS,,93172585,"The V has two slopes: it falls at slope negative one until the origin, then climbs at slope positive one. The corner is where the slope switches.","The corner is the signature. A line has one constant slope; the V has two — it falls at slope −1 until the origin, then climbs at slope +1. The switch happens exactly where the inside of the bars changes sign, and that is the vertex."
content/courses/absolute-value-piecewise/lessons/avp-01-03.json,avp-01-03,steps.0,avp-shifted-vertex,RENDER,PASS,,1c4d16a3,"y equals the absolute value of x minus 2, minus 3. The inside minus two moves the V right; the outside minus three moves it down, putting the vertex at two, negative three.","y = |x − 2| − 3 is still the same V, standing somewhere else. The −2 INSIDE the bars moves it horizontally; the −3 outside moves it vertically. The vertex is wherever the inside of the bars equals 0 — that is the one input the shift is built around."
content/courses/absolute-value-piecewise/lessons/avp-01-03.json,avp-01-03,steps.3,avp-flip-peak,RENDER,PASS,,9883faa1,"A minus in front of the bars flips the V upside down into a peak, so the vertex becomes the highest point instead of the lowest.","A minus in FRONT flips instead of shifts. y = −|x| takes every height and negates it, turning the V upside down into a peak — the vertex becomes the highest point rather than the lowest. Inside the bars: horizontal. Outside: vertical. In front: reflection."
content/courses/absolute-value-piecewise/lessons/avp-02-01.json,avp-02-01,steps.0,avp-two-solutions,RENDER,PASS,,b264a6f0,"The equation absolute value of x equals five asks which numbers sit five units from zero; there are two, one on each side.","|x| = 5 asks which numbers sit five units from zero. Phrased that way the answer is obvious — there are two, one per side. Phrased as “remove the bars,” only one shows up. The distance reading is what keeps the second solution from disappearing."
content/courses/absolute-value-piecewise/lessons/avp-02-01.json,avp-02-01,steps.3,avp-quantity-as-object,RENDER,PASS,,e6bf2360,"Treat the whole expression inside the bars as one object: the quantity x minus one is four from zero, so it equals four or negative four, giving x equals five or negative three.","The method generalizes by treating whatever sits inside the bars as one object. |x − 1| = 4 says the QUANTITY x − 1 is four units from zero, so x − 1 = 4 or x − 1 = −4. Solve both, and you get both answers."
content/courses/absolute-value-piecewise/lessons/avp-02-02.json,avp-02-02,steps.0,avp-solution-count-cases,RENDER,PASS,,4414fdf0,"The equation absolute value of x equals k has two solutions when k is positive, exactly one when k is zero, and none when k is negative.","The pair is the usual case, not the only one. |x| = k has two solutions when k > 0, exactly one when k = 0 (zero is its own mirror), and NONE when k < 0 — because no point on the line sits a negative distance from anywhere."
content/courses/absolute-value-piecewise/lessons/avp-02-02.json,avp-02-02,steps.3,avp-right-side-decides,RENDER,PASS,,3292d490,"The number on the right decides the solution count before any case-splitting begins: positive gives a pair, zero gives a single solution where the inside is zero, negative gives none.","So the count is decided by the number on the right, before any case-splitting begins. Positive right side: a pair. Zero: a single solution where the inside vanishes. Negative right side: nothing. Reading the right-hand side first saves the whole procedure."
