# sourceSeal=ae399cc+inputs.a0bbd8591c69 inputFiles=1969 generatedBy=scripts/audit/mcq-leakage.mts
# One row per (item, tell). Each tell is a documented multiple-choice writing failure, scored
# independently — a length leak is a different repair from a lone-justification leak.
# NOT a rewrite list: MCQ review is grouped by misconception family, and nothing is reworded by
# string length alone. A row is a candidate for a human read that starts from a named cause.
source,owner,unit,tell,detail,prompt,correct,distractors,path
authored,avp-02-02,k3,length-prose-vs-prose,69 chars vs longest distractor 37,"Graphically, why does |x| = −2 have no solutions?","The line y = −2 passes below the V, which never dips under the x-axis",The V is too narrow to reach it · Because −2 is not an integer distance,content/courses/absolute-value-piecewise/lessons/avp-02-02.json
authored,avp-03-01,k3,length-prose-vs-prose,74 chars vs longest distractor 48,Why must the conditions of a piecewise rule never overlap?,"Because an input in both would receive two outputs, and functions give one",Because overlapping conditions are hard to write · Because the formulas would have to be identical,content/courses/absolute-value-piecewise/lessons/avp-03-01.json
authored,as100-03-04,k3,length-prose-vs-prose,38 chars vs longest distractor 22,When do we break a ten?,when the ones are too few to take from,every time we subtract · when the answer is big,content/courses/add-subtract-100/lessons/as100-03-04.json
authored,asv-01-01,k2,length-prose-vs-prose,63 chars vs longest distractor 40,"What does ""height"" mean in the triangle area formula?",The perpendicular distance from the base to the opposite vertex,The length of the longest side · The length of any side touching the base,content/courses/area-surface-volume/lessons/asv-01-01.json
authored,asv-01-03,k3,length-prose-vs-prose,112 chars vs longest distractor 60,"For fixed height and two DIFFERENT base lengths, why does the trapezoid formula average the bases instead of using just one?",Because the trapezoid blends properties of both bases — its area falls between what either base alone would give,Because using only one base is always close enough · Averaging is just a simplification with no geometric meaning,content/courses/area-surface-volume/lessons/asv-01-03.json
authored,g2a-02-03,k3,length-prose-vs-prose,49 chars vs longest distractor 32,A 2-by-8 array and a 4-by-4 array both use 16 dots. What does that show?,The same total can make differently shaped arrays,The 4-by-4 array holds more dots · One of the arrays must be wrong · Arrays only work for even totals,content/courses/arrays-even-odd-g2/lessons/g2a-02-03.json
authored,g2a-03-02,k1,length-prose-vs-prose,49 chars vs longest distractor 32,A 2-by-8 array and a 4-by-4 array both use 16 dots. What does that show?,The same total can make differently shaped arrays,The 4-by-4 array holds more dots · One of the arrays must be wrong · Arrays only work for even totals,content/courses/arrays-even-odd-g2/lessons/g2a-03-02.json
authored,g2a-03-02,k3,length-prose-vs-prose,49 chars vs longest distractor 32,A 2-by-9 array and a 3-by-6 array both use 18 dots. What does that show?,The same total can make differently shaped arrays,The 3-by-6 array holds more dots · One of the arrays must be wrong · Arrays only work for even totals,content/courses/arrays-even-odd-g2/lessons/g2a-03-02.json
authored,bt-01-03,k3,length-prose-vs-prose,77 chars vs longest distractor 40,Why is Pascal's triangle symmetric?,Choosing k brackets to give b is the same as choosing the other n−k to give a,Because addition is commutative · Because every row starts and ends with 1,content/courses/binomial-theorem/lessons/bt-01-03.json
authored,bv-02-02,k2,length-prose-vs-prose,60 chars vs longest distractor 30,What single idea best measures how good a line of best fit is?,How far the dots sit from the line overall (their residuals),How many dots the line touches · How steep the line is · How long the line is,content/courses/bivariate-statistics/lessons/bv-02-02.json
authored,cn-01-02,k3,length-prose-vs-prose,57 chars vs longest distractor 32,"In this method, why add (b/2)² to both sides?",it turns the left side into the perfect square (x + b/2)²,it makes the equation equal zero · it cancels the x term · it doubles the middle term,content/courses/complex-numbers/lessons/cn-01-02.json
authored,g1s-01-01,k2,length-prose-vs-prose,43 chars vs longest distractor 15,What makes a shape a square?,4 equal straight sides and 4 square corners,Being red · Being large · Pointing upward,content/courses/compose-shapes-g1/lessons/g1s-01-01.json
authored,g1s-01-02,ch1,length-prose-vs-prose,37 chars vs longest distractor 15,What makes a shape a rectangle?,4 straight sides and 4 square corners,Being red · Being large · Pointing upward,content/courses/compose-shapes-g1/lessons/g1s-01-02.json
authored,g1s-01-03,k1,length-prose-vs-prose,37 chars vs longest distractor 15,What makes a shape a rectangle?,4 straight sides and 4 square corners,Being red · Being large · Pointing upward,content/courses/compose-shapes-g1/lessons/g1s-01-03.json
authored,g1s-02-02,ch1,length-prose-vs-prose,37 chars vs longest distractor 15,What makes a shape a rectangle?,4 straight sides and 4 square corners,Being red · Being large · Pointing upward,content/courses/compose-shapes-g1/lessons/g1s-02-02.json
authored,g1s-03-03,ch1,length-prose-vs-prose,43 chars vs longest distractor 15,What makes a shape a square?,4 equal straight sides and 4 square corners,Being red · Being large · Pointing upward,content/courses/compose-shapes-g1/lessons/g1s-03-03.json
authored,cpr-02-03,k2,length-prose-vs-prose,80 chars vs longest distractor 53,Why do we subtract the 40 when we add the bus row (100) to the sport column (110)?,"Those 40 students sit in both the row and the column, so they are counted twice.",Because those 40 students belong to neither event. · To make the probability come out under 1. · Because the row and the column have different totals.,content/courses/conditional-probability/lessons/cpr-02-03.json
authored,co-03-02,k3,length-prose-vs-prose,48 chars vs longest distractor 31,How does the hyperbola's focus rule differ from the ellipse's?,Hyperbola ADDS (c² = a² + b²); ellipse SUBTRACTS,They use the exact same formula · Hyperbola has no foci,content/courses/conic-sections/lessons/co-03-02.json
authored,co-04-03,k2,length-prose-vs-prose,36 chars vs longest distractor 13,Which conic does NOT require dividing to make the right side equal 1?,the parabola (only one squared term),the ellipse · the hyperbola,content/courses/conic-sections/lessons/co-04-03.json
authored,dm-02-01,k2,length-prose-vs-prose,84 chars vs longest distractor 46,What does it mean for a line to 'fit' a scatter of points well?,"The gaps between the points and the line are small overall, balanced above and below",Every single point lies exactly on the line · The line touches the highest and lowest points · The line has the steepest possible slope,content/courses/data-and-models/lessons/dm-02-01.json
authored,dm-02-02,ch1,only-option-with-a-unit,Dataset B — 0.95 in magnitude beats 0.8,Dataset A has r = 0.8. Dataset B has r = −0.95. Which has the STRONGER linear relationship?,Dataset B — 0.95 in magnitude beats 0.8,Dataset A — positive is always stronger than negative · They are equally strong since both are 'high' · Cannot compare a positive and a negative correlation,content/courses/data-and-models/lessons/dm-02-02.json
authored,dpv-01-02,k2,length-prose-vs-prose,35 chars vs longest distractor 22,"In the number 0.375, which digit is in the THOUSANDTHS place?",5 — the third place after the point,3 — it comes first · 7 — it's in the middle · 0 — the leading zero,content/courses/decimals-place-value/lessons/dpv-01-02.json
authored,ev-01-01,k3,length-prose-vs-prose,34 chars vs longest distractor 16,"Which of these is a random VARIABLE, not an outcome?",The number of heads in three flips,The sequence HTH · The coin itself,content/courses/expected-value/lessons/ev-01-01.json
authored,esn-03-03,k3,length-prose-vs-prose,58 chars vs longest distractor 37,Which is bigger: 3.1 × 10⁶ or 7.5 × 10⁶?,"7.5 × 10⁶, since the exponents match, compare coefficients","3.1 × 10⁶, since it's listed first · They're equal · Can't tell — need standard form first",content/courses/exponents-scientific-notation/lessons/esn-03-03.json
authored,fna-01-03,k3,only-option-with-a-unit,Ava's (5 km/h vs 4 km/h),Ava walks 10 km in 2 hours. Ben walks 12 km in 3 hours. Whose average speed is greater?,Ava's (5 km/h vs 4 km/h),"Ben's, because he walked farther · They're equal",content/courses/function-analysis/lessons/fna-01-03.json
authored,fna-03-01,k2,length-prose-vs-prose,20 chars vs longest distractor 4,Classify h(x) = x² + x.,Neither even nor odd,Even · Odd,content/courses/function-analysis/lessons/fna-03-01.json
authored,fna-03-02,k3,length-prose-vs-prose,92 chars vs longest distractor 34,Why is the pair of conditions written as x < 2 and x ≥ 2 (rather than x ≤ 2 and x ≥ 2)?,So every input has exactly one owning rule — otherwise x = 2 would get two different outputs,Because x = 2 is not in the domain · It's only a style preference,content/courses/function-analysis/lessons/fna-03-02.json
authored,fna-03-03,k3,length-prose-vs-prose,67 chars vs longest distractor 41,What happens to C(w) as a parcel's weight crosses from 2 kg to just over 2 kg?,The cost jumps from $7 to $10 — no price in between is ever charged,The cost rises smoothly through $8 and $9 · The cost stays $7 until 3 kg,content/courses/function-analysis/lessons/fna-03-03.json
