# sourceSeal=1a717ad generatedBy=scripts/audit/math-presentation-indexes.mts
# Integral notation left as ASCII, or an integral sign stranded outside an island.
# Measured as the PROSE RESIDUE after authoredMathParts removes every island — what the learner reads, not what the author wrote.
# Surface is derived from the call sites: widget spec strings render with arithmetic OFF, lesson body/hints/feedback with arithmetic ON.
# One row per (source, owner, unit, field, shape); a generator emitting the same shape at every seed appears once, with one representative seed.
source,owner,unit,field,surface,shape,seed,residue,text
authored,in-01-02,k3,widget.left[0].label,arithmetic-off,integral sign outside an island,,∫,∫
authored,in-01-03,c1,body,arithmetic-on,integral sign outside an island,," is not a formula. It is the number the trap closes on — the limit of the Riemann sums. Three properties fall straight out of the rectangles: ∫ₐᵃ (no width, no ","∫ₐᵇ f(x) dx is not a formula. It is the **number the trap closes on** — the limit of the Riemann sums. Three properties fall straight out of the rectangles: ∫ₐᵃ f = 0 (no width, no area). ∫ₐᵇ f = −∫ᵦᵃ f (running backward"
authored,in-01-03,i1,widget.panels[2].body,arithmetic-off,integral sign outside an island,,"It lets you write + ∫ᵦᶜ = even when b sits OUTSIDE the interval — the bookkeeping simply works, because the negative width undoes the double-counting.","It lets you write ∫ₐᵇ + ∫ᵦᶜ = ∫ₐᶜ even when b sits OUTSIDE the interval — the bookkeeping simply works, because the negative width undoes the double-counting."
authored,in-02-03,c1,body,arithmetic-on,integral sign outside an island,,"If f is a rate, then the area under it is a total. Velocity (miles per hour) × time (hours) = miles. That is exactly what a strip computes: height × width. Add ","If f is a **rate**, then the area under it is a **total**. Velocity (miles per hour) × time (hours) = miles. That is exactly what a strip computes: height × width. Add the strips and you have the total distance. **∫ₐᵇ (r"
authored,in-02-03,k2,widget.options[0].feedback,arithmetic-off,integral written as ASCII,,Right. The plain integral gives DISPLACEMENT (net change); the integral of |v| gives distance travelled.,Right. The plain integral gives DISPLACEMENT (net change); the integral of |v| gives distance travelled.
authored,in-04-01,ch1,widget.prompt,arithmetic-off,integral sign outside an island,,∫₁³ (x³ + x)/x dx (for ). Give a decimal to three places.,∫₁³ (x³ + x)/x dx (for x ≠ 0). Give a decimal to three places.
authored,in-04-02,k3,widget.options[0].feedback,arithmetic-off,integral written as ASCII,,"Right. The integral of a rate gives the CHANGE. The starting amount is the constant, and no rate can tell you what it was.","Right. The integral of a rate gives the CHANGE. The starting amount is the constant, and no rate can tell you what it was."
authored,in-05-01,c1,body,arithmetic-on,integral sign outside an island,,"The chain rule left a fingerprint: the derivative of the inside, multiplied on the outside. So when an integrand contains an inside function AND its derivative,","The chain rule left a fingerprint: **the derivative of the inside, multiplied on the outside.** So when an integrand contains an inside function AND its derivative, you are looking at the output of a chain rule — and you"
authored,ia-01-01,c1,body,arithmetic-on,integral sign outside an island,,One curve gave you the area under it. Two curves give you the area between them — and the only thing that changes is the height of a strip. Each strip runs from,"One curve gave you the area under it. **Two curves give you the area between them** — and the only thing that changes is the height of a strip. Each strip runs from the **bottom** curve to the **top** one, so its height "
authored,ia-01-02,c2,body,arithmetic-on,integral sign outside an island,,"Notice how little actually changed. Area — slice, measure the HEIGHT, add: . Volume — slice, measure the DISC, add: ∫πf² dx. Same slicing. Same summing. The onl","Notice how little actually changed. **Area** — slice, measure the HEIGHT, add: ∫f dx. **Volume** — slice, measure the DISC, add: ∫πf² dx. Same slicing. Same summing. The only difference is what you measure on one slice. "
