# sourceSeal=a5aa97b — S242/ENG-01. One row per authored step whose derivation ladder contains a
# stage displaying the GRADED ANSWER. Since the S242 gate these values are withheld until
# tone === 'info' (post-verdict), so a row here is a stage that is HELD, not one that leaks.
# `compelled` = canCheck's requiredStageKeys forces that stage open; harmless once it is held,
# and the number to watch if the gate is ever weakened.
lesson,step,engine,task,kind,graded,stagesTotal,answerStages,compelled
asv-03-02,k1,geometricConstraintLab,coordinateArea,check,true,2,1,true
asv-03-02,k2,geometricConstraintLab,coordinateArea,check,true,2,1,true
asv-03-02,k3,geometricConstraintLab,coordinateArea,check,true,2,1,true
asv-03-02,ch1,geometricConstraintLab,coordinateArea,challenge,true,2,1,true
asv-03-03,i1,geometricConstraintLab,coordinateArea,interactive,false,2,1,true
asv-03-03,k1,geometricConstraintLab,coordinateArea,check,true,2,1,true
asv-03-03,k2,geometricConstraintLab,coordinateArea,check,true,5,1,true
asv-03-03,i2,geometricConstraintLab,coordinateArea,interactive,false,5,1,true
asv-03-03,k3,geometricConstraintLab,coordinateArea,check,true,2,1,true
asv-03-03,ch1,geometricConstraintLab,coordinateArea,challenge,true,7,1,true
bv-02-03,i1,affineRelationshipLab,readIntercept,interactive,false,2,1,true
bv-02-03,k1,affineRelationshipLab,readSlope,check,true,2,1,true
bv-02-03,k2,affineRelationshipLab,readSlope,check,true,2,1,true
bv-02-03,ch1,affineRelationshipLab,readIntercept,challenge,true,2,1,true
cr-03-03,k1,exactNumberLab,approximationEvaluate,check,true,3,1,false
cr-03-03,k2,exactNumberLab,approximationEvaluate,check,true,4,1,false
cr-03-03,k3,exactNumberLab,approximationEvaluate,check,true,4,1,false
cr-03-03,ch,exactNumberLab,approximationEvaluate,challenge,true,4,1,false
cr-04-01,k1,exactNumberLab,approximationEvaluate,check,true,3,1,false
cr-04-01,k2,exactNumberLab,approximationEvaluate,check,true,3,1,false
cr-04-01,ch,exactNumberLab,approximationEvaluate,challenge,true,3,1,false
cr-04-03,k1,exactNumberLab,approximationEvaluate,check,true,4,1,false
cr-04-03,k2,exactNumberLab,approximationEvaluate,check,true,4,1,false
cr-04-03,k3,exactNumberLab,approximationEvaluate,check,true,3,1,false
cr-04-03,ch,exactNumberLab,approximationEvaluate,challenge,true,3,1,false
cg-01-02,k3,pointSetReasoningLab,axisDistance,check,true,4,2,true
cg-01-03,k1,pointSetReasoningLab,axisDistance,check,true,4,1,true
cg-01-03,k2,pointSetReasoningLab,pointRead,check,true,2,2,true
cg-01-03,i2,pointSetReasoningLab,sequenceExtend,interactive,false,5,1,true
cg-01-03,k3,pointSetReasoningLab,pathLength,check,true,6,1,true
cx-04-03,i1,geometricConstraintLab,coordinateProof,interactive,false,3,1,false
dd-04-01,k1,pointSetReasoningLab,rangeValue,check,true,3,1,true
dd-04-01,i2,pointSetReasoningLab,rangeValue,interactive,false,3,1,true
dd-04-01,ch1,pointSetReasoningLab,rangeUpdate,challenge,true,4,1,true
dop-01-02,i1,exactNumberLab,groupedEvaluate,interactive,false,2,1,true
dop-01-02,k1,exactNumberLab,groupedEvaluate,check,true,2,1,true
dop-01-02,k2,exactNumberLab,groupedEvaluate,check,true,2,1,true
dop-01-02,k3,exactNumberLab,groupedEvaluate,check,true,2,1,true
dop-01-02,ch1,exactNumberLab,groupedEvaluate,challenge,true,2,1,true
dop-03-02,k3,quotientReasoningLab,integerQuotient,check,true,3,1,false
dop-03-02,ch1,quotientReasoningLab,integerQuotient,challenge,true,3,1,false
dop-03-03,k1,quotientReasoningLab,remainderContext,check,true,4,1,false
dop-03-03,k2,quotientReasoningLab,remainderContext,check,true,4,1,false
dop-03-03,k3,quotientReasoningLab,remainderContext,check,true,4,1,false
dop-05-03,i1,placeValueTransformLab,decimalDivision,interactive,false,2,1,false
dop-05-03,k1,placeValueTransformLab,decimalDivision,check,true,2,1,false
dop-05-03,k2,placeValueTransformLab,decimalDivision,check,true,2,1,false
dop-05-03,k3,placeValueTransformLab,decimalDivision,check,true,2,2,false
dop-05-03,ch1,placeValueTransformLab,decimalDivision,challenge,true,2,1,false
dpv-01-03,i1,placeValueTransformLab,shift,interactive,false,1,1,false
dpv-01-03,k1,placeValueTransformLab,shift,check,true,1,1,false
dpv-01-03,k2,placeValueTransformLab,shift,check,true,2,1,false
dpv-01-03,k3,placeValueTransformLab,shift,check,true,1,1,false
dpv-01-03,ch1,placeValueTransformLab,shift,challenge,true,3,1,false
dpv-04-03,i1,placeValueTransformLab,round,interactive,false,3,2,false
dc-03-02,k1,exactNumberLab,approximationEvaluate,check,true,3,1,false
dc-03-02,k2,exactNumberLab,approximationEvaluate,check,true,2,1,false
dc-03-02,ch1,exactNumberLab,approximationEvaluate,challenge,true,3,1,false
exp-01-01,k1,exactNumberLab,approximationEvaluate,check,true,3,1,true
exp-01-01,k2,exactNumberLab,approximationEvaluate,check,true,3,1,true
exp-01-01,k3,exactNumberLab,approximationEvaluate,check,true,3,2,true
exp-01-01,ch1,exactNumberLab,approximationEvaluate,challenge,true,3,1,true
exp-01-02,k3,exactNumberLab,approximationEvaluate,check,true,3,1,true
exp-01-02,ch1,exactNumberLab,approximationEvaluate,challenge,true,3,1,true
exp-01-03,k1,exactNumberLab,approximationEvaluate,check,true,3,1,true
exp-01-03,k2,exactNumberLab,approximationEvaluate,check,true,3,2,true
exp-01-03,k3,exactNumberLab,approximationEvaluate,check,true,4,1,true
exp-01-03,ch1,exactNumberLab,approximationEvaluate,challenge,true,4,1,true
exp-02-01,k1,exactNumberLab,approximationEvaluate,check,true,3,1,true
exp-02-01,k2,exactNumberLab,approximationEvaluate,check,true,3,1,true
exp-02-01,k3,exactNumberLab,approximationEvaluate,check,true,3,2,true
exp-02-01,ch1,exactNumberLab,approximationEvaluate,challenge,true,3,1,true
exp-02-02,k1,exactNumberLab,approximationEvaluate,check,true,3,1,true
exp-02-02,k2,exactNumberLab,approximationEvaluate,check,true,3,1,true
exp-02-02,k3,exactNumberLab,approximationEvaluate,check,true,3,2,true
exp-02-02,ch1,exactNumberLab,approximationEvaluate,challenge,true,3,1,true
exp-02-03,k2,exactNumberLab,approximationEvaluate,check,true,3,1,true
exp-02-03,ch1,exactNumberLab,approximationEvaluate,challenge,true,3,1,true
exp-03-01,k1,exactNumberLab,exponentSolve,check,true,3,2,true
exp-03-01,k2,exactNumberLab,exponentSolve,check,true,3,2,true
exp-03-01,ch1,exactNumberLab,exponentSolve,challenge,true,3,2,true
exp-03-02,k1,exactNumberLab,exponentSolve,check,true,4,3,true
exp-03-02,k2,exactNumberLab,exponentSolve,check,true,4,2,true
exp-03-02,k3,exactNumberLab,exponentSolve,check,true,4,2,true
exp-03-02,ch1,exactNumberLab,exponentSolve,challenge,true,4,2,true
exp-03-03,k1,exactNumberLab,exponentSolve,check,true,3,2,true
