# sourceSeal=cebeed5 — S242/VIS-03. Placements that RENDER (isFigureTextAligned passes) where the
# figure's own <title> asserts a numeric relationship and NONE of its numbers appear in the prose
# beside it. The three already-guarded fixed exemplars are excluded — those are the alignment
# gate's business. This is the same defect class as count-on-hops, on figures nothing guards.
lesson,step,figure,titleNumbers,proseNumbers,title,prose
"cx-02-03","c1","perpendicular-rotation","3 2","1 90 0","A slope triangle with run 3 and rise 2 for a line of slope two thirds. Rotating it ninety degrees about its corner turns the run into a rise and the rise into a","The perpendicular rule — slopes multiply to −1 — falls to a **quarter-turn**. Rotate a slope triangle 90° about its corner (a rigid motion): the run (a, 0) turn"
"dop-05-02","c1","dop-count-places","1.2 0.5 0.6","2.5 1.4 25 14 350 3.5","Count decimal places: 1.2 × 0.5 = 0.60.","The rule scales to bigger numbers. For 2.5 × 1.4, multiply as wholes: 25 × 14 = 350. Both factors have one decimal place, so two total — place the point two fro"
"dpv-02-02","c1","dpv-expanded","0.347 0.3 0.04 0.007","0.375 3 10 7 100 5 1000","Expanded form: 0.347 = 0.3 + 0.04 + 0.007.","A decimal is just its places, added up. Break 0.375 into what each digit is worth: **3/10 + 7/100 + 5/1000**. That's **expanded form** — the number pulled apart"
"ep-01-03","c1","exponent-repeat","3 2 5","0 1","Repeated multiplication: a cubed is three a-factors and a squared is two; placed together they make five a-factors, which is a to the fifth — so multiplying pow","The quotient rule explains two new cases. a^n / a^n = a^0, but it's also 1, so **a^0 = 1** for any nonzero base. And when the bottom exponent is larger, you get"
"ee-01-02","c2","ee-eval-power","2 2 2 2 2 16","10 1 100 0 7","Evaluate 2⁴ = 2·2·2·2 = 16.","Two shortcuts worth memorizing. **Powers of 10** are 1 followed by that many zeros: 10² = 100, 10⁴ = 10,000. And **1 to any power is always 1** (1 × 1 × 1 … sta"
"ee-02b-02","c2","expression-machine","4 9","1 3","An expression works like a machine: the input n equals 4 goes in, the rule two n plus one runs, and the output 9 comes out.","Knowing the coefficient is not trivia — it is what makes combining possible. 3x + x is not 3x. Written in full it is 3x + 1x, and once both coefficients are vis"
"ee-04-03","c1","ee-mult-div-solve","12 3","20 4 5","Solve 3x = 12 by dividing both sides by 3.","Multiplication equations undo with **division**, and vice versa. To solve 4x = 20, **undo the ×4** by dividing BOTH sides by 4: 4x ÷ 4 = 20 ÷ 4, giving x = **5*"
"fa-03-03","c2","fa-add-like","2 5 1 5 3 5","5 8 6 11","Add like fractions: 2/5 + 1/5 = 3/5.","If the numerator ends up equal to or bigger than the denominator, you've reached — or passed — **one whole.** 5/8 + 6/8 = 11/8. Since 11 is more than 8 (which w"
"fa-05-02","c2","fa-repeated-add","3 2 5 6 5 1 1 5","15 8 1 7","3 × 2/5 = 6/5 = 1 1/5.","Word problems just translate into this multiplication. Watch for a leftover step: if the product is improper, convert it to a mixed number for a sensible real-w"
"ft-04-03","c1","composition-chain","4 2 8 8 3 11 4 11","1","Two function machines connected in a chain. The input 4 enters the first machine, g, whose rule is times 2, producing 8. That 8 immediately enters the second ma","To write **f(g(x))** as a formula, substitute **g's entire expression** wherever f's rule says x. With f(x) = x² and g(x) = x + 1: f(g(x)) = **(x + 1)²** — the "
