# sourceSeal=1116fa8 draws=24 — S242/GRB-04. Distinct ANSWERS, not distinct widgets.
# constant = many prompts, one answer: re-asking cannot measure anything. Some are legitimate
# invariance lessons and some are decoration; the distinction has to be read, not computed.
generator,form,widgetType,verdict,distinctPrompts,distinctAnswers,topAnswerShare,topAnswer,examplePrompt
g6-data-literacy,ddHistDisplayChoice,mcq,constant,24,1,1,A histogram — grouped intervals summariz,A study has 68 measurements spread from 9 to 62. Which display is usually more useful?
g6-center-spread,ddMeanMeaning,mcq,constant,24,1,1,The fair-share value if the total were d,The data 3  5  9  11 has mean 7  but 7 is not one of the observations. What does 7 represe
g6-center-spread,ddMeanMedianTail,mcq,constant,24,1,1,A high outlier or long right tail is pul,A data set has mean 30 and median 19. What shape is most likely?
g6-center-spread,ddIqrOutlierRobust,mcq,constant,24,1,1,The range — it uses the new extreme endp,A high value 91 joins the data 2  6  9  9  10  15  14  17. Which spread measure changes mo
g6-center-spread,ddSimilarClass,mcq,constant,24,1,1,Class A — its smaller IQR means the midd,Class A has center 9 and IQR 2. Class B has center 9 and IQR 11. Which class has more simi
fraction-benchmark,straddleHalf,exactNumberLab,constant,24,1,1, lt ,Which is bigger: 4/12 or 7/13?
inverse-pipeline,three,inversePipeline,constant,24,1,1,[ t-inv-f3   t-inv-f2   t-inv-f1 ],The machine does: + 3  − 5  × 4. Build the undo machine — last step first.
inverse-pipeline,multistep,inversePipeline,constant,24,1,1,[ t-inv-f4   t-inv-f3   t-inv-f2   t-inv,The machine does: − 4  × 5  − 4  ÷ 3. Build the undo machine — last step first.
inverse-pipeline,default,inversePipeline,constant,24,1,1,[ t-inv-f2   t-inv-f1 ],The machine does: + 1  × 2. Build the undo machine — last step first.
conic-classify,hyperbolaCase,mcq,constant,24,1,1,hyperbola,Classify 4x² − 2y² − 20 = 0 (A = 4  C = −2).
conic-classify,circleCase,mcq,constant,24,1,1,circle,Classify 5x² + 5y² − 13 = 0.
conic-classify,default,mcq,constant,24,1,1,ellipse,Classify 5x² + 2y² − 5x − 12 = 0 (A = 5  C = 2).
coordinate-plot,cgVerticalAlignment,mcq,constant,24,1,1,They line up vertically — the x-coordina,Point P is at (2  7) and point Q is at (2  1). What is true about P and Q?
end-behavior,poleClassify,mcq,constant,24,1,1,A vertical asymptote — the bottom vanish,f(x) = (4x − 2)/(x − 3). What happens at x = 3?
group-division,default,mcq,constant,24,1,1,How many teams form,14 kids split into teams of 2. What does 14 ÷ 2 count in this story?
independence-def,dependentCheck,mcq,constant,24,1,1,Dependent — knowing they take the bus ch,For 200 students: P(sport) = 0.67 and P(sport | bus) = 0.39. Are travel and sport independ
independence-def,default,mcq,constant,24,1,1,Suit and rank are independent — knowing ,P(ace) = 1/13 and P(ace | club) = 1/13. What does that tell you?
piecewise-eval,whyDisjoint,mcq,constant,24,1,1,So every input has exactly one owning ru,In p(x) = x + 3 for x < 6  and p(x) = x² for x ≥ 6  why are the conditions written x < 6 a
composite-multi,groupingOrder,mcq,constant,24,1,1,No — addition gives the same total regar,For a three-piece floor plan (91 + 36 + 12 = 139)  does grouping the addition differently 
even-odd-classify,evenPolynomial,mcq,constant,24,1,1,Even,Classify k(x) = 5x⁶ − x⁴ + 10.
identity-zero,timesZero,numeric,constant,24,1,1,0,What is 813 × 0?
nl-beyond-one,whereWhole,mcq,constant,24,1,1,Exactly on 1,Where does 4/4 land?
equivalent-fractions,whoIsRight,mcq,constant,24,1,1,The pieces are different sizes  so count,Nils says 2/4 is MORE than 1/2   because 2 pieces beat 1.   What is the real story?
compare-same-denom,default,fractionCompare,constant,24,1,1, right ,Which is more of the same cake: 2/6 or 3/6?
same-whole,pizzaClaim,mcq,constant,24,1,1,The pizzas aren't the same size,Leo ate 1/2 of a MINI pizza; Raj ate 1/8 of a FAMILY-SIZE one. Leo says  I ate more — 1/2 
same-whole,whichPair,mcq,constant,24,1,1,Only Kim vs Raj — and Kim ate more,Kim ate 2/3 of her small bag of trail mix; Raj ate 2/7 of his — their bags are the SAME si
same-whole,comparisonCondition,mcq,constant,24,1,1,The two drawings represent equal-size wh,A learner wants to compare 2/7 and 3/7 from two drawings. What must be confirmed first?
num-denom,denominatorEffect,mcq,constant,24,1,1,It becomes smaller,The numerator stays 1 while 1/6 changes to 1/10 of the same whole. What happens to the amo
attributes,default,mcq,constant,24,1,1,Yes — colour is not a defining attribute,A quadrilateral is painted green. Does it remain a quadrilateral?
quadrilaterals,trapezoidByParallel,mcq,constant,24,1,1,A trapezoid,A four-sided figure has exactly one pair of parallel sides  with bases 9 cm and 6 cm. What
quadrilaterals,default,mcq,constant,24,1,1,A rectangle,A four-sided figure has four right angles. Adjacent sides are 5 cm and 4 cm. What is it?
shape-hierarchy,rectangleNotSquare,mcq,constant,24,1,1,No — a rectangle may have unequal adjace,A rectangle measures 10 by 2. Must it be a square?
shape-hierarchy,hierarchyTruth,mcq,constant,24,1,1,Every square is also a rectangle,A square has side length 10. Which hierarchy statement is true?
shape-hierarchy,default,mcq,constant,24,1,1,Yes — it satisfies every rectangle rule,A square has four sides of 6 cm and four right angles. Is it also a rectangle?
sorting-rules,bothRules,mcq,constant,24,1,1,A square,The rules are “has a right angle” and “all sides equal.” Which 9-cm-sided shape passes bot
non-examples,threeRightAngles,mcq,constant,24,1,1,No — a rectangle requires four right ang,A four-sided figure has three right angles and one 108° angle. Is it a rectangle?
non-examples,misfitPurpose,mcq,constant,24,1,1,The contrast reveals exactly which defin,Why compare a valid 10-cm square with a near-miss 10-by-3 rectangle?
non-examples,unequalSideReject,mcq,constant,24,1,1,Its four sides are not all equal,A figure has four straight sides and four right angles  but adjacent sides are 7 cm and 3 
place-value,zeroPlaceholder,mcq,constant,24,1,1,The zero holds the tens place open,Why is 809 not the same number as 89?
compare-numbers,leadingDigitError,mcq,constant,24,1,1,The hundreds place must be compared befo,A learner says 786 > 825 because 8 is bigger than 2. What went wrong?
regroup-add,default,mcq,constant,24,1,1,One new ten made from 10 ones,In 68 + 73  a small 1 is carried above the tens column. What does it represent?
regroup-sub,default,mcq,constant,24,1,1,One ten was traded for 10 ones,In 50 − 27  the top tens digit changes from 5 to 4  and the top ones value changes from 0 
estimate-check,estimateCertainty,mcq,constant,24,1,1,No — a near estimate is a warning  not a,A hall seats 650. Groups of 77  93  117 want to enter. Their nearest-hundred estimate is a
bar-graph,scalePurpose,mcq,constant,24,1,1,Large values fit on the axis with fewer ,A graph must show values up to 28. Why might its vertical scale count by 2s instead of by 
area-distributive,preserveReason,mcq,constant,24,1,1,The same unit squares are regrouped; non,Why does cutting a 5-by-8 rectangle into a 5-by-3 piece and a 5-by-5 piece preserve its to
op-choice,default,mcq,constant,24,1,1,Bo — the packs are equal groups,Mia has 5 red pens and 3 blue pens. Bo has 6 packs with 7 pens in each pack. Who needs MUL
unknown-position,default,mcq,constant,24,1,1,The group count — how many plates,12 cupcakes are placed 2 to a plate. Which slot is the unknown?
addition-patterns,default,mcq,constant,24,1,1,Order never changes a sum,On an addition table  the cell for 6 + 3 matches the cell for 3 + 6. Why?
mult-patterns,default,mcq,constant,24,1,1,Turning the factors around does not chan,On a multiplication table  the cell for 3 × 2 matches the cell for 2 × 3. Why?
g7-triangle-inequality,frameCheck,triangleClosureLab,constant,24,1,1,{ angle :30  moves :2  choice : correct ,A triangular frame needs beams of 6  8  and 14 feet. Will they form a triangle?
pr-constant-k-g7,rrZeroAnchor,mcq,constant,24,1,1,The stacked marks stop sharing one multi,A student draws double number lines for 4 laps in 5 minutes but starts the minutes line at
g8-tm-rigid-motion,tmTranslateProperty,mcq,constant,24,1,1,Its location on the plane,After a coordinate figure is translated  which property can change?
g8-bv-prediction-limits,bvLimitExtrapolate,mcq,constant,24,1,1,Extrapolation — predicting beyond the ob,A model was fit using daily rainfall with x-values from 1 to 12. Using it at x = 29 is an 
g8-bv-prediction-limits,default,mcq,constant,24,1,1,Extrapolation — predicting beyond the ob,A model was fit using plant ages with x-values from 1 to 7. Using it at x = 33 is an examp
g8-les-isolate-variable,lesIsolateWhy,mcq,constant,24,1,1,To preserve equality while collecting th,In 5x + 9 = 2x + 27  why can 2x be subtracted from BOTH sides?
g8-les-solution-count,lesInfiniteMeaning,mcq,constant,24,1,1,Infinitely many solutions — the statemen,After simplifying an equation  the variable cancels and the result is 2 = 2. What does thi
g8-les-solution-count,lesClassifyOne,mcq,constant,24,1,1,One solution,Classify: 2x + 5 = 5x + 2.
g8-les-solution-count,lesClassifySame,mcq,constant,24,1,1,Infinitely many solutions,Classify: 4x + 5 = 4x + 5.
g8-les-solution-count,lesClassifyDistributed,mcq,constant,24,1,1,Infinitely many solutions,Classify: 2(x + 1) = 2x + 2.
g8-les-solution-count,lesClassifyChallenge,mcq,constant,24,1,1,Infinitely many solutions,Classify: 4(x + 5) = 4x + 20.
g8-les-system-meaning,lesPointFailsSecond,mcq,constant,24,1,1,No — it satisfies the first equation but,Does (4  6) solve the system y = x + 2 and y = 2x − 1?
g8-les-system-meaning,default,mcq,constant,24,1,1,No — it satisfies the first equation but,Does (2  6) solve the system y = 2x + 2 and y = −x − 1?
g8-les-system-count,lesCountParallelInt,mcq,constant,24,1,1,No solution,How many solutions does the system y = 3x + 1 and y = 3x + 4 have?
g8-les-system-count,lesCountParallelSigned,mcq,constant,24,1,1,No solution,How many solutions does the system y = −3x + 1 and y = −3x − 1 have?
g8-les-system-count,lesCountParallelFraction,mcq,constant,24,1,1,No solution,How many solutions does the system y = −½x and y = −½x − 3 have?
g8-les-system-count,lesCountSame,mcq,constant,24,1,1,Infinitely many solutions,How many solutions does the system y = 2x + 2 and y = 2x + 2 have?
g8-les-system-count,default,mcq,constant,24,1,1,No solution,How many solutions does the system y = 2x + 2 and y = 2x + 5 have?
g8-fn-function-definition,fgFunctionSharedOutput,mcq,constant,24,1,1,Yes — each input still has exactly one o,The mapping records Dee→Room 4; Emi→Room 4; Fox→Room 7. Several inputs share an output. Is
g8-fn-vertical-line,fgVltLine,mcq,constant,24,1,1,Passes — every x has at most one y,Does the graph of y = 2x + 1 pass the vertical-line test?
g8-fn-vertical-line,fgVltSideways,mcq,constant,24,1,1,Fails — some vertical lines intersect tw,Does the graph of x = (y − 3)² − 1 pass the vertical-line test?
g8-fn-vertical-line,fgVltUpright,mcq,constant,24,1,1,Passes — every x has at most one y,Does the graph of y = (x − 3)² − 1 pass the vertical-line test?
g8-fn-vertical-line,default,mcq,constant,24,1,1,Passes — every x has at most one y,Does the graph of y = 3x + 1 pass the vertical-line test?
g0-counting,countCompareEqualMcq,mcq,constant,24,1,1,They are equal,Compare 7 and 7. Which statement is true?
g1-counting-120,SkipTenMcq,mcq,constant,24,1,1,The ones digit,Counting 37  47  57  67: what stays the same?
g1-counting-120,TenMoreLessMcq,mcq,constant,24,1,1,The ones digit,When you add ten to 57  what usually stays the same?
g2-add-subtract-100,UnbundleSubMcq,mcq,constant,24,1,1,When the top ones are fewer than the bot,When solving 54 − 29  when do we break a ten?
g4-multiply,mbMultiplyTensMcq,mcq,constant,24,1,1,Because the factor is built from tens  s,Why does 5 × 80 equal (5 × 8) × 10?
a1-solving-equations,both-sides__mcq,mcq,constant,24,1,1,To preserve equality while collecting va,Why must the same x-term be removed from both sides of 5x + 7 = 4x + 14?
a1-solving-equations,lcd-clear__mcq,mcq,constant,24,1,1,Every term on both sides,When clearing x/4 + x/5 = 27 with the LCD 20  which terms are multiplied by 20?
a2-logarithms,lg-halflife__mcq,mcq,constant,24,1,1,The half-life,For N=602(1/2)^(t/12)  what does 12 represent?
a2-polynomials,pf-grouping__mcq,mcq,constant,24,1,1,No common binomial factor has appeared y,After grouping  the two groups become x²(x+4) + 3(x+3). What conclusion is justified?
a2-radicals,re-plusminus__mcq,mcq,constant,24,1,1,2,How many real solutions does x^(2/5)=4 have?
a2-rationals,rf-simplify__mcq,mcq,constant,24,1,1,No; x is part of sums  not a common fact,Can (x+4)/(x+5) be simplified by canceling x?
a2-series,sr-arith-apply__dragOrder,dragOrder,constant,24,1,1,[ Find the last term   Add the first and,Order the steps to sum 7 terms of an arithmetic sequence with first term 5 and difference 
g10-circle-theorems,cr-chord-arc__mcq,mcq,constant,24,1,1,The chords are congruent — the arc-chord,Two arcs in the same circle both measure 110°. What follows about their chords?  Reasoning
g10-circle-theorems,cr-secant-angles__mcq,mcq,constant,24,1,1,Half the difference of the two intercept,A photographer outside a circular fountain sights along two tangent lines to its rim. Whic
g10-constructions-proof,cp-square-triangle__mcq,mcq,constant,24,1,1,the square,Which inscribed polygon is built from two PERPENDICULAR diameters?  Reasoning check: Write
g10-constructions-proof,cp-tool-rules__mcq,mcq,constant,24,1,1,So the result is provably exact  not jus,Why do classical constructions forbid using the ruler's measurement marks?  Reasoning chec
g10-coordinate-proofs,cx-general-proof__mcq,mcq,constant,24,1,1,Each midpoint segment is a triangle mids,The figure shows each midpoint-parallelogram side parallel to a diagonal. Why does that pr
g10-coordinate-proofs,cx-parallel-proof__mcq,mcq,constant,24,1,1,Translations preserve segment directions,Which fact makes the translation proof work?  Reasoning check: Name the invariant first; t
g10-coordinate-proofs,cx-partition__mcq,mcq,constant,24,1,1,(8  6) — a quarter of the way from B tow,Same segment  but now P divides it 1 : 3 measured FROM B. Where does P land?  Reasoning ch
g10-coordinate-proofs,cx-perp-proof__mcq,mcq,constant,24,1,1,Yes — vertical meets horizontal at 90°  ,Lines x = 3 and y = −2: perpendicular?  Reasoning check: Trace the diagram information one
g10-geometry-foundations,gf-line-symmetry__mcq,mcq,constant,24,1,1,a square,Which shape has EXACTLY 4 lines of symmetry?  Reasoning check: Check whether the relations
g10-geometry-foundations,gf-rotation-rule__mcq,mcq,constant,24,1,1,(−5  −2),Apply a 90° counterclockwise rotation to (5  2)  then apply it AGAIN to the result. Where 
g10-geometry-foundations,gf-translation-rule__mcq,mcq,constant,24,1,1,(x  y) → (x + 5  y − 3),A translation sends A(3  5) to A′(8  2). What is the rule?  Reasoning check: Trace the dia
g10-polygons-quadrilaterals,pq-capstone__mcq,mcq,constant,24,1,1,Kite — two pairs of congruent CONSECUTIV,A figure shows tick marks: the two TOP sides match each other  the two BOTTOM sides match 
g10-polygons-quadrilaterals,pq-para-diagonals__mcq,mcq,constant,24,1,1,They bisect each other,Which diagonal property holds in EVERY parallelogram?  Reasoning check: Identify what is f
g10-polygons-quadrilaterals,default,mcq,constant,24,1,1,Kite — two pairs of congruent CONSECUTIV,A figure shows tick marks: the two TOP sides match each other  the two BOTTOM sides match 
g10-right-triangles,rt-choose-tool__mcq,mcq,constant,24,1,1,The triangle's height above base a,In Area = ½·a·b·sin C  the factor b·sin C is really:  Reasoning check: Name the invariant 
g10-right-triangles,rt-classify__mcq,mcq,constant,24,1,1,Obtuse — 81 > 16 + 49 = 65,Classify the triangle with sides 4  7  9.  Reasoning check: Use the labeled relationship b
g10-right-triangles,rt-elev-depress__mcq,mcq,constant,24,1,1,15° — alternate interior angles between ,From a cliff top  the angle of depression to a boat is 15°. What is the angle of ELEVATION
g10-right-triangles,rt-height-apps__mcq,mcq,constant,24,1,1,2500 ÷ tan 12°,A plane at 2500 m altitude sights an airport at 12° depression. Which computation gives th
g10-right-triangles,rt-inverse-trig__mcq,mcq,constant,24,1,1,cos⁻¹(adjacent ÷ hypotenuse),You know a triangle's ADJACENT leg and its HYPOTENUSE. Which inverse finds the angle?  Rea
g10-right-triangles,rt-law-cosines__mcq,mcq,constant,24,1,1,Law of Cosines — SAS is its home turf,You know two sides and the angle BETWEEN them. Which tool finds the third side?  Reasoning
g10-similarity,sy-dilation__mcq,mcq,constant,24,1,1,angle measures (the shape stays the same,Which is preserved by a dilation with scale factor 2?  Reasoning check: Name the invariant
g10-similarity,sy-scale__mcq,mcq,constant,24,1,1,multiply the model length by 50,To convert a scale-model length to the real length at scale 1 : 50  you should…  Reasoning
g10-solid-geometry,sg-cavalieri-apply__mcq,mcq,constant,24,1,1,Same height  and equal cross-section are,To prove two solids have equal volume via Cavalieri  you must establish:  Reasoning check:
g10-solid-geometry,sg-cylinder-justified__mcq,mcq,constant,24,1,1,The cylinder's sections are constantly π,The prism-to-cylinder justification works because:  Reasoning check: Check whether the rel
g10-solid-geometry,sg-density__mcq,mcq,constant,24,1,1,Floats — average density below water's  ,A solid pine block (density 0.6 g/cm³) of ANY shape is placed in water (density 1). It:  R
g10-solid-geometry,sg-modeling__mcq,mcq,constant,24,1,1,Heat generates with volume (k³) but esca,A mouse must eat constantly while an elephant doesn't. The k-law explanation:  Reasoning c
g10-solid-geometry,sg-third-story__mcq,mcq,constant,24,1,1,Similarity shrinks every pyramid's secti,The cube tiling certifies ⅓Bh for one special pyramid. Why does EVERY pyramid (any base  e
g10-solid-geometry,default,mcq,constant,24,1,1,Same height  and equal cross-section are,To prove two solids have equal volume via Cavalieri  you must establish:  Reasoning check:
g10-triangle-congruence,tc-sas__mcq,mcq,constant,24,1,1,SAS,Two triangles have two pairs of equal sides  and the angles BETWEEN those sides are equal.
g10-triangle-congruence,tc-triangle-inequality__mcq,mcq,constant,24,1,1,Check that the two shortest sides sum to,What's the fastest way to test whether three lengths form a triangle?  Reasoning check: Id
g12-conic-sections,conic-sections__co-abc__mcq,mcq,constant,24,1,1,(±4  0),For x²/25 + y²/9 = 1 (a = 5  b = 3  c = 4)  the foci are at:  Reasoning check: Translate t
g12-conic-sections,conic-sections__co-ecc-unify__buildExpression,buildExpression,constant,24,1,1,[ circle       ellipse       parabola   ,Ordered by increasing eccentricity  the sequence is:  Reasoning check: Identify the repres
g12-conic-sections,conic-sections__co-ecc-unify__mcq,mcq,constant,24,1,1,exactly e = 1,Which eccentricity gives a parabola?  Reasoning check: Sketch or annotate the situation be
g12-conic-sections,conic-sections__co-general-hp__mcq,mcq,constant,24,1,1,the parabola (only one squared term),Which conic does NOT require dividing to make the right side equal 1?  Reasoning check: Us
g12-function-analysis,function-analysis__fna-compose-order__mcq,mcq,constant,24,1,1,2x² − 1,With f(x) = 2x − 1 and g(x) = x²  which is the rule for f(g(x))?  Reasoning check: Use the
