# sourceSeal=66ac01f+inputs.e3761fe8ab55 generatedBy=scripts/audit/math-presentation-indexes.mts
# sourceInputSha256=e3761fe8ab55ba740dde5fc152343290c9ca48c9fcd040bb2c0c0bc6b94e043d sourceInputFiles=2011
# authoredCoverage=mainSteps:15653,remedialSteps:3394,explanationVariants:17154,mainExplanationVariants:13760,remedialExplanationVariants:3394,takeaways:5100,teasers:1701,narrations:1650,mainNarrations:1100,remedialNarrations:550,strings:153708
# A symbol that is part of an EXPRESSION which failed to tokenize — not a symbol used as a word.
# Measured as the PROSE RESIDUE after authoredMathParts removes every island — what the learner reads, not what the author wrote.
# Surface is derived from the call sites: widget spec strings render with arithmetic OFF, lesson body/hints/feedback with arithmetic ON.
# One row per (source, owner, unit, field, shape); a generator emitting the same shape at every seed appears once, with one representative seed.
source,owner,unit,field,surface,shape,seed,residue,text
authored,avp-02-02,k1,explanationVariants[1],arithmetic-on,expression with ≥ left untokenized,,"|anything| ≥ 0 always, so it can never equal −3.","|anything| ≥ 0 always, so it can never equal −3."
authored,avp-02-02,rem-avp-solution-count-k,explanationVariants[1],arithmetic-on,expression with ≥ left untokenized,,"|anything| ≥ 0 always, so it can never equal −3.","|anything| ≥ 0 always, so it can never equal −3."
authored,avp-02-03,k2,widget.options[1].label,arithmetic-off,expression with ≤ left untokenized,, ≤ 2,−2 ≤ x ≤ 2
authored,avp-03-01,ch1,widget.successFeedback,arithmetic-off,expression with ≤ left untokenized,,1 — the boundary itself. Real definitions close that gap with a ≤ or ≥ on one side.,1 — the boundary itself. Real definitions close that gap with a ≤ or ≥ on one side.
authored,avp-03-02,i1,widget.successFeedback,arithmetic-off,expression with ≥ left untokenized,,"(1, 2): the ≥ branch owns the boundary, so the filled dot sits there and the other branch gets an open circle at (1, 4).","(1, 2): the ≥ branch owns the boundary, so the filled dot sits there and the other branch gets an open circle at (1, 4)."
authored,avp-03-02,k1,explanationVariants[1],arithmetic-on,expression with ≥ left untokenized,,"The ≥ branch includes its endpoint, so it supplies f(1).","The ≥ branch includes its endpoint, so it supplies f(1)."
authored,avp-03-02,rem-avp-piecewise-graph-k,explanationVariants[1],arithmetic-on,expression with ≥ left untokenized,,"The ≥ branch includes its endpoint, so it supplies f(1).","The ≥ branch includes its endpoint, so it supplies f(1)."
authored,cr-05-01,r1,takeaways[1],arithmetic-on,expression with θ left untokenized,,It agrees exactly with trig's θ (radians build the fraction into the unit).,It agrees exactly with trig's s = rθ (radians build the fraction into the unit).
authored,cr-05-01,rem-cr-arc-length-c,body,arithmetic-on,expression with θ left untokenized,,"Arc measure (degrees) and arc length (distance) are different quantities linked by a fraction: a θ-degree arc is θ/360 of the circle, so its length is r. Recall","Arc measure (degrees) and arc length (distance) are different quantities linked by a fraction: a θ-degree arc is θ/360 of the circle, so its length is (θ/360) · 2πr. Recall C = 2πr from Grade 7. The trig course's s = rθ"
authored,cr-05-02,c1,body,arithmetic-on,expression with π left untokenized,,The same fraction that priced the arc prices the sector — the pie slice between two radii. A θ-degree sector claims θ/360 of the circle's area πr² (Grade 7 agai,"The same fraction that priced the arc prices the **sector** — the pie slice between two radii. A θ-degree sector claims θ/360 of the circle's area πr² (Grade 7 again): **sector area = (θ/360) · πr²**. One fraction, two p"
authored,cr-05-02,k1,widget.commonErrors[1].feedback,arithmetic-off,expression with π left untokenized,,9.42 ≈ is an ARC LENGTH answer — area uses πr²: ()() ≈ 28.27.,9.42 ≈ 3π is an ARC LENGTH answer — area uses πr²: (1/4)(36π) ≈ 28.27.
