portfolio_id,portfolio_class,portfolio_key,queue_rows,p0,p1,p2,unique_lessons,unique_sources,workstreams,exact_code_contract_count,exact_code_contracts,exact_code_microbatches,generator_tag_contract_count,generator_tag_contracts,generator_tag_microbatches,owner,batch,qa_contract
PROGRAM_SHARED_PORTFOLIO-73b45ff3d2ce,PROGRAM_SHARED_PORTFOLIO,CLOSURE_LEDGER,22,12,10,0,0,1,CLOSURE_LEDGER,0,,0,0,,0,Sol High architect -> Terra High integration steward,One shared programme or engine workstream; serialize writes to shared runtime files.,"Architecture contract, focused regression, whole-corpus ratchet, browser/accessibility evidence where learner-facing."
COURSE_PORTFOLIO-0cd33794e9ce,COURSE_PORTFOLIO,exponential-functions,9,0,9,0,9,9,LESSON_PROGRESSION_AND_DUPLICATION,0,,0,0,,0,Terra High assessor -> Terra Medium/High implementer,One complete course per assessor; implementation split only at hot-file or shared-engine boundaries.,One immutable course contract; full schema/pedagogy/CML plus focused semantic and rendered checks; independent verdict before closure.
COURSE_PORTFOLIO-07ced59771d4,COURSE_PORTFOLIO,functions-and-sequences,9,0,9,0,9,9,LESSON_PROGRESSION_AND_DUPLICATION,0,,0,0,,0,Terra High assessor -> Terra Medium/High implementer,One complete course per assessor; implementation split only at hot-file or shared-engine boundaries.,One immutable course contract; full schema/pedagogy/CML plus focused semantic and rendered checks; independent verdict before closure.
COURSE_PORTFOLIO-881e95bb940a,COURSE_PORTFOLIO,proportional-relationships,9,0,9,0,9,9,LESSON_PROGRESSION_AND_DUPLICATION,0,,0,0,,0,Terra High assessor -> Terra Medium/High implementer,One complete course per assessor; implementation split only at hot-file or shared-engine boundaries.,One immutable course contract; full schema/pedagogy/CML plus focused semantic and rendered checks; independent verdict before closure.
PROGRAM_SHARED_PORTFOLIO-da5fd22bbcde,PROGRAM_SHARED_PORTFOLIO,V4_PROGRAMME_PHASE,7,3,4,0,0,1,V4_PROGRAMME_PHASE,0,,0,0,,0,Sol High architect -> Terra High integration steward,One shared programme or engine workstream; serialize writes to shared runtime files.,"Architecture contract, focused regression, whole-corpus ratchet, browser/accessibility evidence where learner-facing."
COURSE_PORTFOLIO-0e3aba9e5c4e,COURSE_PORTFOLIO,measure-money-time,6,0,6,0,6,6,LESSON_PROGRESSION_AND_DUPLICATION,0,,0,0,,0,Terra High assessor -> Terra Medium/High implementer,One complete course per assessor; implementation split only at hot-file or shared-engine boundaries.,One immutable course contract; full schema/pedagogy/CML plus focused semantic and rendered checks; independent verdict before closure.
COURSE_PORTFOLIO-235fb8b38f17,COURSE_PORTFOLIO,the-real-number-system,6,0,6,0,6,6,LESSON_PROGRESSION_AND_DUPLICATION,0,,0,0,,0,Terra High assessor -> Terra Medium/High implementer,One complete course per assessor; implementation split only at hot-file or shared-engine boundaries.,One immutable course contract; full schema/pedagogy/CML plus focused semantic and rendered checks; independent verdict before closure.
COURSE_PORTFOLIO-78c36facd95a,COURSE_PORTFOLIO,counting-120,5,0,5,0,5,5,LESSON_PROGRESSION_AND_DUPLICATION,0,,0,0,,0,Terra High assessor -> Terra Medium/High implementer,One complete course per assessor; implementation split only at hot-file or shared-engine boundaries.,One immutable course contract; full schema/pedagogy/CML plus focused semantic and rendered checks; independent verdict before closure.
COURSE_PORTFOLIO-3fa78ee154b9,COURSE_PORTFOLIO,decimals-place-value,5,0,5,0,5,5,LESSON_PROGRESSION_AND_DUPLICATION,0,,0,0,,0,Terra High assessor -> Terra Medium/High implementer,One complete course per assessor; implementation split only at hot-file or shared-engine boundaries.,One immutable course contract; full schema/pedagogy/CML plus focused semantic and rendered checks; independent verdict before closure.
COURSE_PORTFOLIO-6281dddbf7c8,COURSE_PORTFOLIO,functions-g8,5,0,5,0,5,5,LESSON_PROGRESSION_AND_DUPLICATION,0,,0,0,,0,Terra High assessor -> Terra Medium/High implementer,One complete course per assessor; implementation split only at hot-file or shared-engine boundaries.,One immutable course contract; full schema/pedagogy/CML plus focused semantic and rendered checks; independent verdict before closure.
