lesson_id,step_id,field,include_arithmetic,pattern,edge,detail,text
alg1-01-01,c1,body,true,WORD_TEARING,left,"…**, undoing th⟦e *l⟧ast* step firs…","An equation like **3x + 5 = 20** is a two-step machine: x was multiplied by 3, then 5 was added. To find x, run the machine in **reverse**, undoing the *last* step first: subtract 5 (leaving 15), then divide by 3. So x = 5."
alg1-01-01,c1,body,true,WORD_TEARING,left,…doing the *las⟦t* s⟧tep first: sub…,"An equation like **3x + 5 = 20** is a two-step machine: x was multiplied by 3, then 5 was added. To find x, run the machine in **reverse**, undoing the *last* step first: subtract 5 (leaving 15), then divide by 3. So x = 5."
alg1-01-01,c1,body,true,WORD_TEARING,right,"…**, undoing th⟦e *l⟧ast* step firs…","An equation like **3x + 5 = 20** is a two-step machine: x was multiplied by 3, then 5 was added. To find x, run the machine in **reverse**, undoing the *last* step first: subtract 5 (leaving 15), then divide by 3. So x = 5."
alg1-01-01,c1,body,true,WORD_TEARING,right,…doing the *las⟦t* s⟧tep first: sub…,"An equation like **3x + 5 = 20** is a two-step machine: x was multiplied by 3, then 5 was added. To find x, run the machine in **reverse**, undoing the *last* step first: subtract 5 (leaving 15), then divide by 3. So x = 5."
alg1-01-01,c2b,widget.successFeedback,true,WORD_TEARING,left,"…wards: undo th⟦e +5⟧, then undo th…","One x on the left, 5 on the right — x = 5. Every move you made was two-sided, so the beam never tipped and the equation never stopped being true. That is the whole two-step machine run backwards: undo the +5, then undo the ×3."
alg1-01-01,c2b,widget.successFeedback,true,WORD_TEARING,left,"…, then undo th⟦e ×3⟧.","One x on the left, 5 on the right — x = 5. Every move you made was two-sided, so the beam never tipped and the equation never stopped being true. That is the whole two-step machine run backwards: undo the +5, then undo the ×3."
alg1-01-01,ch1,hints,true,WORD_TEARING,left,Und⟦o +3⟧ first.,Undo +3 first.
alg1-01-01,i2,widget.pairErrors[].feedback,true,WORD_TEARING,left,…5 = 16: undoin⟦g −5⟧ means ADDING …,3x − 5 = 16: undoing −5 means ADDING 5 → 3x = 21 → x = 7.
alg1-01-01,k1,hints,true,WORD_TEARING,left,Undo th⟦e +8⟧ first.,Undo the +8 first.
alg1-01-01,k1,widget.commonErrors[].feedback,true,WORD_TEARING,left,…8+8)÷4. Undoin⟦g +8⟧ means SUBTRAC…,That ADDED 8 before dividing: (28+8)÷4. Undoing +8 means SUBTRACTING: (28−8)÷4 = 5.
alg1-01-01,k1,widget.commonErrors[].feedback,true,WORD_TEARING,left,… 20 still need⟦s ÷4⟧: x = 5.,"That's 4x, not x — the subtraction is done, but 4x = 20 still needs ÷4: x = 5."
alg1-01-01,k2,explanationVariants,true,WORD_TEARING,left,"…oing a −5 mean⟦s +5⟧: 16 + 5 = 21,…","Undoing a −5 means +5: 16 + 5 = 21, then 21 ÷ 3 = 7."
alg1-01-01,k3,explanationVariants,true,WORD_TEARING,left,"…tion built x b⟦y ×3⟧ then +6, so s…","Solving reverses the build. The equation built x by ×3 then +6, so solving undoes +6 first, then ÷3 — like taking off shoes before socks."
alg1-01-01,k3,explanationVariants,true,WORD_TEARING,left,"…lt x by ×3 the⟦n +6⟧, so solving u…","Solving reverses the build. The equation built x by ×3 then +6, so solving undoes +6 first, then ÷3 — like taking off shoes before socks."
alg1-01-01,k3,explanationVariants,true,WORD_TEARING,left,"… solving undoe⟦s +6⟧ first, then ÷…","Solving reverses the build. The equation built x by ×3 then +6, so solving undoes +6 first, then ÷3 — like taking off shoes before socks."
