engine,file,line_ref,verdict,leak_class,evidence,confidence
fractionCompare,src/components/widgets.tsx,15447-15550,CLEAN,NONE,"Read FractionCompareW end to end. Visible text is only the prompt, ""{num}/{den}"" bar captions, ""They're equal"", and an sr-only ""You chose the first bar, 3/4."" status. describeState.ts:857 returns null for this type, so the ""Describe this model"" disclosure (and its actions copy) never renders.",HIGH
fractionEntry,src/components/widgets.tsx,417-556,CLEAN,NONE,"Read FractionEntryW end to end. Field names are ""whole number"", ""numerator"", ""denominator"", plus ""negative sign"" and spec.unit; the live preview bar is aria-hidden. Only extra text is the GhostChip gated on tone===""info"" (reveal, out of active/retry scope). Not present in describeState.ts.",HIGH
fractionGrid,src/components/widgets.tsx,15345-15446,CLEAN,NONE,"Read FractionGridW end to end. Slider labels ""row count"", ""shade in rows"", ""column count"", ""shade in columns"" and the readout ""{a}/{b} x {c}/{d} -> overlap n/m"" are all mathematical. describeState.ts:849 narrates rows/columns/overlap only; actions copy at 937 describes the four sliders.",HIGH
fractionOfSet,src/components/widgets.tsx,8024-8087,CLEAN,NONE,"Read FractionOfSetW end to end. Visible text: prompt, ""{n} of {setSize} chosen"", ""({den} equal groups of {perGroup})"", slider label ""how many"". Reveal rings are tone===""info"" and aria-hidden. Not in describeState.ts.",HIGH
functionMachine,src/components/widgets.tsx,11164-11265,CLEAN,NONE,"Read FunctionMachineW end to end. Box captions ""input"", ""rule"", ""middle"", ""then"", ""output""; table headers ""Input""/""Output""; readout ""(target {targetOutput})"". All mathematical/instructional. Not in describeState.ts.",HIGH
geometricConstraintLab,src/components/widgets.tsx,6987,LEAK,PROCESS_TELEMETRY,"Active-state counter renders ""{revealed.length} valid geometric state{s} inspected; {spec.requiredExplorations} required before grading."" - an exploration-action tally against an authoring quota (requiredExplorations) that names the grading system. Reinforced in the learner-facing disclosure: describeState.ts:385 returns ""${spec.task.replaceAll(/([A-Z])/g,"" $1"")}: ..."", i.e. the internal task discriminant (coordinateProof/perimeterMissing/aaSimilarity) de-camelized and printed as the leading label. Stage cards also print ""Stage {n}"" and ""Exact state: {value}"".",HIGH
graphRead,src/components/widgets.tsx,7350-7441,CLEAN,NONE,"Read GraphReadW end to end including all three modes (tally/picture/bar). Visible text: prompt, spec.categoryLabel, ""(no marks at all)"", numeric scale buttons, ""Tap the number the graph shows."", and the tone===""info"" counting hint. describeState.ts:157 narrates the display only.",HIGH
graphStoryLab,src/lib/describeState.ts,954,LEAK,AUTHORING_LABEL,"The ""How to change it"" copy rendered inside the learner's ""Describe this model"" disclosure (WidgetRenderer renders actionsFor whenever describeWidgetState is non-null; graphStoryLab returns non-null at describeState.ts:418) reads ""... and reveal draws a separate dashed target without overwriting learner work."" - internal render-phase and program vocabulary (""reveal"", ""learner work"") describing the authoring system rather than the mathematics or the controls. Secondary: widgets.tsx:7314/7325 render ""Graph segment stage bank"", ""Assembled story stages"", ""No stages assembled yet."", ""Back one stage"" and 7276 ""Add story stages to draw the graph."" - ""stage"" used as engine vocabulary for graph segments.",MEDIUM
graphZoom,src/components/widgets.tsx,2215-2326,CLEAN,NONE,"Read GraphZoomW end to end. Visible text: prompt, ""x = {a}"", ""magnification x{n}"", ""from the left y -> ... from the right y -> ..."", buttons ""zoom in""/""zoom out""/""the limit exists""/""no limit"". describeState.ts:605 narrates sides and verdict only. All calculus vocabulary.",HIGH
hundredthsGrid,src/components/widgets.tsx,10767-10852,CLEAN,NONE,"Read HundredthsGridW end to end (tenths and hundredths modes). Visible text: prompt, column numerals, ""{n}/{total} = {dec}"", ""shaded = {n} ({prefilled} given)"". Reveal boundary is tone===""info"" and aria-hidden. Not a describeState case, so its actions entry at 936 never renders.",HIGH
