widget_type,authored_uses,grade_reach,manipulation,consequence,error_model,adaptive,accessibility,mobile,polish,learner_harm,frequency,visibility,strategic_importance,priority_product,decision
exactNumberLab,358,10,1,3,3,3,3,3,3,4,5,5,5,500,REDESIGN
buildExpression,232,12,1,2,1,0,3,2,2,4,5,5,5,500,REDESIGN
dragBucket,182,12,1,2,3,0,3,2,3,4,5,5,5,500,REDESIGN
matchPairs,175,13,1,2,3,0,3,2,3,4,5,5,5,500,REDESIGN
dragOrder,93,12,1,2,3,0,3,2,3,4,4,5,5,400,REDESIGN
numeric,4665,14,0,0,1,0,2,2,2,5,5,3,5,375,REDESIGN
mcq,3293,14,0,0,1,0,2,2,2,5,5,3,5,375,REDESIGN
steppedReveal,54,6,1,1,1,0,2,2,2,5,4,3,5,300,REDESIGN
numberLineHop,462,8,2,2,3,3,3,2,3,2,5,5,5,250,KEEP
tapDiagram,134,6,2,2,3,0,3,2,2,2,5,5,5,250,KEEP
areaModel,102,8,2,2,3,3,3,2,2,2,5,5,5,250,KEEP
fractionBar,101,6,2,2,3,3,3,2,3,2,5,5,5,250,KEEP
fractionEntry,46,4,0,1,1,0,2,2,2,5,4,3,4,240,REDESIGN
tenFrame,169,3,2,2,3,0,3,2,3,2,5,5,4,200,KEEP
estimateSlider,96,7,2,2,3,3,3,2,2,2,4,5,5,200,KEEP
plotPoint,71,8,3,2,3,3,3,2,3,2,4,5,5,200,KEEP
barBuilder,70,6,2,2,3,2,3,3,2,2,4,5,5,200,KEEP
geometricConstraintLab,66,6,3,3,3,3,3,3,3,2,4,5,5,200,KEEP
numberLinePlace,52,8,2,2,3,3,3,2,3,2,4,5,5,200,KEEP
placeCompare,28,2,1,2,3,0,3,2,2,4,3,5,3,180,REDESIGN
rationalCompare,28,2,1,2,1,0,3,2,2,4,3,5,3,180,REDESIGN
pointEntry,18,4,0,1,1,3,2,2,2,5,3,3,4,180,REDESIGN
lengthCompare,66,3,2,2,3,0,3,2,3,2,4,5,4,160,KEEP
placeValueTransformLab,60,4,3,3,3,3,3,3,3,2,4,5,4,160,KEEP
baseTenCompose,56,4,2,2,3,3,3,2,2,2,4,5,4,160,KEEP
proportionalReasoningLab,47,3,3,3,3,3,3,3,3,2,4,5,4,160,KEEP
unitRuler,45,3,3,3,3,3,3,3,3,2,4,5,4,160,KEEP
clockSet,40,3,2,2,3,0,3,2,3,2,4,5,4,160,KEEP
unitCircleExplore,40,3,2,3,3,0,3,2,3,2,4,5,4,160,KEEP
volumeBuilder,19,5,2,2,3,3,3,2,2,2,3,5,5,150,KEEP
probabilityArea,15,5,2,2,3,0,3,2,3,2,3,5,5,150,KEEP
subitizeFlash,18,2,0,1,1,0,2,2,2,5,3,3,3,135,REDESIGN
affineRelationshipLab,55,2,3,3,3,3,3,3,3,2,4,5,3,120,KEEP
columnCalc,39,4,2,3,3,0,3,2,2,2,3,5,4,120,KEEP
quotientReasoningLab,39,3,3,3,3,3,3,3,3,2,3,5,4,120,KEEP
distributionCompareLab,33,3,2,3,3,3,3,2,3,2,3,5,4,120,KEEP
sequenceBuild,30,3,2,2,3,3,3,2,3,2,3,5,4,120,KEEP
expLogExplore,28,4,2,3,3,0,3,2,2,2,3,5,4,120,KEEP
slider,28,4,2,2,3,0,3,2,2,2,3,5,4,120,KEEP
signChart,27,3,2,2,3,0,3,2,2,2,3,5,4,120,KEEP
quadraticExplore,25,3,2,3,3,3,3,2,3,2,3,5,4,120,KEEP
solveBalance,20,3,3,3,3,0,3,3,2,2,3,5,4,120,KEEP
derivativeTrace,19,3,2,3,3,0,3,2,3,2,3,5,4,120,KEEP
dilationExplore,18,3,2,3,3,0,3,2,3,2,3,5,4,120,KEEP
algebraTiles,17,3,2,3,3,0,3,2,2,2,3,5,4,120,KEEP
graphZoom,17,3,2,3,3,0,3,2,2,2,3,5,4,120,KEEP
balanceScale,9,5,2,3,3,3,3,2,2,2,2,5,5,100,KEEP
shapeFamilyBuilder,6,5,3,3,3,3,3,3,3,2,2,5,5,100,KEEP
hundredthsGrid,36,1,2,3,3,2,3,3,3,2,3,5,3,90,KEEP
graphRead,24,2,2,3,3,2,3,3,2,2,3,5,3,90,KEEP
moneyBoard,19,2,2,2,3,3,3,2,3,2,3,5,3,90,KEEP
shapeHierarchyLab,19,1,2,3,3,3,3,3,3,2,3,5,3,90,KEEP
unitChain,19,2,2,3,3,0,3,3,2,2,3,5,3,90,KEEP
oddEvenPairs,17,1,2,2,3,3,3,2,2,2,3,5,3,90,KEEP
compositeAreaLab,15,2,2,3,3,3,3,3,3,2,3,5,3,90,KEEP
