widget_type,component_fn,line,class,x_axis_named,y_axis_named,tick_values_drawn,authored_uses,evidence
affineRelationshipLab,AffineRelationshipLabW,7088,COORDINATE_PLANE,no,no,no,55,"AffineRelationshipLabW L7130: gridScales plane plotting multiple labelled lines (aria: 'Coordinate plot of...'); lines are labelled with their own equation/name, not the axes; no axis title, no tick numbers."
expLogExplore,ExpLogExploreW,2334,COORDINATE_PLANE,no,no,partial,46,ExpLogExploreW L2377-2395: two axis lines drawn but no title; only ONE x-value (spec.x) is labelled near the axis — not a full tick scale.
unitCircleExplore,UnitCircleExploreW,11280,COORDINATE_PLANE,no,no,no,45,"UnitCircleExploreW L11377: sine/cosine wave-and-circle diagram. AMBIGUOUS — explicitly the task's own example (unit circle); genuinely unclear whether ""x""/""y"" or ""angle""/""height"" is the right axis name. Needs human ruling."
quadraticExplore,QuadraticExploreW,12105,COORDINATE_PLANE,no,no,partial,32,"QuadraticRootsW L12165-12184 / QuadraticVertexW: gridScales plane with plain gridlines; only the root x-values are labelled (2 numbers), no y-axis values, no axis title — a defect distinct from full-scale ticks."
derivativeTrace,DerivativeTraceW,4278,COORDINATE_PLANE,no,yes,no,31,"DerivativeTraceW L4346,4381,4399: each stacked panel is titled with the function name ('f','f′','f″') — the Y AXIS of each panel IS named (what's plotted), but there is no x-axis name and no numeric tick scale on either axis."
graphZoom,GraphZoomW,2222,COORDINATE_PLANE,no,no,no,23,"GraphZoomW L2279-2282: labels the value of a single vertical reference line ('x = a') but that is a point annotation, not an axis title; no axis name, no tick scale."
dilationExplore,DilationExploreW,10334,COORDINATE_PLANE,no,no,no,22,"Widget dispatches to 3 renderers: SideSplitterW and AltitudeMeanW use gridScales purely as an internal coordinate helper for a plain triangle diagram (NON_CARTESIAN, no grid drawn); DilationScaleW (the scale-factor mode) draws a visible unlabeled grid with no axis title/ticks. Classed by the visible-grid branch; two of three branches are actually non-Cartesian triangles — see evidence."
pointEntry,PointEntryW,564,COORDINATE_PLANE,no,no,no,18,"PointEntryW L617: decorative mini-grid (aria-hidden), two axis lines through origin, zero <text>; no scale, no names."
scatterFit,ScatterFitW,7916,COORDINATE_PLANE,no,no,no,16,"ScatterFitW L7979-7980: gridScales plane, plain integer gridlines only, no tick numbers, no axis title (spec has no xLabel/yLabel field wired to SVG text)."
transformExplore,TransformExploreW,10867,COORDINATE_PLANE,no,no,no,14,"TransformExploreW: gridScales plane for reflect/translate; aria mentions ""x-axis""/""y-axis"" generically but no drawn tick numbers or axis title text in the SVG (0 <text> elements found)."
