lesson,step,widget,verdict,figure_key_present,figure_registered,withheld_in_queue,data_in_prompt,evidence
avp-01-03,ch1,numeric,DATA_INLINE,no,n/a,no,yes,"figure key absent on step ch1 (steps.6); not in ILLUSTRATION_REPLACEMENT queue for avp-01-03; prompt/options fully specify the numbers or relationships needed (""y = |x − h| + 1 has its vertex at x = 6. What is h?"") so it grades and is answerable without ever seeing an image -- 'the picture' is decorative wording, not a missing dependency."
avp-02-02,k3,mcq,DATA_INLINE,no,n/a,no,yes,"figure key absent on step k3 (steps.5); not in ILLUSTRATION_REPLACEMENT queue for avp-02-02; prompt/options fully specify the numbers or relationships needed (""Graphically, why does |x| = −2 have no solutions?"") so it grades and is answerable without ever seeing an image -- 'the picture' is decorative wording, not a missing dependency."
cx-01-01,k1,numeric,DATA_INLINE,no,n/a,no,yes,"figure key absent on step k1 (steps.2); not in ILLUSTRATION_REPLACEMENT queue for cx-01-01; prompt/options fully specify the numbers or relationships needed (""Compute the distance from A(1, 2) to B(7, 10)."") so it grades and is answerable without ever seeing an image -- 'the figure' is decorative wording, not a missing dependency."
cx-03-03,k2,numeric,DATA_INLINE,no,n/a,no,yes,"figure key absent on step k2 (steps.3); not in ILLUSTRATION_REPLACEMENT queue for cx-03-03; prompt/options fully specify the numbers or relationships needed (""Quadrilateral (0,0), (8,2), (10,8), (2,6) — the figure's own. Join the four side midpoints in order. Compute the slope of the side joining m"") so it grades and is answerable without ever seeing an image -- 'the figure' is decorative wording, not a missing dependency."
cx-03-03,k3,mcq,DATA_INLINE,no,n/a,no,yes,"figure key absent on step k3 (steps.4); not in ILLUSTRATION_REPLACEMENT queue for cx-03-03; prompt/options fully specify the numbers or relationships needed (""The figure shows each midpoint-parallelogram side parallel to a diagonal. Why does that prove Varignon for EVERY quadrilateral?"") so it grades and is answerable without ever seeing an image -- 'the figure' is decorative wording, not a missing dependency."
cx-05-02,k1,mcq,DATA_INLINE,no,n/a,no,yes,"figure key absent on step k1 (steps.1); not in ILLUSTRATION_REPLACEMENT queue for cx-05-02; prompt/options fully specify the numbers or relationships needed (""Against the figure's circle (x − 3)² + (y − 2)² = 25, the point (7, 2) is:"") so it grades and is answerable without ever seeing an image -- 'the figure' is decorative wording, not a missing dependency."
cx-05-03,k1,numeric,DATA_INLINE,no,n/a,no,yes,"figure key absent on step k1 (steps.1); not in ILLUSTRATION_REPLACEMENT queue for cx-05-03; prompt/options fully specify the numbers or relationships needed (""Complete the square on x² + y² − 6x − 4y − 12 = 0. The right side becomes r² = ?"") so it grades and is answerable without ever seeing an image -- 'the figure' is decorative wording, not a missing dependency."
ca-04-03,k1,mcq,DATA_INLINE,no,n/a,no,yes,"figure key absent on step k1 (steps.2); not in ILLUSTRATION_REPLACEMENT queue for ca-04-03; prompt/options fully specify the numbers or relationships needed (""The graph of f′ crosses the axis from ABOVE to BELOW at x = 2. What is at x = 2 on the graph of f?"") so it grades and is answerable without ever seeing an image -- 'the graph' is decorative wording, not a missing dependency."
ca-04-03,k2,mcq,DATA_INLINE,no,n/a,no,yes,"figure key absent on step k2 (steps.3); not in ILLUSTRATION_REPLACEMENT queue for ca-04-03; prompt/options fully specify the numbers or relationships needed (""The graph of f′ has a MAXIMUM at x = 1 (it peaks and comes back down, staying positive). What is at x = 1 on f?"") so it grades and is answerable without ever seeing an image -- 'the graph' is decorative wording, not a missing dependency."
dm-01-01,k1,numeric,NO_FIGURE_AUTHORED,no,n/a,no,no,"Widget answer=3 (""the stack above 8 has 3 dots"") is stated only in explanationVariants/fallbackFeedback, revealed AFTER answering; prompt ""On this plot, how many students scored an 8?"" gives no dot-plot data at all -- unanswerable without an actual rendered plot."
