# S242 / MPB-05 before-and-after sweep. Generated by scripts/audit/derivative-island-sweep.mts
# `before`/`after` list the island SOURCES separated by U+22C2; a string is listed only if they differ.
source,owner,unit,field,surface,verdict,before,after,text
"authored","dr-01-01","c2","body","arithmetic-on","gained-derivative","","dy/dx ⟂ d/dx[ ]","Three notations, one object:

**f′(x)** — Lagrange. Compact; good for stating rules.
**dy/dx** — Leibniz. It *looks* like a fraction, and in the chain rule it behaves like one.
**d/dx[ ]** — the operator. Read it as ""differentiate what follows"".

They are the same function wearing different clothes."
"authored","dr-02-01","c1","body","arithmetic-on","gained-derivative","2x · x","2x · x ⟂ d/dx[xⁿ]","Take the limit by hand for x², x³, x⁴ and a pattern appears immediately:

x² → 2x · x³ → 3x² · x⁴ → 4x³

**The exponent drops in front, and the power falls by one:**

d/dx[xⁿ] = n·xⁿ⁻¹.

One rule retires an infinite family of limits."
"authored","dr-02-02","c1","body","arithmetic-on","gained-derivative","f + g","d/dx[7] ⟂ d/dx[5f] ⟂ d/dx[f + g]","Three rules that cost nothing:

**Constants have zero slope.** d/dx[7] = 0 — a horizontal line does not climb.
**Constants factor out.** d/dx[5f] = 5f′ — stretching a curve vertically stretches its slopes by the same amount.
**Sums split.** d/dx[f + g] = f′ + g′ — the slopes just add.

With these plus the power rule, every polynomial is now routine."
"authored","dr-02-02","k1","widget.prompt","arithmetic-off","gained-derivative","","d/dx[x² + 7] ⟂ d/dx[x²]","Why is d/dx[x² + 7] the same as d/dx[x²]?"
"authored","dr-04-01","c1","body","arithmetic-on","gained-derivative","","dy/dx ⟂ dy/du ⟂ du/dx","Three gears. x turns u three times as fast; u turns y five times as fast. How fast does x turn y?

Fifteen. **Rates multiply along a chain:**

dy/dx = (dy/du)·(du/dx)

And the Leibniz notation is not a coincidence — the du really does cancel, exactly as it looks like it should."
"authored","dr-04-01","i1","predict.reveal","arithmetic-on","gained-derivative","","dy/dx = dy/du · du/dx","15. Rates along a chain MULTIPLY — each stage scales whatever the previous one handed it, so tripling then quintupling is fifteen-fold. That single fact is the chain rule; dy/dx = dy/du · du/dx is bookkeeping laid over it."
"authored","dr-04-01","i1","widget.successFeedback","arithmetic-off","gained-derivative","","dy/dx","The inner stage triples change and the outer stage multiplies that result by five, so dy/dx = 15."
"authored","dr-04-02","i1","widget.panels[1].body","arithmetic-off","gained-derivative","","d/dx (3x+1)⁴","Product rule: 2x·(3x+1)⁴ + x²·[d/dx (3x+1)⁴]. That bracket is a separate, smaller problem — and it needs the chain rule: 4(3x+1)³·3 = 12(3x+1)³."
"authored","dr-04-02","c2","body","arithmetic-on","gained-derivative","y = f","y = f ⟂ dy/dx","Some functions refuse to be written as y = f(x) at all. x² + y² = 25 defines a whole circle, and no single formula gives y.

**Differentiate the equation anyway.** Treat y as a function of x, and every time you differentiate a y, the chain rule makes you pay a dy/dx."
"authored","dr-04-02","k3","body","arithmetic-on","gained-derivative","","dy/dx","The dy/dx that appears from nowhere."
"authored","dr-04-02","k3","widget.options[0].label","arithmetic-off","gained-derivative","","dy/dx","2y·(dy/dx)"
"authored","dr-04-02","k3","widget.options[1].feedback","arithmetic-off","gained-derivative","","dy/dx","That would be right if you were differentiating with respect to y. With respect to x, the chain rule adds a factor of dy/dx."
"authored","dr-04-02","k3","widget.options[3].feedback","arithmetic-off","gained-derivative","","dy/dx","y is not a constant — it changes as x changes, which is exactly why it has a derivative dy/dx."
"authored","dr-04-02","ch1","hints[1]","arithmetic-on","gained-derivative","2x + 2y·(dy/dx) = 0","2x + 2y·(dy/dx) = 0 ⟂ dy/dx","You get 2x + 2y·(dy/dx) = 0. Now solve for dy/dx."
"authored","dr-04-02","ch1","hints[2]","arithmetic-on","gained-derivative","","dy/dx","dy/dx = −x/y. Substitute the point (3, 4) and give a decimal."
"authored","dr-04-02","ch1","widget.prompt","arithmetic-off","gained-derivative","","dy/dx","x² + y² = 25. Find dy/dx at the point (3, 4), as a decimal."
"authored","dr-04-02","ch1","widget.commonErrors[2].feedback","arithmetic-off","gained-derivative","3/4","dy/dx ⟂ 3/4","Close, but inverted: dy/dx = −x/y = −3/4, not −y/x."
"authored","dr-04-03","c1","body","arithmetic-on","gained-derivative","","dy/dx","An implicit derivative usually comes out in terms of **both x and y** — and that is not a failure. It is the honest answer.

On a circle, dy/dx = −x/y. The slope depends on WHERE you are on the curve, and a circle has two points above most x-values with opposite slopes. Only a formula mentioning y can tell them apart."
"authored","dr-04-03","k1","widget.prompt","arithmetic-off","gained-derivative","","dy/dx","On x² + y² = 25, why does dy/dx = −x/y depend on y as well as x?"
"authored","dr-04-03","i1","widget.panels[0].body","arithmetic-off","gained-derivative","","dy/dx ⟂ dy/dx","x² + y² = 25 gives 2x + 2y·(dy/dx) = 0. Every y costs a dy/dx — that is the chain rule doing its job."
"authored","dr-04-03","i1","widget.panels[1].body","arithmetic-off","gained-derivative","3/4","dy/dx ⟂ 3/4","dy/dx = −x/y. At the point (3, 4) that is −3/4. Notice we never had to write y as a function of x, and we could not have done so for the whole circle anyway."
"authored","dr-04-03","i1","widget.successFeedback","arithmetic-off","gained-derivative","","dy/dx","Differentiate, solve for dy/dx, substitute the point. Then it is a line through a point with a slope, and you have known how to do that for years."
"authored","dr-04-03","i1b","body","arithmetic-on","gained-derivative","","dy/dx","The reveal computed the slope at one point. Now hold the whole circle: slide the point and watch dy/dx come straight out of the relation — no y(x) formula ever written."
"authored","dr-04-03","i1b","predict.prompt","arithmetic-on","gained-derivative","","dy/dx","A point slides to the RIGHT along the upper half of x² + y² = 25, so x grows and y shrinks. What happens to the slope dy/dx = −x/y?"
"authored","dr-04-03","i1b","widget.successFeedback","arithmetic-off","gained-derivative","3/4","dy/dx ⟂ dy/dx ⟂ 3/4","At x = 3 the circle forces y = 4, and the relation 2x + 2y·(dy/dx) = 0 hands you dy/dx = −x/y = −3/4 — the reveal's exact number, read off the point's position. You never wrote y as a function of x; the relation itself did the differentiating."
"authored","dr-04-03","i1b","widget.explorationFeedback","arithmetic-off","gained-derivative","","dy/dx","Watch the readout as you slide: dy/dx = −x/y changes at every position because it depends on BOTH coordinates. That dependence is the whole reason implicit differentiation leaves y in the answer."
"authored","dr-04-03","c2","body","arithmetic-on","gained-derivative","","dy/dx ⟂ d/dx[xy] ⟂ dy/dx","When a **product** of x and y appears, the product rule and the chain rule arrive together.

For xy: differentiate as a product — one term for each factor taking its turn — and the y-term picks up its dy/dx.

d/dx[xy] = 1·y + x·(dy/dx)."
"authored","dr-04-03","k3","widget.prompt","arithmetic-off","gained-derivative","","dy/dx","xy = 12. Find dy/dx at the point (3, 4), as a decimal to three places."
"authored","dr-04-03","ch1","widget.prompt","arithmetic-off","gained-derivative","","dy/dx","x² + xy + y² = 7. Find dy/dx at (1, 2), as a decimal."
"authored","dc-02-01","c1","body","arithmetic-on","gained-derivative","","dx/dt ⟂ dy/dx","If two quantities are linked by an equation, then their **rates of change are linked too** — and the link is the chain rule, with **time as the hidden variable**.

Differentiate the equation with respect to **t**. Every variable is secretly a function of time, so every one of them picks up a dx/dt, exactly as implicit differentiation picked up a dy/dx.

It is the same move you already know, wearing a clock."
"authored","dc-02-01","k1","widget.options[0].label","arithmetic-off","gained-derivative","2π","dA/dt ⟂ 2π ⟂ dr/dt","dA/dt = 2πr · (dr/dt)"
"authored","dc-02-01","k1","widget.options[0].feedback","arithmetic-off","gained-derivative","","dr/dt","Right — r depends on t, so the chain rule attaches dr/dt. That factor is the whole subject."
"authored","dc-02-01","k1","widget.options[1].label","arithmetic-off","gained-derivative","2π","dA/dt ⟂ 2π","dA/dt = 2πr"
"authored","dc-02-01","k1","widget.options[1].feedback","arithmetic-off","gained-derivative","","dA/dr ⟂ dr/dt","That is dA/dr — the derivative with respect to the RADIUS. Differentiating with respect to time adds a factor of dr/dt."
"authored","dc-02-01","k1","widget.options[2].label","arithmetic-off","gained-derivative","","dA/dt","dA/dt = πr²"
"authored","dc-02-01","k1","widget.options[3].label","arithmetic-off","gained-derivative","2π","dA/dt ⟂ 2π","dA/dt = 2π"
"authored","dc-02-01","k1","widget.options[3].feedback","arithmetic-off","gained-derivative","2π","d/dr[πr²] ⟂ 2π ⟂ dr/dt","The r has vanished. d/dr[πr²] = 2πr, and then the chain rule multiplies by dr/dt."
"authored","dc-02-01","i1","widget.panels[0].body","arithmetic-off","gained-derivative","","dy/dx ⟂ d/dt","In implicit differentiation, every y picked up a dy/dx because y was secretly a function of x. Here every variable picks up a d/dt because it is secretly a function of time. Same move, different hidden variable."
"authored","dc-02-01","i1b","predict.reveal","arithmetic-on","gained-derivative","x = 3 ⟂ x = 6 ⟂ x = 8 ⟂ 4/3","dy/dt ⟂ x = 3 ⟂ x = 6 ⟂ x = 8 ⟂ 4/3 ⟂ dx/dt ⟂ 2x·dx/dt + 2y·dy/dt = 0 ⟂ dy/dt ⟂ dx/dt ⟂ dy/dt","Slide and watch dy/dt: at x = 3 the top drops at about 0.31 ft/s, at x = 6 it is 0.75, at x = 8 it is 4/3. Same dx/dt the whole time — the RELATION 2x·dx/dt + 2y·dy/dt = 0 (solved: dy/dt = −(x/y)·dx/dt) makes dy/dt depend on where you are. Substitute the instant's numbers first and you freeze x and y before they can carry that dependence: differentiate first, substitute at the end."
"authored","dc-02-01","i1b","widget.prompt","arithmetic-off","gained-derivative","","dy/dt","Slide the foot out to x = 8 ft, stopping along the way to read dy/dt. The foot's speed never changes; watch what the top's speed does."
"authored","dc-02-01","i1b","widget.successFeedback","arithmetic-off","gained-derivative","4/3","dy/dt ⟂ dy/dt ⟂ 4/3","At x = 8: y = 6, and 2(8)(1) + 2(6)·dy/dt = 0 gives dy/dt = −4/3 ft/s — more than four times the drop rate you saw at x = 3, from the same 1 ft/s push. The rate depends on the instant's geometry, which is exactly why the numbers go in at the END: differentiate the general relation first, then substitute."
"authored","dc-02-01","i1b","widget.explorationFeedback","arithmetic-off","gained-derivative","","dy/dt ⟂ dx/dt","Stop at a few more positions first and read dy/dt at each — the point is to SEE the rate change while dx/dt stays fixed."
"authored","dc-02-01","k2","widget.prompt","arithmetic-off","gained-derivative","π(3²) ⟂ 9π","dA/dt ⟂ π(3²) ⟂ 9π","To find dA/dt when r = 3, a student writes A = π(3²) = 9π and then differentiates. What goes wrong?"
"authored","dc-02-01","k2","widget.options[1].feedback","arithmetic-off","gained-derivative","","dA/dt","It gives dA/dt = 0, which claims the circle is not growing at all. The substitution froze the radius."
"authored","dc-02-01","c2","body","arithmetic-on","gained-derivative","","d/dt","So the procedure is four lines, always:

1. **Draw it.** Label what varies; do not put numbers on the picture.
2. **Find the relation** between the quantities (geometry, not calculus).
3. **Differentiate with respect to t** — every variable pays a d/dt.
4. **Substitute the instant's values** and solve for the rate you want.

Substituting at step 2 instead of step 4 is the mistake that ruins the problem."
"authored","dc-02-01","i2","widget.prompt","arithmetic-off","gained-derivative","","dr/dt ⟂ dA/dt","Grow the disc's radius from 1 to 5 with dr/dt held at 1, pausing to read dA/dt. The radius grows steadily; watch what the area's rate does."
"authored","dc-02-01","i2","widget.successFeedback","arithmetic-off","gained-derivative","10π ⟂ 2π","10π ⟂ dA/dt ⟂ 2π ⟂ dr/dt","At r = 5 the area runs at 10π per second — five times faster than at r = 1, though the radius never sped up. dA/dt = 2πr·dr/dt: the rate carries the radius inside it."
"authored","dc-02-01","i2","widget.explorationFeedback","arithmetic-off","gained-derivative","","dA/dt","Pause at a few radii on the way and read dA/dt each time — the point is watching the rate itself change."
"authored","dc-02-01","k3","widget.prompt","arithmetic-off","gained-derivative","","dr/dt ⟂ dA/dt","A circle's radius grows at dr/dt = 2 cm/s. Find dA/dt when r = 3, as a multiple of π (give just the number)."
