json_path_shape,audit_rows,render_mode,component,file_line,notes
steps[].widget.choices[].label,104,RAW,~20 choice-based widgets ({choice.label}),"src/components/widgets.tsx:1440 (e.g.; also 1490,1560,1628,3499,5545,5617,5683,6923,6972,7059,7236,7321,7830,8432,11580,13830,15985,16131)",Every `choices[].label` render is a bare `{choice.label}` inside a <button>; none pass through MathProse/MathInline.
steps[].widget.items[].label,97,RAW,LengthCompare/AbsValueLine/LengthPickAlign etc. ({it.label}),"src/components/widgets.tsx:13108 (also 14457,14582,14677,14718,14766,14785,14800,14958)","Bare `{it.label}` interpolation, e.g. DragBucketW radiogroup and LengthPickAlignW; no MathProse wrapper found at any site."
steps[].cml.misconceptions[],72,RAW,none (never displayed),src/components/CausalMasteryPanel.tsx:11-16 (doc comment) / src/lib/masteryMission.server.ts:160,CausalMasteryPanel's own header comment states internal CML fields including misconceptions 'never reach the learner'; the value only threads through masteryMission.server.ts for step generation.
steps[].widget.right[].label,57,RAW,MatchPairsW,src/components/widgets.tsx:13274,Bare `{r.label}` inside the right-column button; matches task's ~112-row MatchPairs finding together with left[].label.
steps[].widget.left[].label,55,RAW,MatchPairsW,src/components/widgets.tsx:13227,Bare `{l.label}` inside the left-column button.
steps[].widget.values[].label,23,RAW,ExactNumberLabW,"src/components/widgets.tsx:7013,7016",`sourceText` is built by joining `source.label` at line 7013 and rendered bare as `{sourceText}` at line 7016.
steps[].widget.tokens[].label,19,RAW,BuildExpressionW,src/components/widgets.tsx:13440,Bare `{t.label}` on each draggable token button.
remedials[].check.widget.choices[].label,18,RAW,~20 choice-based widgets ({choice.label}),src/components/widgets.tsx:1440 (same sites),Same bare-interpolation sites. remedials[].concept and remedials[].check are TStep objects injected verbatim into the step queue (src/lib/lessonState.ts:79-82 stepIndex()); they render through the exact same code path as the corresponding steps[].* shape.
steps[].widget.approxFormula.op,16,RAW,none (never displayed),src/lib/schema.ts:5559-5560 (computation only),"No render/interpolation site found anywhere in src/components or src/lib that displays this field's text on screen; it is consumed only as a computation input or matching key, so ascii notation here never reaches the learner visually. Traced, not guessed — listed as RAW because there is definitively no math-typesetting path, not because a bare-text site is unverified."
steps[].widget.panels[].body,16,RAW,SteppedRevealW,src/components/widgets.tsx:13657,"Bare `<p className=""pl-8"">{p.body}</p>`."
steps[].widget.approxConstants[].label,15,RAW,none (never displayed),src/lib/schema.ts:5559-5560 (computation only),"No render/interpolation site found anywhere in src/components or src/lib that displays this field's text on screen; it is consumed only as a computation input or matching key, so ascii notation here never reaches the learner visually. Traced, not guessed — listed as RAW because there is definitively no math-typesetting path, not because a bare-text site is unverified."
steps[].widget.buckets[].label,12,RAW,DragBucketW,src/components/widgets.tsx:13150 (also 13157),Bare `{b.label}` bucket header and `{it.label}` chip inside bucket.
steps[].widget.candidates[].label,8,RAW,QuotientReasoningLabW,"src/components/widgets.tsx:7182,7192",`candidate.label` values are joined into `source` at line 7182 and rendered bare as `{source}` at line 7192.
