# sourceSeal=27893a3 generatedBy=scripts/audit/generator-quality-sweep.mts
generator,form,widgetType,severity,code,where,seed,detail
a2-statistics,si-pvalue-idea__numeric,numeric,high,computed-value-leak,prompt,a2-statistics|si-pvalue-idea__numeric|support|0,11 of 100 null-model simulations are at least as extreme as observed. Find the p-value as a percentage.
g3-div-fluency,DivZeroMcq,mcq,high,computed-value-leak,options[0].feedback,g3-div-fluency|DivZeroMcq|support|0,"Correct — there is no number that, multiplied by 0, gives 10, so 10 ÷ 0 is undefined."
g3-div-fluency,DivZeroMcq,mcq,high,computed-value-leak,options[3].feedback,g3-div-fluency|DivZeroMcq|core|1,"Correct — there is no number that, multiplied by 0, gives 3, so 3 ÷ 0 is undefined."
g3-div-fluency,DivZeroMcq,mcq,high,computed-value-leak,options[2].feedback,g3-div-fluency|DivZeroMcq|core|4,"Correct — there is no number that, multiplied by 0, gives 12, so 12 ÷ 0 is undefined."
g3-div-fluency,DivZeroMcq,mcq,high,computed-value-leak,options[1].feedback,g3-div-fluency|DivZeroMcq|core|7,"Correct — there is no number that, multiplied by 0, gives 2, so 2 ÷ 0 is undefined."
g4-measure,mcLinePlotQuestionsNumeric,numeric,high,developer-vocabulary,prompt,g4-measure|mcLinePlotQuestionsNumeric|core|1,"A line plot shows 1/4→XXXX, 1/2→XXX, 3/4→X. How many values are at least 1/2?"
line-plot-frac,difference,fractionEntry,high,developer-vocabulary,prompt,line-plot-frac|difference|support|0,"In the plot (1/4 → XXX, 1/2 → —, 3/4 → X), how much longer is the longest ribbon than the shortest?"
g4-measure,mcFractionMeasurementMcq,mcq,medium,count-disagreement,options[2].label,g4-measure|mcFractionMeasurementMcq|support|0,1 unit
g4-measure,mcFractionMeasurementMcq,mcq,medium,count-disagreement,options[1].label,g4-measure|mcFractionMeasurementMcq|stretch|2,1 unit
g4-measure,mcFractionMeasurementMcq,mcq,medium,count-disagreement,options[0].label,g4-measure|mcFractionMeasurementMcq|support|3,1 unit
g4-measure,mcFractionMeasurementMcq,mcq,medium,count-disagreement,options[3].label,g4-measure|mcFractionMeasurementMcq|support|6,1 unit
g7-mixed-rational,hiker,exactNumberLab,medium,count-disagreement,prompt,g7-mixed-rational|hiker|stretch|8,"A hiker is 13.0 miles behind base camp, represented by −13.0. The hiker moves 6.1 miles closer. Compute −13.0 − (−6.1)."
g7-tse-balance-solve,tseBalanceA,solveBalance,medium,count-disagreement,successFeedback,g7-tse-balance-solve|tseBalanceA|support|3,"x = 6. Remove 1 unit from both pans to get 2x = 12, then split both sides into 2 equal groups."
g7-tse-balance-solve,tseBalanceB,solveBalance,medium,count-disagreement,successFeedback,g7-tse-balance-solve|tseBalanceB|support|3,"x = 5. Remove 1 unit from both pans to get 5x = 25, then split both sides into 5 equal groups."
g7-tse-balance-solve,tseBalanceC,solveBalance,medium,count-disagreement,successFeedback,g7-tse-balance-solve|tseBalanceC|support|15,"x = 6. Remove 1 unit from both pans to get 6x = 36, then split both sides into 6 equal groups."
g8-fn-same-function-forms,fgFormsGraphBuild,buildExpression,medium,count-disagreement,prompt,g8-fn-same-function-forms|fgFormsGraphBuild|support|0,Build the equation of a line that crosses the y-axis at 1 and rises 4 for every 1 unit across.
equivalent-fractions,whoIsRight,mcq,low,double-space,prompt,equivalent-fractions|whoIsRight|support|0,"""Pia says 2/4 is MORE than 1/2, \""because 2 pieces beat 1.\"" What is the real story?"""
in-definite-power,default,numeric,low,double-space,prompt,in-definite-power|default|support|0,"""Evaluate ∫₀^4 3x^2 dx"""
int-subtract-negative,decimal,numeric,low,double-space,prompt,int-subtract-negative|decimal|support|0,"""Work out: -0.75 − (−0.35)"""
step-function,absPiecewise,mcq,low,double-space,options[0].label,step-function|absPiecewise|support|0,"""−x if x < 6; x if x ≥ 6"""
step-function,absPiecewise,mcq,low,double-space,options[1].label,step-function|absPiecewise|support|0,"""x − 6 if x < 6; 6 − x if x ≥ 6"""
step-function,absPiecewise,mcq,low,double-space,options[2].label,step-function|absPiecewise|support|0,"""6 − x if x < 6; x − 6 if x ≥ 6"""
sys-two-linear,default,numeric,low,double-space,prompt,sys-two-linear|default|support|0,"""Solve the system x + y = 10 and x − y = 2. What is y?"""
