# sourceSeal=3f0bb4a window=10 — a windowDuplicate is the same widget twice inside 10 consecutive draws. distinctWidgets IS A LOWER BOUND: it cannot exceed the sample count, so a pair reporting 28 distinct in 30 draws has a pool of AT LEAST 28 and possibly far more. Only pairs that saturated well below their sample count (the pool-below-window rows) measure a true ceiling.
generator,form,widgetType,verdict,samples,distinctWidgets,windowDuplicates,globalDuplicates,globalDuplicateRate,window
root-solve,cube,buildExpression,pool-below-window,50,4,45,46,0.920,10
shape-identify,solid,tapDiagram,pool-below-window,50,4,44,46,0.920,10
shape-identify,rollStack,tapDiagram,pool-below-window,50,4,43,46,0.920,10
power-product,tenPower,numeric,pool-below-window,46,4,39,42,0.913,10
g4-measure,mcDegreeMeasurementNumeric,numeric,pool-below-window,30,4,26,26,0.867,10
angle-equation,lineThree,numeric,pool-below-window,30,4,25,26,0.867,10
equiv-test,squareVsDouble,numeric,pool-below-window,30,4,25,26,0.867,10
permutation-count,evenNumbers,numeric,pool-below-window,30,4,25,26,0.867,10
g8-tm-dilation-similarity,tmSimilarSort,dragBucket,pool-below-window,30,4,25,26,0.867,10
exp-function,decayStart,exactNumberLab,pool-below-window,72,5,62,67,0.931,10
trig-deriv,chain,numeric,pool-below-window,50,5,43,45,0.900,10
root-solve,cubeNegative,buildExpression,pool-below-window,50,5,41,45,0.900,10
chord-perp,parallelChords,numeric,pool-below-window,50,5,41,45,0.900,10
coordinate-plot,cgOrigin,pointEntry,pool-below-window,39,5,32,34,0.872,10
chord-dist,howMuchLonger,numeric,pool-below-window,34,5,29,29,0.853,10
angle-sum,cgTriangleEqualAngle,numeric,pool-below-window,34,5,27,29,0.853,10
g8-tm-transversal,tmTransversalMatch,matchPairs,pool-below-window,34,5,27,29,0.853,10
order-decimals,secondOf4,numeric,pool-below-window,34,5,26,29,0.853,10
unit-size,extraSharer,numeric,pool-below-window,34,5,26,29,0.853,10
geo-series,infAlternating,numeric,pool-below-window,30,5,25,25,0.833,10
geo-series,ballDown,numeric,pool-below-window,30,5,25,25,0.833,10
fraction-volume,bucketTrips,numeric,pool-below-window,30,5,25,25,0.833,10
g7-sp-counting-principle,spCountCoinDieA,numeric,pool-below-window,30,5,25,25,0.833,10
g2-shapes-shares,Ssg2NameThirdFractionBar,fractionBar,pool-below-window,30,5,24,25,0.833,10
negative-intro,compareFractionDecimal,rationalCompare,pool-below-window,30,5,23,25,0.833,10
arith-series,odds,numeric,pool-below-window,30,5,23,25,0.833,10
pct-of-number,rrGridPercent,numeric,pool-below-window,30,5,23,25,0.833,10
permutation-count,podium,numeric,pool-below-window,30,5,23,25,0.833,10
permutation-count,buildSeat,buildExpression,pool-below-window,30,5,23,25,0.833,10
g4-lines-angles,laSymmetryFindingNumeric,numeric,pool-below-window,30,5,23,25,0.833,10
radian-convert,halfPiToDeg,numeric,pool-below-window,30,5,22,25,0.833,10
exp-solve,reciprocalBase,exactNumberLab,pool-below-window,250,6,210,244,0.976,10
ladder-shift,divThrice,placeValueTransformLab,pool-below-window,167,6,141,161,0.964,10
common-denom,lcd,numeric,pool-below-window,100,6,84,94,0.940,10
exp-function,nextTerm,exactNumberLab,pool-below-window,72,6,57,66,0.917,10
deriv-explog,expChain,numeric,pool-below-window,50,6,40,44,0.880,10
rolle-c,cubicRepeated,numeric,pool-below-window,50,6,38,44,0.880,10
rolle-c,maxRoots,numeric,pool-below-window,50,6,38,44,0.880,10
deriv-quotient,simplifyFirst,numeric,pool-below-window,50,6,37,44,0.880,10
solve-mult-div,solveDiv,numeric,pool-below-window,34,6,27,28,0.824,10
cn-disc-repeat,forceC,numeric,pool-below-window,34,6,26,28,0.824,10
full-sketch,directionChanges,numeric,pool-below-window,34,6,26,28,0.824,10
times-five-ten,timesFive,numeric,pool-below-window,34,6,26,28,0.824,10
g1-shapes-measure,Smg1HalvesNumeric,numeric,pool-below-window,34,6,26,28,0.824,10
double-angle-solve,countSolutions,numeric,pool-below-window,34,6,25,28,0.824,10
double-angle-solve,sumSolutions,numeric,pool-below-window,34,6,25,28,0.824,10
g0-shapes-sorting,shapeRollStackTap,tapDiagram,pool-below-window,34,6,25,28,0.824,10
g1-shapes-measure,Smg1FourthsNumeric,numeric,pool-below-window,34,6,25,28,0.824,10
angle-equation,complement,numeric,pool-below-window,30,6,24,24,0.800,10
to-polar,radius,numeric,pool-below-window,34,6,24,28,0.824,10
solve-trig-all,sumCos,numeric,pool-below-window,30,6,24,24,0.800,10
grid-count,square,numeric,pool-below-window,30,6,23,24,0.800,10
g0-shapes-sorting,shapeComposeTap,tapDiagram,pool-below-window,34,6,23,28,0.824,10
g1-counting-120,To120Numeric,numeric,pool-below-window,30,6,23,24,0.800,10
g1-shapes-measure,Smg1HalvesFourthsNumeric,numeric,pool-below-window,34,6,23,28,0.824,10
radian-convert,turnFraction,numeric,pool-below-window,30,6,22,24,0.800,10
geo-series,infBasic,numeric,pool-below-window,30,6,22,24,0.800,10
arith-series,paramsNegD,numeric,pool-below-window,30,6,22,24,0.800,10
decimal-representation,unitCount,numeric,pool-below-window,30,6,22,24,0.800,10
conditional-prob,diceCondition,numeric,pool-below-window,30,6,22,24,0.800,10
solve-trig-all,sumSin,numeric,pool-below-window,30,6,22,24,0.800,10
g2-add-subtract-100,NearDoublesNumeric,numeric,pool-below-window,30,6,22,24,0.800,10
g2-place-value-1000,Pv1000SkipHundredsNumeric,numeric,pool-below-window,30,6,22,24,0.800,10
g2-shapes-shares,Ssg2PyramidNumeric,numeric,pool-below-window,30,6,22,24,0.800,10
g2-shapes-shares,Ssg2ThirdsCountNumeric,numeric,pool-below-window,30,6,22,24,0.800,10
angle-equation,linearPairLab,angleMeasure,pool-below-window,30,6,21,24,0.800,10
fn-evaluate,squareOnly,numeric,pool-below-window,30,6,21,24,0.800,10
g7-sp-counting-principle,spCountFlips,numeric,pool-below-window,30,6,21,24,0.800,10
g2-shapes-shares,Ssg2PyramidTapDiagram,tapDiagram,pool-below-window,30,6,21,24,0.800,10
g2-shapes-shares,Ssg2ShapeVocabNumeric,numeric,pool-below-window,30,6,21,24,0.800,10
grid-count,squareRead,areaModel,pool-below-window,30,6,20,24,0.800,10
reflect-compose,basisColumn,pointEntry,pool-below-window,30,6,20,24,0.800,10
ten-frame-fill,decompose,tenFrame,pool-below-window,100,7,75,93,0.930,10
cn-i-def,coefSquared,buildExpression,pool-below-window,50,7,37,43,0.860,10
directrix-ecc,hypEcc,numeric,pool-below-window,50,7,37,43,0.860,10
cn-square,completeConstant,numeric,pool-below-window,50,7,35,43,0.860,10
directrix-ecc,ratio,numeric,pool-below-window,50,7,32,43,0.860,10
power-product,basicSquare,numeric,pool-below-window,46,7,31,39,0.848,10
pq-rhombus,sideFromDiagonals,numeric,pool-below-window,34,7,25,27,0.794,10
eval-expression,square,numeric,pool-below-window,34,7,25,27,0.794,10
double-double,timesEight,numeric,pool-below-window,34,7,25,27,0.794,10
k0-count-100,kDecadeCrossHop,numberLineHop,pool-below-window,34,7,25,27,0.794,10
mvt-c,cubicDecimal,numeric,pool-below-window,34,7,24,27,0.794,10
opt-box,beatEndpoint,numeric,pool-below-window,34,7,24,27,0.794,10
combination-count,handshakes,numeric,pool-below-window,34,7,24,27,0.794,10
k0-count-100,kTensBackHop,numberLineHop,pool-below-window,34,7,24,27,0.794,10
pq-rhombus,otherDiagonal,numeric,pool-below-window,34,7,23,27,0.794,10
order-decimals,greatestOf3,numeric,pool-below-window,34,7,23,27,0.794,10
g1-shapes-measure,Smg12D3DNumeric,numeric,pool-below-window,34,7,23,27,0.794,10
a2-trig,tf-ratios__numeric,numeric,pool-below-window,30,7,23,23,0.767,10
g8-esn-context-compute,esnContextDivide,buildExpression,pool-below-window,30,7,22,23,0.767,10
unit-trading,hundredsToTens,numeric,pool-below-window,34,7,21,27,0.794,10
a2-radicals,re-extraneous__buildExpression,buildExpression,pool-below-window,30,7,21,23,0.767,10
a2-statistics,si-standard-error__numeric,exactNumberLab,pool-below-window,30,7,21,23,0.767,10
a2-trig,tf-identity__numeric,numeric,pool-below-window,30,7,21,23,0.767,10
arith-series,multiples,numeric,pool-below-window,30,7,20,23,0.767,10
round-half,tieHundred,numberLinePlace,pool-below-window,34,7,20,27,0.794,10
pr-constant-k-g7,rrPartWholeBuild,buildExpression,pool-below-window,30,7,20,23,0.767,10
g2-add-subtract-100,DoublesNumeric,numeric,pool-below-window,30,7,20,23,0.767,10
a2-polynomials,pf-cubes__buildExpression,buildExpression,pool-below-window,30,7,20,23,0.767,10
pct-of-number,rrFractionPercent,numeric,pool-below-window,30,7,19,23,0.767,10
pr-constant-k-g7,rrPartWholeSum,numeric,pool-below-window,30,7,19,23,0.767,10
a2-logarithms,lg-e__numeric,numeric,pool-below-window,30,7,18,23,0.767,10
exp-solve,negExponent,exactNumberLab,pool-below-window,250,8,182,242,0.968,10
ladder-shift,divTenth,placeValueTransformLab,pool-below-window,167,8,125,159,0.952,10
g7-scaled-area,unitAreaScale,geometricConstraintLab,pool-below-window,167,8,116,159,0.952,10
ladder-shift,mulTwice,placeValueTransformLab,pool-below-window,167,8,115,159,0.952,10
polygon-angles,sidesFromInterior,exactNumberLab,pool-below-window,84,8,66,76,0.905,10
exp-function,ratio,exactNumberLab,pool-below-window,72,8,51,64,0.889,10
critical-count,quartic,numeric,pool-below-window,50,8,37,42,0.840,10
multiplication-rule,withoutReplacement,numeric,pool-below-window,50,8,36,42,0.840,10
ellipse-abc,eccentricity,numeric,pool-below-window,50,8,34,42,0.840,10
hyperbola-cab,findC,numeric,pool-below-window,50,8,34,42,0.840,10
evt-candidates,minValue,numeric,pool-below-window,50,8,34,42,0.840,10
trig-deriv,product,numeric,pool-below-window,50,8,34,42,0.840,10
ellipse-abc,findB,numeric,pool-below-window,50,8,32,42,0.840,10
power-product,quotientEval,numeric,pool-below-window,46,8,32,38,0.826,10
nl-partition,newMarks,numeric,pool-below-window,34,8,24,26,0.765,10
a1-radicals,rad-distance__numeric,geometricConstraintLab,pool-below-window,36,8,24,28,0.778,10
a1-radicals,rad-pythagorean-radical__numeric,geometricConstraintLab,pool-below-window,36,8,24,28,0.778,10
coord-perimeter,rhombus,numeric,pool-below-window,34,8,23,26,0.765,10
opt-box,maxVolume,numeric,pool-below-window,34,8,23,26,0.765,10
g1-shapes-measure,Smg1SolidPartsNumeric,numeric,pool-below-window,34,8,23,26,0.765,10
g2-fluency,FlNearDoublesNumeric,numeric,pool-below-window,36,8,23,28,0.778,10
inverse-deriv,arctan,numeric,pool-below-window,34,8,22,26,0.765,10
decimal-representation,moneyTenths,numeric,pool-below-window,30,8,21,22,0.733,10
nl-unit,howManyJumps,numeric,pool-below-window,34,8,21,26,0.765,10
g8-esn-context-compute,esnContextMixed,buildExpression,pool-below-window,30,8,21,22,0.733,10
a2-polynomials,pf-multiplicity__numeric,numeric,pool-below-window,30,8,21,22,0.733,10
a2-polynomials,pf-turning__numeric,exactNumberLab,pool-below-window,30,8,21,22,0.733,10
prob-fraction,trialTheoretical,trialProbabilityLab,pool-below-window,30,8,20,22,0.733,10
lcm-pair,gcfPair,numeric,pool-below-window,30,8,20,22,0.733,10
proportional-plot,cgPairNext,numeric,pool-below-window,30,8,20,22,0.733,10
quadrilaterals,cgEqualSidePerimeter,numeric,pool-below-window,30,8,20,22,0.733,10
k0-add-subtract,KoaSums5Numeric,numeric,pool-below-window,30,8,20,22,0.733,10
g0-counting,countTeenFrame,tenFrame,pool-below-window,30,8,20,22,0.733,10
g1-data,GdTallySinglesNumeric,numeric,pool-below-window,30,8,20,22,0.733,10
g1-shapes-measure,Smg1ShapeSidesNumeric,numeric,pool-below-window,34,8,20,26,0.765,10
a2-radicals,re-plusminus__buildExpression,buildExpression,pool-below-window,30,8,20,22,0.733,10
a2-rationals,rf-opposite__buildExpression,buildExpression,pool-below-window,30,8,20,22,0.733,10
g8-esn-context-compute,esnContextMultiply,buildExpression,pool-below-window,30,8,19,22,0.733,10
a1-radicals,rad-pythagorean__numeric,geometricConstraintLab,pool-below-window,36,8,19,28,0.778,10
a2-logarithms,lg-ln__numeric,exactNumberLab,pool-below-window,30,8,19,22,0.733,10
a2-radicals,re-models__numeric,exactNumberLab,pool-below-window,30,8,19,22,0.733,10
a2-radicals,re-plusminus__numeric,exactNumberLab,pool-below-window,30,8,19,22,0.733,10
a2-statistics,si-margin__numeric,numeric,pool-below-window,30,8,19,22,0.733,10
g1-counting-120,TeensNumeric,numeric,pool-below-window,30,8,18,22,0.733,10
a2-logarithms,lg-scales__numeric,numeric,pool-below-window,30,8,18,22,0.733,10
a2-polynomials,pf-cubes__numeric,numeric,pool-below-window,30,8,18,22,0.733,10
a2-statistics,si-claim-overreach__numeric,exactNumberLab,pool-below-window,30,8,18,22,0.733,10
a2-trig,tf-unit-circle__numeric,numeric,pool-below-window,30,8,18,22,0.733,10
reflect-compose,composeMatrix,matrixTransform,pool-below-window,30,8,17,22,0.733,10
