engine,file,line_ref,verdict,leak_class,evidence,confidence
rationalCompare,src/components/widgets.tsx,863-988,CLEAN,NONE,"Read the whole RationalCompareW render path: prompt, two operand cards, the <,=,> radiogroup, and the cue line (""the parts are the same size - look at the counts""). sr-only text is ""chosen symbol: less than"". No authoring vocabulary; no describeState branch exists for this type.",HIGH
relatedRatesLab,src/components/widgets.tsx,16159-16185; describeState.ts:452-460,CLEAN,NONE,"Active screen shows prompt, ladder SVG, LabReadouts x / y / dy/dt, one slider, and the teaching sentence ""Differentiate the invariant: 2x*dx/dt + 2y*dy/dt = 0."" The word ""invariant"" is used mathematically inside instructional copy (the constraint x^2+y^2=L^2), not as a CML metadata label; describeState derives everything from the persisted value.",MEDIUM
riemannSum,src/components/widgets.tsx,4441-4531; describeState.ts:266-278,CLEAN,NONE,"Checked every active string: prompt, strip SVG, ""estimate ... true area ..."", ""the truth is trapped: left ... <= ... <= right"", rule radios labelled left/right/midpoint/trapezoid, ""how many strips"". Ghost paragraph is gated on tone===""info"" (revealed).",HIGH
rotationLab,src/components/widgets.tsx,10207-10319,CLEAN,NONE,"S215 defect is genuinely fixed. The old `{tone ? <p>{tone}</p> : null}` is gone (comment at line 10232 records the removal). Active/retry renders only prompt, SVG, the slider labelled ""Turn (deg counterclockwise)"", and the exact readout (""Turn 90 deg. Image of (2, 1) is (-1, 2).""); GhostChip is gated on tone===""info""; the berry cue at tone===""error"" is aria-hidden geometry only. widgets.rotationLab.tone.s215.test.tsx asserts no raw StageTone token across all four tones.",HIGH
sampleSim,src/components/widgets.tsx,1810-1901; describeState.ts:785-791,CLEAN,NONE,"Active text is statistical only: ""truth 60%"", ""each dot = one poll"", ""N polls . spread X points . Y% landed within 5 points of the truth"", ""ask 50"", ""run 1""/""run 10"". Ghost chip gated on tone===""info"".",HIGH
samplingBiasLab,src/components/widgets.tsx,15824-15842; describeState.ts:340-343,CLEAN,NONE,"Method buttons render the enum values convenience/random/stratified, but those are ordinary statistics vocabulary, not authoring tokens. Other labels: ""systematic bias"", ""random variability"", ""repeated sample estimates"", ""population 50%"", ""draws n/m"", ""design"". No CML/authoring metadata.",HIGH
scaledCircleLab,src/components/widgets.tsx,1391-1449; describeState.ts:52-58,CLEAN,NONE,"Active labels are mathematical: ""Drawing"", ""Real circle"", ""Given real circle"", ask label (""real radius"" / ""coefficient in C = ?pi""), the formula line, and choice buttons. GhostChip (""correct claim: ..."") is tone===""info"" only. Separate observation (out of the listed leak classes): describeState says ""The target real radius is N"" during active work, i.e. it speaks the answer to screen-reader users.",HIGH
scatterFit,src/components/widgets.tsx,7902-8023; describeState.ts:694-700,CLEAN,NONE,"Active text: prompt, ""y = mx + b"", ""miss = 0.42"", ""slope m ="", ""intercept b ="". ""best fit"" ghost label is inside the tone===""info"" block. describeState reports only points and the learner line.",HIGH
secantSlope,src/components/widgets.tsx,2426-2585; describeState.ts:280-299,CLEAN,NONE,"Active text: prompt, A/B/c point labels, ""tangent slope 4"", ""rise ... / run ... = slope ..."", ""gap 0 -> 0 / 0, which is nothing at all"", slider label ""the gap from A to B"". Ghosts gated on tone===""info"".",HIGH
sequenceBuild,src/components/widgets.tsx,widgets.tsx:3461; describeState.ts:669,LEAK,AUTHORING_LABEL,"SequenceReasoningW renders the internal authoring task id into the workbench section accessible name during ACTIVE work: aria-label={`Sequence workbench for ${spec.task}. ...`} (widgets.tsx:3461). spec.task is z.enum([""dial"",""ruleType"",""termEvaluate"",""sigmaEvaluate"",""sigmaRepresent"",""arithmeticPair"",""arithmeticSum"",""geometricPair"",""geometricSum"",""repeatingDecimal""]) (schema.ts:3097), so a screen reader announces e.g. ""Sequence workbench for sigmaEvaluate."" describeState.ts:669 repeats it: ""Sequence reasoning task ${spec.task}."" Secondary risk in the same component: stage bodies prefer authored text over derived truth (`const body = authored.get(stage.key) ?? stage.value`, widgets.tsx:3448/3485), so an edited derivation could narrate stale authored prose.",HIGH
