# sourceSeal=7da9379 generatedBy=scripts/audit/generator-quality-sweep.mts
generator,form,widgetType,severity,code,where,seed,detail
g10-conditional-probability,conditional-probability__cpr-at-least-one__numeric,numeric,high,asterisk-multiplication,commonErrors[2].feedback,g10-conditional-probability|conditional-probability__cpr-at-least-one__numeric|stretch|2,"both surfaces: That is half of 16, the count for a single fixed coin landing heads. The event allows *any* of the four coins to be the head."
g10-conditional-probability,conditional-probability__cpr-complement__mcq,mcq,high,asterisk-multiplication,options[1].feedback,g10-conditional-probability|conditional-probability__cpr-complement__mcq|support|0,"both surfaces: That is not an opposite: HHT has at least one head *and* at least one tail, so both events happen together. Complements can never overlap."
g10-conditional-probability,conditional-probability__cpr-complement__mcq,mcq,high,asterisk-multiplication,options[3].feedback,g10-conditional-probability|conditional-probability__cpr-complement__mcq|support|0,"both surfaces: Exactly one head is *inside* ""at least one head"", not opposite to it. The complement must contain none of A's outcomes."
g10-conditional-probability,conditional-probability__cpr-complement__mcq,mcq,high,asterisk-multiplication,options[2].feedback,g10-conditional-probability|conditional-probability__cpr-complement__mcq|core|1,"both surfaces: That is not an opposite: HHT has at least one head *and* at least one tail, so both events happen together. Complements can never overlap."
g10-conditional-probability,conditional-probability__cpr-complement__mcq,mcq,high,asterisk-multiplication,options[0].feedback,g10-conditional-probability|conditional-probability__cpr-complement__mcq|stretch|5,"both surfaces: That is not an opposite: HHT has at least one head *and* at least one tail, so both events happen together. Complements can never overlap."
g10-conditional-probability,conditional-probability__cpr-indep-vs-disjoint__numeric,numeric,high,asterisk-multiplication,commonErrors[0].feedback,g10-conditional-probability|conditional-probability__cpr-indep-vs-disjoint__numeric|support|0,both surfaces: That is P(A) — the answer if the events were *independent*. Exclusive is the opposite: B happening makes A impossible.
g10-conditional-probability,conditional-probability__cpr-indep-vs-disjoint__numeric,numeric,high,asterisk-multiplication,commonErrors[2].feedback,g10-conditional-probability|conditional-probability__cpr-indep-vs-disjoint__numeric|support|0,"both surfaces: That is (A ∪ B), which is the one thing exclusivity *does* let you compute by adding. The conditional is 0."
g10-conditional-probability,conditional-probability__cpr-marginal-prob__numeric,numeric,high,asterisk-multiplication,commonErrors[2].feedback,g10-conditional-probability|conditional-probability__cpr-marginal-prob__numeric|support|0,"both surfaces: That is — the *no sport* column. The two columns are complements, so a slip here flips the event."
g10-conditional-probability,conditional-probability__cpr-overlap-count__numeric,numeric,high,asterisk-multiplication,commonErrors[2].feedback,g10-conditional-probability|conditional-probability__cpr-overlap-count__numeric|support|3,"both surfaces: That looks like . The students doing neither are not given; they come *out* of the answer, they do not set it."
g10-conditional-probability,conditional-probability__cpr-reversal-error__mcq,mcq,high,asterisk-multiplication,options[0].feedback,g10-conditional-probability|conditional-probability__cpr-reversal-error__mcq|support|0,both surfaces: That is the condition on its own. The 70% describes what happens *inside* that group.
g10-conditional-probability,conditional-probability__cpr-reversal-error__mcq,mcq,high,asterisk-multiplication,options[2].feedback,g10-conditional-probability|conditional-probability__cpr-reversal-error__mcq|support|0,"both surfaces: That is the joint probability, 0.35 — the share of the *whole school*. The sentence restricts attention to walkers first."
g10-conditional-probability,conditional-probability__cpr-reversal-error__mcq,mcq,high,asterisk-multiplication,options[3].feedback,g10-conditional-probability|conditional-probability__cpr-reversal-error__mcq|core|1,both surfaces: That is the condition on its own. The 70% describes what happens *inside* that group.
g10-conditional-probability,conditional-probability__cpr-reversal-error__mcq,mcq,high,asterisk-multiplication,options[1].feedback,g10-conditional-probability|conditional-probability__cpr-reversal-error__mcq|stretch|5,both surfaces: That is the condition on its own. The 70% describes what happens *inside* that group.
grouping-first,powerMulEval,evalOrder,high,raw-caret,tokens[3],grouping-first|powerMulEval|support|0,both surfaces: ^
a1-exponential,exp-growth-decay__mcq,mcq,medium,raw-caret,prompt,a1-exponential|exp-growth-decay__mcq|support|0,arithmetic-on only: Is f^x exponential growth or decay?
a1-exponential,exp-growth-decay__numeric,exactNumberLab,medium,raw-caret,prompt,a1-exponential|exp-growth-decay__numeric|support|0,arithmetic-on only: Evaluate f^x at .
a1-polynomials,poly-special-products__numeric,numeric,medium,asterisk-multiplication,successFeedback,a1-polynomials|poly-special-products__numeric|support|0,arithmetic-off only: The constant product is 5 * (-5).
a2-polynomials,pf-multiplicity__numeric,numeric,medium,raw-caret,prompt,a2-polynomials|pf-multiplicity__numeric|support|0,arithmetic-on only: What is the degree of f^4
dr-chain-rule,default,numeric,medium,raw-caret,prompt,dr-chain-rule|default|support|0,arithmetic-on only: f^2. Find f′(2).
exp-function,decayModel,exactNumberLab,medium,raw-caret,prompt,exp-function|decayModel|support|0,arithmetic-on only: A car's value halves each period: V^x. What is V(3)?
exp-function,decayStart,exactNumberLab,medium,raw-caret,prompt,exp-function|decayStart|support|0,"arithmetic-on only: For A^x, what is the starting amount A(0)?"
