severity,lesson,step,widget,file,phrase,prompt
REFERS_TO_ABSENT_FIGURE,avp-01-03,ch1,numeric,content/courses/absolute-value-piecewise/lessons/avp-01-03.json,the picture,y = |x − h| + 1 has its vertex at x = 6. What is h?
REFERS_TO_ABSENT_FIGURE,avp-02-02,k3,mcq,content/courses/absolute-value-piecewise/lessons/avp-02-02.json,the picture,"Graphically, why does |x| = −2 have no solutions?"
DATA_INLINE_BUT_CALLS_IT_A_FIGURE,cx-01-01,k1,numeric,content/courses/coordinate-proofs/lessons/cx-01-01.json,the figure,"Compute the distance from A(1, 2) to B(7, 10)."
DATA_INLINE_BUT_CALLS_IT_A_FIGURE,cx-03-03,k2,numeric,content/courses/coordinate-proofs/lessons/cx-03-03.json,the figure,"Quadrilateral (0,0), (8,2), (10,8), (2,6) — the figure's own. Join the four side midpoints in order. Compute the slope of the side joining midpoints (4, 1) and "
REFERS_TO_ABSENT_FIGURE,cx-03-03,k3,mcq,content/courses/coordinate-proofs/lessons/cx-03-03.json,The figure,The figure shows each midpoint-parallelogram side parallel to a diagonal. Why does that prove Varignon for EVERY quadrilateral?
DATA_INLINE_BUT_CALLS_IT_A_FIGURE,cx-05-02,k1,mcq,content/courses/coordinate-proofs/lessons/cx-05-02.json,the figure,"Against the figure's circle (x − 3)² + (y − 2)² = 25, the point (7, 2) is:"
REFERS_TO_ABSENT_FIGURE,cx-05-03,k1,numeric,content/courses/coordinate-proofs/lessons/cx-05-03.json,the figure,Complete the square on x² + y² − 6x − 4y − 12 = 0. The right side becomes r² = ?
REFERS_TO_ABSENT_FIGURE,ca-04-03,k1,mcq,content/courses/curve-analysis/lessons/ca-04-03.json,The graph,The graph of f′ crosses the axis from ABOVE to BELOW at x = 2. What is at x = 2 on the graph of f?
REFERS_TO_ABSENT_FIGURE,ca-04-03,k2,mcq,content/courses/curve-analysis/lessons/ca-04-03.json,The graph,"The graph of f′ has a MAXIMUM at x = 1 (it peaks and comes back down, staying positive). What is at x = 1 on f?"
REFERS_TO_ABSENT_FIGURE,dm-01-01,k1,numeric,content/courses/data-and-models/lessons/dm-01-01.json,the plot,"On this plot, how many students scored an 8?"
REFERS_TO_ABSENT_FIGURE,dd-02-01,k1,numeric,content/courses/data-distributions/lessons/dd-02-01.json,the plot,"Add up ALL the dots in the pets plot (stacks of 1, 2, 3, 1, 1). How many students does the plot show?"
REFERS_TO_ABSENT_FIGURE,dd-02-01,ch1,numeric,content/courses/data-distributions/lessons/dd-02-01.json,the plot,"In the reading plot (2 dots over 10, 3 over 15, 2 over 20, 1 over 25), how many students read MORE than 15 minutes?"
REFERS_TO_ABSENT_FIGURE,dd-02-03,k1,mcq,content/courses/data-distributions/lessons/dd-02-03.json,The plot,"The plot of 1,2,2,3,3,3,4,4,5 peaks at 3, with 3 dots below the peak and 3 above. What's its shape?"
REFERS_TO_ABSENT_FIGURE,dd-02-03,k2,mcq,content/courses/data-distributions/lessons/dd-02-03.json,the plot,"In the plot of 1,1,1,2,2,3,4,8 — what is the 8?"
REFERS_TO_ABSENT_FIGURE,dd-04b-01,k1,numeric,content/courses/data-distributions/lessons/dd-04b-01.json,the picture,"A box plot has its whisker starting at 2, box edges at 7 and 16, median line at 12, and whisker ending at 20. What is Q1?"
REFERS_TO_ABSENT_FIGURE,g2g-02-01,k1,numeric,content/courses/data-line-plots-g2/lessons/g2g-02-01.json,The picture,The picture graph shows 8 shells pictures for Tuesday. Each picture equals 1 shell. How many shells on Tuesday?
REFERS_TO_ABSENT_FIGURE,g2g-02-01,k2,numeric,content/courses/data-line-plots-g2/lessons/g2g-02-01.json,The picture,The picture graph shows 5 pinecones pictures for Tuesday. Each picture equals 1 find. How many finds on Tuesday?
REFERS_TO_ABSENT_FIGURE,g2g-02-01,ch1,numeric,content/courses/data-line-plots-g2/lessons/g2g-02-01.json,The picture,The picture graph shows 4 apples pictures for Thursday. Each picture equals 1 vote. How many votes on Thursday?
REFERS_TO_ABSENT_FIGURE,g2g-02-02,k1,numeric,content/courses/data-line-plots-g2/lessons/g2g-02-02.json,The picture,The picture graph shows 5 stickers pictures for Wednesday. Each picture equals 1 sticker. How many stickers on Wednesday?
REFERS_TO_ABSENT_FIGURE,g2g-02-02,k3,numeric,content/courses/data-line-plots-g2/lessons/g2g-02-02.json,The picture,The picture graph shows 9 stickers pictures for Monday. Each picture equals 1 sticker. How many stickers on Monday?
DATA_INLINE_BUT_CALLS_IT_A_FIGURE,exp-04-01,i1,expLogExplore,content/courses/exponential-functions/lessons/exp-04-01.json,The graph,"The graph passes through (2, 16). Slide the base until your curve does too."
