# sourceSeal=e88dcd0 — S242/GRB-04. Splitting the exhausted pairs by WHY they are narrow.
# closed-fact-set = one sentence, one number moving, and the values form a contiguous run with
# no gaps — the pool IS the subject (a times table, a counting range). Widening these is wrong.
# cosmetic-only = every prompt keys the SAME ANSWER — the variation is a noun, not mathematics.
# Widening these raises a count and changes nothing a learner does; see CLAUDE.md rule 7.
# under-parameterised = everything else: the pool is narrow because a dimension is missing.
generator,form,verdict,distinctPrompts,distinctAnswers,shapes,varyingSlots,run,example
g3-mult-fluency,MultTable10Numeric,closed-fact-set,11,11,1,1,0..10,10 × 4 = ?
read-clock,default,closed-fact-set,11,11,1,1,1..11,The MINUTE hand points at the number 3. How many minutes past the hour is it?
time-set-clock,hour,closed-fact-set,11,-1,1,1,1..11,Set the clock to show 11:00.
g3-mult-fluency,MultTable4Numeric,closed-fact-set,11,11,1,1,0..10,4 × 9 = ?
g3-mult-fluency,MultTable5Numeric,closed-fact-set,11,11,1,1,0..10,5 × 8 = ?
g3-mult-fluency,MultTable8Numeric,closed-fact-set,11,11,1,1,0..10,8 × 1 = ?
g3-mult-fluency,MultTable6Numeric,closed-fact-set,11,11,1,1,0..10,6 × 7 = ?
g3-mult-fluency,MultTable9Numeric,closed-fact-set,11,11,1,1,0..10,9 × 4 = ?
g2-fluency,FlTenPlusNumeric,closed-fact-set,10,10,1,1,1..10,10 + 5 = ?
g2-fluency,FlFromTenNumeric,closed-fact-set,9,9,1,1,1..9,10 − 6 = ?
g4-decimals,default,closed-fact-set,9,9,1,1,1..9,A unit square is split into 10 equal columns  and 4 of them are shaded. Write the shaded
g4-decimals,dTenthsWriteNumeric,closed-fact-set,9,9,1,1,1..9,A unit square is split into 10 equal columns  and 1 of them are shaded. Write the shaded
evt-candidates,candidateCount,cosmetic-only,9,1,1,2,-,f(x) = x³ − 12x on [0  4]. How many candidates does the closed-interval method produce?
critical-count,quartic,cosmetic-only,8,1,1,1,4..32,f(x) = x⁴ − 4x³. How many DISTINCT critical points does it have?
critical-count,default,cosmetic-only,8,1,1,1,3..192,f(x) = x³ − 27x. How many critical points does it have?
geo-series,repeatDecimal,cosmetic-only,8,1,1,2,-,0.555… (repeating) equals 5/n. What is n?
full-sketch,directionChanges,cosmetic-only,6,1,1,1,4..24,f(x) = x⁴ − 4x³. How many times does the curve change DIRECTION?
double-angle-solve,countSolutions,cosmetic-only,6,1,4,-1,-,How many solutions does sin 2x = sin x have on [0  2π)?
g1-shapes-measure,Smg1HalvesNumeric,cosmetic-only,6,1,6,0,-,If a cracker is split into halves  how many equal parts are there?
solve-trig-all,sumCos,cosmetic-only,6,1,4,1,-,Solve cos x = √3/2 on [0  2π). What is the SUM of the solutions  to hundredths?
double-angle-solve,sumSolutions,cosmetic-only,6,1,4,-1,-,Solve sin 2x = sin x on [0  2π). What is the SUM of all four solutions  to hundredths?
g1-shapes-measure,Smg1FourthsNumeric,cosmetic-only,6,1,6,0,-,If a ribbon is split into fourths  how many equal parts are there?
g1-shapes-measure,Smg1HalvesFourthsNumeric,cosmetic-only,6,1,6,0,-,For the same-size pizza  how many fourths make one half?
g2-shapes-shares,Ssg2ThirdsCountNumeric,cosmetic-only,6,1,6,0,-,If the ribbon is split into thirds  how many equal parts are there?
coordinate-plot,cgOrigin,cosmetic-only,5,1,5,0,-,A robot resets to the intersection of the x-axis and y-axis. Which ordered pair is that 
angle-sum,cgTriangleEqualAngle,cosmetic-only,5,1,5,-1,-,Three congruent angles fill an equilateral triangle. What is each angle  in degrees?
polygon-angles,exteriorFromInterior,under-parameterised,50,-1,1,1,40..170,A vertex has interior angle 60°. Its exterior angle?
decimal-representation,trailingMatchCount,under-parameterised,46,2,1,4,-,Of these three — 0.60  0.600  0.06 — how many equal 0.6?
trig-deriv,default,under-parameterised,18,18,1,1,2..20,f(x) = 5 sin x. Find f′(0).
opt-setup,maxProduct,under-parameterised,17,17,1,1,6..40,Two numbers add to 12. What is their largest possible product?
cn-solve-any,default,under-parameterised,16,4,1,2,-,Solve x² + 6x + 13 = 0 (hint: complete the square). For the root with POSITIVE imaginary
a2-series,sr-inf-sum__numeric,under-parameterised,16,12,1,4,-,Find 6+1.5+0.375+… forever (common ratio 1/4).
a1-quadratics,quad-diff-squares-solve__numeric,under-parameterised,14,14,1,1,4..225,Solve x^2 - 36 = 0. What is the larger solution?
decimal-representation,rungCount,under-parameterised,14,7,4,1,-,How many thousandths make 1 hundredth?
a1-quadratics,quad-square-root__numeric,under-parameterised,14,14,1,1,4..225,Solve x^2 - 25 = 0. What is the larger solution?
inverse-deriv,default,under-parameterised,13,13,1,3,-,f(x) = x³  so f(2) = 8. Find (f⁻¹)′(8)  as a decimal to four places.
negative-intro,doubleOpposite,under-parameterised,13,13,1,1,3..15,What is the opposite of the opposite of 3?
polygon-angles,default,under-parameterised,12,-1,8,-1,-,Interior angle sum of a pentagon (5 sides)  in degrees?
polygon-angles,sidesFromSum,under-parameterised,12,-1,1,1,180..3960,A polygon's interior angles sum to 540°. How many sides?
polygon-angles,sidesFromExterior,under-parameterised,12,-1,1,1,15..120,Each exterior angle of a regular polygon measures 45°. How many sides?
sigma-eval,sigmaPow,under-parameterised,12,12,1,2,-,Evaluate Σ from k = 1 to 4 of 2ᵏ.
trig-inside,sumSolutions,under-parameterised,12,4,2,2,-,Solve sin(2x) = √3/2 on [0  2π). What is the SUM of the solutions  to hundredths?
geo-series,powers,under-parameterised,12,12,3,-1,-,Evaluate 1 + 3 + 9 + 27 with the formula.
g8-esn-power-meaning,esnPowerNegativeDeep,under-parameterised,12,12,12,0,-,Evaluate 10⁻⁸ = ?
variable-meaning,divide,under-parameterised,12,4,1,2,-,What is y ÷ 2 when y = 8?
g7-vertical-angles,default,under-parameterised,12,-1,1,1,25..85,Two lines cross. One angle is 45°. What is the angle next to it  sharing a side  in degr
g1-data,GdTallyReadNumeric,under-parameterised,12,12,4,2,-,A tally row shows 3 crossed five-groups and 2 single marks. How many does it count?
a2-radicals,re-convert__buildExpression,under-parameterised,12,-1,1,2,-,Write x^(2/3) as a radical.
variable-meaning,halfEval,under-parameterised,12,12,1,1,8..30,Write  half of y  as y ÷ 2  then evaluate it at y = 18.
arith-series,default,under-parameterised,12,12,1,1,40..200,So what is 1 + 2 + 3 + ⋯ + 60?
a2-logarithms,lg-expand-condense__numeric,under-parameterised,12,-1,1,5,-,Evaluate 3log_3(3) + log_3(9).
pq-kite,default,under-parameterised,12,12,1,1,8..30,A kite's cross diagonal (the one perpendicular to the symmetry axis) measures 14. The sy
polygon-angles,exteriorSum,under-parameterised,11,-1,1,1,3..24,Exterior angles of a 5-gon (one at each vertex): what do they sum to?
a1-polynomials,factor-difference-squares__buildExpression,under-parameterised,11,-1,1,1,4..144,Build the factorization of x^2 - 16.
area-vs-perimeter,areaGap,under-parameterised,11,11,1,4,-,Two rectangular pens each have perimeter 14 m. Pen A is 1 m by 6 m; Pen B is 3 m by 4 m.
radian-convert,radToDeg,under-parameterised,11,11,1,1,2..12,Convert 2 radians to degrees. (Round to tenths.)
radian-convert,nFromDegrees,under-parameterised,11,6,1,2,-,135° = nπ/4. What is n?
mass,kgToG,under-parameterised,11,11,1,1,2..12,How many grams are in 5 kilograms?
g4-lines-angles,laSymmetryApplicationNumeric,under-parameterised,11,11,1,1,2..12,A half-design contains 2 shapes  none on the symmetry line. After reflecting every shape
cn-i-def,default,under-parameterised,11,-1,1,1,4..144,What is √(−9)?
equiv-models,tradeInto,under-parameterised,11,6,7,3,-,You hold 2/3 of a bar and trade it into TWELFTHS (each third gets cut into 4 minis). How
a2-radicals,re-models__numeric,under-parameterised,11,-1,1,1,16..576,A model gives t=√h/4. Find t when h=36.
a2-radicals,re-var-radicals__buildExpression,under-parameterised,11,-1,1,1,4..144,Simplify √(100x²y) for x≥0.
a2-radicals,re-products__buildExpression,under-parameterised,11,-1,1,1,2..12,Expand (1+√7)².
g2-measure-money-time,MmtBarGraphNumeric,under-parameterised,11,11,1,1,2..12,A bar reaches 2 on a graph where each gridline is worth 1. What value does the bar show?
a2-radicals,re-products__numeric,under-parameterised,11,-1,1,1,2..12,Evaluate (√9)².
negative-intro,compareNegativeFractions,under-parameterised,10,2,1,4,-,Compare -2/3 and -5/6. Which relation is true?
g4-multiply,mbPrimeCompositeNumeric,under-parameterised,10,5,1,4,-,How many PRIME numbers are there from 3 to 20 (including 3 and 20)?
times-2,doubleIt,under-parameterised,10,10,1,1,3..12,12 × 2 = ?
g3-mult-fluency,MultHardFactsNumeric,under-parameterised,10,10,1,2,-,7 × 9 = ?
parabola-focal,focusPoint,under-parameterised,10,10,1,1,8..44,A dish is designed as x² = 16y. How far from the vertex is the focus?
exp-function,initialValue,under-parameterised,10,-1,1,2,-,For f(x) = 4 · 2^x  what is the initial value f(0)?
implicit-diff,quadForm,under-parameterised,10,4,2,3,-,x² + xy + y² = 7. Find dy/dx at (1  2)  as a decimal.
prob-fraction,default,under-parameterised,10,-1,6,-1,-,When rolling a standard 6-sided die  what is the probability of rolling greater than 2? 
lcm-pair,gcfPair,under-parameterised,10,4,1,2,-,Find the greatest common factor of 6 and 8.
chord-dist,pipeDepth,under-parameterised,10,9,1,2,-,A horizontal pipe has a circular cross-section of radius 17 dm. Water fills it to a surf
count-prob,atLeastOne,under-parameterised,10,10,1,2,-,From 7 red and 4 blue marbles  3 are taken at random. Find P(at least one blue)  to thre
nl-beyond-one,jumpsToWhole,under-parameterised,10,8,4,1,-,Jumping in FOURTHS from 0  how many jumps land you exactly on 2?
k0-add-subtract,KoaSums5Numeric,under-parameterised,10,4,1,2,-,1 + 4 = ?
parabola-focal,default,under-parameterised,10,10,1,1,8..44,For the parabola x² = 24y  what is the focal length p?
radian-convert,arcRadians,under-parameterised,10,10,1,1,2..11,An arc along a circle's rim measures exactly 5 radius-lengths. What central angle does i
times-five-ten,clockMinutes,under-parameterised,10,10,1,1,2..11,The minute hand points straight at the 6. How many minutes past the hour is it?
k0-add-subtract,KoaDiffs5Numeric,under-parameterised,10,4,1,2,-,4 − 1 = ?
lcm-pair,default,under-parameterised,10,8,1,2,-,Find the LCM of 4 and 10.
hyperbola-cab,slope,under-parameterised,10,9,1,2,-,For x²/25 − y²/16 = 1  what is the positive asymptote slope b/a? (Decimal.)
box-surface-area,sameVolumeDifference,under-parameterised,10,2,1,4,-,Box A is 4×4×2; Box B is 8×2×2. They have the same volume. How much MORE surface area do
g3-div-fluency,DivBy3Numeric,under-parameterised,10,10,1,1,3..30,27 ÷ 3 = ?
parabola-focal,dishForm,under-parameterised,10,10,1,1,8..44,A parabolic dish is y = x²/16. How far above the vertex should the receiver sit?
arith-series,findN,under-parameterised,10,10,1,4,-,Find 4 + 8 + 12 + ⋯ + 40.
a1-solving-equations,multi-literal__numeric,under-parameterised,10,10,1,1,5..100,Using F = 9C/5 + 32  find F when C = 10.
pq-para-angle,ratioPair,under-parameterised,10,10,1,2,-,Two consecutive angles of a parallelogram are in the ratio 3 : 7. Find the SMALLER angle
opt-setup,domainBound,under-parameterised,10,10,1,1,6..24,A 10-inch square sheet  with squares of side x cut from the corners and the sides folded
reflect-fn,default,under-parameterised,10,10,2,1,-,On the graph of y = −x³  what is y when x = 5?
pythagorean,ladder,under-parameterised,10,10,1,2,-,A ladder leans against a wall. Its base is 9 feet from the wall and it reaches 12 feet u
polygon-angles,regularInterior,under-parameterised,10,-1,7,-1,-,Each interior angle of a regular hexagon  in degrees?
box-surface-area,cubeSA,under-parameterised,10,10,1,1,2..12,Find the surface area of a cube with side 3.
equiv-models,tradeEighths,under-parameterised,10,7,4,2,-,You hold 3/4 of a bar and trade it into EIGHTHS. How many eighths do you hold?
exp-function,startAmount,under-parameterised,10,-1,1,2,-,For A(x) = 500 · 3^x  what is the starting amount A(0)?
lcm-pair,divides,under-parameterised,10,9,1,2,-,Find the LCM of 3 and 6.
lcm-pair,buses,under-parameterised,10,8,1,2,-,One bus leaves every 6 minutes  another every 9 minutes. They just left together. In how
g3-div-fluency,DivBy2Numeric,under-parameterised,10,10,1,1,2..20,18 ÷ 2 = ?
pythagorean,default,under-parameterised,10,10,1,2,-,A right triangle has legs 6 and 8. What is the hypotenuse?
deriv-product,default,under-parameterised,10,7,6,1,-,f(x) = x³ · x². Compute f′(2) HONESTLY (simplify to x⁵ if you like).
g3-div-fluency,DivBy10Numeric,under-parameterised,10,10,1,1,10..100,90 ÷ 10 = ?
g3-div-fluency,default,under-parameterised,10,10,1,1,2..20,10 ÷ 2 = ?
exp-function,decayModel,under-parameterised,10,-1,2,1,-,A car's value halves each period: V(x) = 320 · (1/2)^x. What is V(3)?
a1-polynomials,factor-difference-squares__numeric,under-parameterised,10,10,1,2,-,Factor x^2 - 4 as (x + 2)(x - k). Find k.
g0-counting,countTeenFrame,under-parameterised,9,-1,1,1,11..19,A full group of 10 is already shown. Add the extra dots needed to make 11.
thales-right-angle,hypotenuse,under-parameterised,9,9,1,2,-,A triangle inscribed on a diameter has legs 3 and 4. Find the DIAMETER.
evt-candidates,minValue,under-parameterised,9,9,1,2,-,f(x) = x³ − 12x on [0  4]. Find the MINIMUM value.
round-half,tieTen,under-parameterised,9,-1,1,1,15..95,Round 25 to the nearest ten.
thales-right-angle,radiusFromLegs,under-parameterised,9,9,1,2,-,Triangle ABC is inscribed in a circle with a right angle at C  and legs AC = 9  BC = 12.
nl-unit,howManyJumps,under-parameterised,9,9,1,1,4..12,On a 0→1 line cut into equal jumps  the FIRST mark is exactly 1/7. How many jumps make u
a2-polynomials,pf-anatomy__numeric,under-parameterised,9,-1,1,1,-11..-3,What is the maximum possible number of turning points of a degree-3 polynomial?
a2-polynomials,pf-multiplicity__numeric,under-parameterised,9,5,1,2,-,What is the degree of f(x)=(x+1)^4(x−2)^1?
metric-convert,rrTimeDivide,under-parameterised,9,9,1,1,120..600,There are 60 minutes in an hour. How many hours is 300 minutes?
a1-polynomials,exponent-power__numeric,under-parameterised,9,6,1,2,-,Simplify (x^4)^2 to x^k. What is k?
a2-rationals,rf-mixed__buildExpression,under-parameterised,9,-1,1,3,-,Simplify (x²−4)/x · x/(x+2) ÷ (x−2)/2.
g1-data,GdTallySinglesNumeric,under-parameterised,9,4,1,1,7..19,19 students voted. After the crossed five-groups  how many SINGLE marks will the tally s
g1-counting-120,TeensNumeric,under-parameterised,9,9,2,1,-,What numeral is 1 ten and 5 ones?
g2-fluency,default,under-parameterised,9,9,1,2,-,6 + 6 = ?
a2-trig,tf-exact-values__numeric,under-parameterised,9,6,3,1,-,Find tan 60° to hundredths.
g1-tens-ones,TnoTenBundleNumeric,under-parameterised,9,9,2,1,-,How many ones are the same as 8 tens?
g2-fluency,FlDoublesNumeric,under-parameterised,9,9,1,2,-,3 + 3 = ?
a2-trig,tf-reference__numeric,under-parameterised,9,3,1,1,120..330,Find the reference angle of 150°.
proportional-plot,default,under-parameterised,9,-1,2,-1,-,For k = 2  plot the points (1  2) and (2  4).
permutation-count,arrangeAll,under-parameterised,9,3,3,1,-,How many ways can 6 different trophies be arranged in a row?
g1-add-subtract,TensPartnersNumeric,under-parameterised,9,9,1,2,-,8 + ? = 10. What makes ten with 8?
k0-count-100,kTensNextHop,under-parameterised,9,-1,1,1,10..90,Count by tens: what comes after 20? Hop one ten and tap where you land.
metric-convert,rrHoursSeconds,under-parameterised,9,9,1,1,2..10,How many seconds are in 4 hours? Chain hours → minutes → seconds.
conic-general,default,under-parameterised,9,9,1,1,8..40,For y² = 20x (form y² = 4px)  find p.
second-deriv-eval,default,under-parameterised,9,9,1,2,-,f(x) = x³ − 27x has f″(x) = 6x. Evaluate f″ at the critical point x = 3.
g4-decimals,dTenthToHundredthNumeric,under-parameterised,9,9,1,1,0.1..0.9,0.8 = ?/100. What numerator makes the fraction name the same amount?
a2-logarithms,lg-product__numeric,under-parameterised,9,-1,1,4,-,Evaluate log_5(5) + log_5(25).
g3-mult-fluency,MultSquaresNumeric,under-parameterised,9,9,1,2,-,6 × 6 = ?
polygon-angles,sidesFromInterior,under-parameterised,8,-1,1,1,90..165,Each interior angle of a regular polygon is 135°. How many sides?
ellipse-abc,findB,under-parameterised,8,7,1,2,-,An ellipse has a = 17 and c = 8. What is b?
coord-perimeter,default,under-parameterised,8,8,1,3,-,Triangle (0  0)  (3  0)  (3  4). Perimeter = ?
inverse-deriv,arctan,under-parameterised,8,4,1,1,-7..7,f(x) = arctan x. Find f′(1)  as a decimal.
g1-shapes-measure,Smg12D3DNumeric,under-parameterised,8,4,8,0,-,How many curved surfaces does a cylinder have?
ellipse-abc,eccentricity,under-parameterised,8,5,1,2,-,An ellipse has a = 13 and c = 5. Find its eccentricity to two decimals.
g8-esn-context-compute,esnContextMultiply,under-parameterised,8,-1,8,2,-,A factory makes 6 × 10² items  and each item requires 4 × 10³ microseconds. How many mic
g1-shapes-measure,Smg1SolidPartsNumeric,under-parameterised,8,5,8,0,-,How many edges does a cylinder have?
power-product,quotientEval,under-parameterised,8,5,1,2,-,Evaluate 2^5 / 2^2.
rolle-c,default,under-parameterised,8,8,1,3,-,f(x) = x² − 2x on [0  2]. Note f(0) = f(2) = 0. Find the c that Rolle guarantees.
opt-box,maxVolume,under-parameterised,8,8,1,1,12..54,A 12-inch square sheet folds into an open box this way. Find the maximum volume  in cubi
round-half,tieHundred,under-parameterised,8,-1,1,1,150..850,Round 650 to the nearest hundred.
pr-constant-k-g7,rrPartWholeSum,under-parameterised,8,8,1,2,-,A team's wins-to-losses ratio is 3 : 4. How many games make one full cycle of that patte
g4-place-million,pvCommaPeriodsNumeric,under-parameterised,8,4,2,1,-,A number's digits are grouped into 2 three-digit periods. How many commas separate those
a2-trig,tf-identity__numeric,under-parameterised,8,8,1,1,0.28..0.96,sin θ=0.28 and θ is in Quadrant I. Find cos θ.
reflect-compose,composeMatrix,under-parameterised,8,-1,8,0,-,Reflect over y = x  then over the y-axis — one transformation right after the other. Bui
k0-count-100,kTensBackHop,under-parameterised,8,-1,1,1,30..100,Count back by tens from 30. Hop one ten back and tap where you land.
ladder-shift,divTenth,under-parameterised,8,-1,1,1,0.2..0.9,0.4 ÷ 10 = ? (enter as a decimal)
hyperbola-cab,findC,under-parameterised,8,5,1,4,-,For x²/64 − y²/36 = 1 (a = 8  b = 6)  find c using c² = a² + b².
combination-count,default,under-parameterised,8,8,1,1,5..12,From 5 runners  how many different **teams of 3** (no order) can be chosen?
a2-polynomials,pf-cubes__buildExpression,under-parameterised,8,-1,1,1,8..729,Factor x³ + 125.
a2-polynomials,pf-cubes__numeric,under-parameterised,8,8,1,1,8..729,Find the only real zero of x³ + 8=0.
a2-radicals,re-plusminus__numeric,under-parameterised,8,-1,1,2,-,Solve x^(2/3)=9. Give the positive solution.
a2-rationals,rf-opposite__buildExpression,under-parameterised,8,-1,1,2,-,Simplify (25−x²)/(x−5).
decimal-representation,unitCount,under-parameterised,8,8,2,1,-,How many tenths make 2 wholes?
